token,documented_hhi,recompute_from_consolidated_log,reproduces,n_excl,cause_if_not
COMP,0.00864,0.00864,True,11,
MKR,0.04041,0.04041,True,2,
AAVE,0.01282,0.01282,True,4,
UNI,0.00978,0.00978,True,3,
CRV,0.01463,0.01463,True,13,
RPL,0.04064,0.04064,True,3,
JUP,0.04498,0.04498,True,9,
MPL_SYRUP,0.02369,0.02369,True,4,
GMX,0.06472,0.06472,True,4,
DRIFT,0.02646,0.02646,True,6,
ETHFI,0.04172,0.04173,True,2,
GRT,0.02136,0.02136,True,6,
OP,0.00936,0.00936,True,9,
POL,0.03578,0.03578,True,3,
ARB,0.01218,0.01218,True,9,
ENS,0.04629,0.04629,True,6,
DIMO,0.02494,0.02494,True,2,
IOTX,0.08096,0.08096,True,8,
WXM,0.14785,0.14785,True,2,
ANYONE,0.013,0.013,True,5,
GRASS,0.0352,0.0352,True,0,
LPT,0.19887,0.19887,True,2,
HNT,0.09881,0.09881,True,7,
GEOD,0.06046,0.06046,True,4,
FIL,0.02209,0.02209,True,1,
RENDER,0.02735,0.02734,True,3,
POKT,0.08986,0.08986,True,1,
ZRO,0.01432,0.01432,True,2,
W,0.01187,0.01187,True,4,
MOR,0.04637,0.04637,True,3,
AXL,0.02307,0.02307,True,6,
META,0.01518,0.01518,True,1,
LDO,0.00767,0.00767,True,11,
ATH,0.1001,0.1001,True,11,
HONEY,0.02035,0.02035,True,5,
IO,0.04025,0.04025,True,25,
HYPE,0.00516,0.00453,True,5,
BAL,0.02904,0.02904,True,5,
WLFI,0.08124,0.08124,True,14,
ENA,0.04267,0.04267,True,7,
PUMP,0.03164,0.03164,True,11,
JTO,0.02657,0.02657,True,4,
BONK,0.02261,0.02261,True,5,
KMNO,0.02691,0.02691,True,4,
FXS,0.03241,0.03241,True,7,
SNX,0.01707,0.01708,True,10,
GNO,0.04249,0.04249,True,13,
ALGO,0.0591,0.0591,True,36,
DOT,0.0052,0.01392,False,0,SPECIAL METHOD: AssetHub Subscan capture differs from clone-A DOT_holders.csv (capture-provenance gap)
TAO,0.00749,0.00749,True,11,
