token,month,incentive_emission_tokens,insider_unlock_tokens,burned_tokens
COMP,2020-07,96795.5,47232.82,0.0
COMP,2020-08,99765.0,47232.82,0.0
COMP,2020-09,59903.5,45709.18,0.0
COMP,2020-10,104602.5,47232.82,0.0
COMP,2020-11,99990.5,45709.18,0.0
COMP,2020-12,73859.0,47232.82,0.0
COMP,2021-01,114186.5,47232.82,0.0
COMP,2021-02,103900.0,42661.9,0.0
COMP,2021-03,110601.5,47232.82,0.0
COMP,2021-04,0.0,45709.18,0.0
COMP,2021-05,206766.0,47232.82,0.0
COMP,2021-06,0.0,45709.18,0.0
COMP,2021-07,0.0,47232.82,0.0
COMP,2021-08,218464.0,47232.82,0.0
COMP,2021-09,0.0,45709.18,0.0
COMP,2021-10,250516.0,47232.82,0.0
COMP,2021-11,0.0,45709.18,0.0
COMP,2021-12,233286.0,47232.82,0.0
COMP,2022-01,0.0,47232.82,0.0
COMP,2022-02,0.0,42661.9,0.0
COMP,2022-03,0.0,47232.82,0.0
COMP,2022-04,297308.0,45709.18,0.0
COMP,2022-05,98770.5,47232.82,0.0
COMP,2022-06,0.0,45709.18,0.0
COMP,2022-07,0.0,47232.82,0.0
COMP,2022-08,344966.5,47232.82,0.0
COMP,2022-09,0.0,45709.18,0.0
COMP,2022-10,0.0,47232.82,0.0
COMP,2022-11,0.0,45709.18,0.0
COMP,2022-12,368262.5,47232.82,0.0
COMP,2023-01,0.0,47232.82,0.0
COMP,2023-02,0.0,42661.9,0.0
COMP,2023-03,310923.5,47232.82,0.0
COMP,2023-04,0.0,45709.18,0.0
COMP,2023-05,0.0,47232.82,0.0
COMP,2023-06,0.0,45709.18,0.0
COMP,2023-07,505185.0,47232.82,0.0
COMP,2023-08,56714.5,47232.82,0.0
COMP,2023-09,0.0,45709.18,0.0
COMP,2023-10,0.0,47232.82,0.0
COMP,2023-11,403274.0,45709.18,0.0
COMP,2023-12,98484.5,47232.82,0.0
COMP,2024-01,0.0,47232.82,0.0
COMP,2024-02,0.0,44185.54,0.0
COMP,2024-03,0.0,47232.82,0.0
COMP,2024-04,181500.52,45709.18,0.0
COMP,2024-05,0.0,47232.82,0.0
COMP,2024-06,0.0,21330.95,0.0
COMP,2024-07,0.0,0.0,0.0
COMP,2024-08,0.0,0.0,0.0
COMP,2024-09,0.0,0.0,0.0
COMP,2024-10,0.0,0.0,0.0
COMP,2024-11,0.0,0.0,0.0
COMP,2024-12,0.0,0.0,0.0
COMP,2025-01,0.0,0.0,0.0
COMP,2025-02,0.0,0.0,0.0
COMP,2025-03,1.39,0.0,0.0
COMP,2025-04,0.0,0.0,0.0
COMP,2025-05,0.0,0.0,0.0
AAVE,2018-01,0.0,0,0.0
AAVE,2018-02,0.0,0,0.0
AAVE,2018-03,0.0,0,0.0
AAVE,2018-04,0.0,0,0.0
AAVE,2018-05,0.0,0,0.0
AAVE,2018-06,0.0,0,0.0
AAVE,2018-07,0.0,0,0.0
AAVE,2018-08,0.0,0,0.0
AAVE,2018-09,0.0,0,0.0
AAVE,2018-10,0.0,0,0.0
AAVE,2018-11,0.0,0,0.0
AAVE,2018-12,0.0,0,0.0
AAVE,2019-01,0.0,0,0.0
AAVE,2019-02,0.0,0,0.0
AAVE,2019-03,0.0,0,0.0
AAVE,2019-04,0.0,0,0.0
AAVE,2019-05,0.0,0,0.0
AAVE,2019-06,0.0,0,0.0
AAVE,2019-07,0.0,0,0.0
AAVE,2019-08,0.0,0,0.0
AAVE,2019-09,0.0,0,0.0
AAVE,2019-10,0.0,0,0.0
AAVE,2019-11,0.0,0,0.0
AAVE,2019-12,0.0,0,0.0
AAVE,2020-01,0.0,0,0.0
AAVE,2020-02,0.0,0,0.0
AAVE,2020-03,0.0,0,0.0
AAVE,2020-04,0.0,0,0.0
AAVE,2020-05,0.0,0,0.0
AAVE,2020-06,0.0,0,0.0
AAVE,2020-07,0.0,0,0.0
AAVE,2020-08,0.0,0,0.0
AAVE,2020-09,0.0,0,0.0
AAVE,2020-10,3456.47,0,0.0
AAVE,2020-11,5940.5,0,0.0
AAVE,2020-12,6998.53,0,0.0
AAVE,2021-01,18624.49,0,0.0
AAVE,2021-02,12886.72,0,0.0
AAVE,2021-03,28464.39,0,0.0
AAVE,2021-04,27730.02,0,0.0
AAVE,2021-05,90488.16,0,0.0
AAVE,2021-06,95728.68,0,0.0
AAVE,2021-07,91755.02,0,0.0
AAVE,2021-08,74164.19,0,0.0
AAVE,2021-09,81811.6,0,0.0
AAVE,2021-10,99436.61,0,0.0
AAVE,2021-11,68988.45,0,0.0
AAVE,2021-12,96597.61,0,0.0
AAVE,2022-01,52108.05,0,0.0
AAVE,2022-02,69803.29,0,0.0
AAVE,2022-03,57852.51,0,0.0
AAVE,2022-04,64641.99,0,0.0
AAVE,2022-05,52122.14,0,0.0
AAVE,2022-06,46738.93,0,0.0
AAVE,2022-07,28346.87,0,0.0
AAVE,2022-08,40342.07,0,0.0
AAVE,2022-09,27488.53,0,0.0
AAVE,2022-10,41642.09,0,0.0
AAVE,2022-11,36439.94,0,0.0
AAVE,2022-12,38491.75,0,0.0
AAVE,2023-01,30344.79,0,0.0
AAVE,2023-02,30308.43,0,0.0
AAVE,2023-03,37826.79,0,0.0
AAVE,2023-04,18633.68,0,0.0
AAVE,2023-05,43820.49,0,0.0
AAVE,2023-06,38764.36,0,0.0
AAVE,2023-07,33148.96,0,0.0
AAVE,2023-08,19302.44,0,0.0
AAVE,2023-09,46572.13,0,0.0
AAVE,2023-10,34624.96,0,0.0
AAVE,2023-11,45152.97,0,0.0
AAVE,2023-12,37431.02,0,0.0
AAVE,2024-01,26446.82,0,0.0
AAVE,2024-02,16780.73,0,0.0
AAVE,2024-03,33497.21,0,0.0
AAVE,2024-04,14078.93,0,0.0
AAVE,2024-05,32948.54,0,0.0
AAVE,2024-06,20428.96,0,0.0
AAVE,2024-07,26388.0,0,0.0
AAVE,2024-08,29524.07,0,0.0
AAVE,2024-09,22117.82,0,0.0
AAVE,2024-10,16350.02,0,0.0
AAVE,2024-11,31575.28,0,0.0
AAVE,2024-12,33251.09,0,0.0
