protocol,token,sector,float_to_fdv,revenue_to_fdv,revenue_to_mcap,hhi
Compound,COMP,DeFi,0.966359,0.027717,0.028682,0.009223
MakerDAO,MKR,DeFi,,2.110313,,0.040408
Aave,AAVE,DeFi,0.947986,0.086621,0.091374,0.01279
Uniswap,UNI,DeFi,0.705693,0.003374,0.004781,0.009784
Curve,CRV,DeFi,0.630313,0.059659,0.09465,0.014418
Rocket Pool,RPL,DeFi,0.997652,0.989103,0.991432,0.039154
Jupiter,JUP,DeFi,0.516667,0.000797,0.001542,0.095708
Maple Finance,MPL_SYRUP,DeFi,0.174809,7.229917,41.358877,0.024243
GMX,GMX,DeFi,0.999197,0.442416,0.442771,0.064722
Drift,DRIFT,DeFi,0.580025,0.121488,0.209454,0.052914
Ether.Fi,ETHFI,DeFi,0.788333,0.105121,0.133346,0.041725
The Graph,GRT,L1,0.997155,0.001377,0.001381,0.032983
Optimism,OP,L1,0.493039,0.027244,0.055258,0.009281
Polygon,POL,L1,0.999666,0.008927,0.00893,0.03475
Arbitrum,ARB,L1,0.603921,0.02377,0.039359,0.011914
ENS,ENS,L1,0.383536,0.002899,0.007559,0.049364
DIMO,DIMO,DePIN,0.496567,0.01944,0.039148,0.024943
IoTeX,IOTX,DePIN,0.999972,0.002017,0.002017,0.080958
WeatherXM,WXM,DePIN,0.312008,0.031356,0.100499,0.147854
Anyone Protocol,ANYONE,DePIN,,0.0,,0.012789
Grass,GRASS,DePIN,0.564674,0.0,0.0,0.035201
Livepeer,LPT,DePIN,1.001017,0.0,0.0,0.198868
Helium,HNT,DePIN,0.999898,0.066723,0.06673,0.074465
GEODNET,GEOD,DePIN,0.440123,0.067173,0.152622,0.060457
Filecoin,FIL,DePIN,0.390553,0.001775,0.004544,0.022086
Render,RENDER,DePIN,0.974215,0.002977,0.003056,0.026753
Pokt Network,POKT,DePIN,0.855541,0.000761,0.000889,0.089859
LayerZero,ZRO,L1,0.252406,0.001888,0.007479,0.014321
Wormhole,W,L1,0.559256,0.001771,0.003167,0.011532
Morpheus AI,MOR,DePIN,,0.07849,,0.046366
Axelar,AXL,L1,0.92437,0.000577,0.000624,0.026763
MetaDAO,META,DeFi,1.0,0.002256,0.002256,0.015176
Lido,LDO,DeFi,0.849042,0.246285,0.290074,0.007718
Aethir,ATH,DePIN,1.0,0.235878,0.235878,0.094764
Hivemapper,HONEY,DePIN,0.89146,0.03794,0.042559,0.017589
io.net,IO,DePIN,0.416906,0.139082,0.333606,0.125136
Hyperliquid,HYPE,DeFi,0.265714,0.022286,0.083871,0.005158
Balancer,BAL,DeFi,0.673913,0.23913,0.354839,0.029037
World Liberty Financial,WLFI,DeFi,0.317734,0.0,0.0,0.155738
Ethena,ENA,DeFi,0.601771,0.006634,0.011025,0.047164
Pump.fun,PUMP,DeFi,0.40874,0.229935,0.562545,0.040147
Jito,JTO,DeFi,0.476066,0.013136,0.027592,0.025881
Bonk,BONK,DeFi,1.0,0.007735,0.007735,0.022611
Kamino Finance,KMNO,DeFi,0.470344,0.043296,0.092052,0.031341
Frax Finance,FXS,DeFi,1.0,0.0,0.0,0.032411
Synthetix,SNX,DeFi,1.002121,0.000291,0.00029,0.017075
Gnosis,GNO,DeFi,1.0,0.0001,0.0001,0.042485
Algorand,ALGO,L1,0.999962,6e-06,6e-06,0.059096
Polkadot,DOT,L1,1.0,4.7e-05,4.7e-05,0.0052
Bittensor,TAO,L1,0.457023,0.0,0.0,0.007486
