token,sector,covered,ttm_newsupply_value_usd,tt_incentives_annual_usd,calib_ratio
COMP,DeFi,True,33005991.08,1225567.0,26.93
MKR,DeFi,True,-647422049.27,,
AAVE,DeFi,True,25111385.17,8099992.0,3.1
UNI,DeFi,True,215041841.28,536653.0,400.71
CRV,DeFi,True,87967286.05,,
RPL,DeFi,True,4478752.15,,
JUP,DeFi,True,226334596.56,,
MPL_SYRUP,DeFi,True,81418478.54,,
GMX,DeFi,True,3780465.6,53912.0,70.12
DRIFT,DeFi,True,85040638.62,,
ETHFI,DeFi,True,531333765.78,,
GRT,L1,True,101743846.93,,
OP,L1,True,193629048.88,56578046.0,3.42
POL,L1,True,445281814.54,9657767.0,46.11
ARB,L1,True,398841413.75,,
ENS,L1,True,64889205.27,,
DIMO,DePIN,True,5911177.34,,
IOTX,DePIN,True,-12454.36,994755.0,-0.01
WXM,DePIN,True,-7876741.82,,
ANYONE,DePIN,True,37049.8,,
GRASS,DePIN,True,162725708.73,,
LPT,DePIN,True,50986117.12,24587414.0,2.07
HNT,DePIN,True,12660929.27,,
GEOD,DePIN,True,15386815.75,,
FIL,DePIN,True,185494174.95,19712256.0,9.41
RENDER,DePIN,True,7499235.69,,
POKT,DePIN,True,395706.7,,
ZRO,L1,True,234372644.98,,
W,L1,True,50220416.14,,
MOR,DePIN,True,9723275.49,,
AXL,L1,True,46466525.88,,
META,DeFi,False,,,
LDO,DeFi,True,-29671772.37,,
ATH,DePIN,True,271177836.54,,
HONEY,DePIN,True,19056448.67,,
IO,DePIN,True,55382378.23,,
HYPE,DeFi,True,-3604970904.9,,
BAL,DeFi,True,1460297.79,,
WLFI,DeFi,True,411717870.35,,
ENA,DeFi,True,990580924.74,,
PUMP,DeFi,True,833449226.55,,
JTO,DeFi,True,141469310.01,,
BONK,DeFi,True,104686918.2,,
KMNO,DeFi,True,130363247.32,,
FXS,DeFi,True,-43795745.2,,
SNX,DeFi,True,144452.47,,
GNO,DeFi,True,14210.84,,
ALGO,L1,True,55486997.12,,
DOT,L1,True,391093430.85,,
TAO,L1,True,316999580.33,,
