token,sector,month,new_supply,mean_price_usd,new_supply_value_usd
COMP,DeFi,2020-07,217448.41,167.941828,36518682.97
COMP,DeFi,2020-08,70235.98,172.144172,12090714.75
COMP,DeFi,2020-09,96167.3,165.183539,15885254.4
COMP,DeFi,2020-10,579121.0,109.095775,63179654.18
COMP,DeFi,2020-11,51559.94,107.366692,5535820.61
COMP,DeFi,2020-12,158548.26,142.743705,22631766.77
COMP,DeFi,2021-01,129849.61,201.020538,26102439.37
COMP,DeFi,2021-02,73898.41,444.855882,32874142.52
COMP,DeFi,2021-03,186368.28,432.789939,80658315.4
COMP,DeFi,2021-04,594608.37,517.699011,307828164.56
COMP,DeFi,2021-05,112575.77,627.644615,70657578.73
COMP,DeFi,2021-06,165708.02,321.121194,53212355.92
COMP,DeFi,2021-07,19585.14,399.831557,7830756.58
COMP,DeFi,2021-08,5171.98,449.68981,2325788.51
COMP,DeFi,2021-09,265426.07,400.54822,106315939.05
COMP,DeFi,2021-10,445454.2,315.96501,140747941.31
COMP,DeFi,2021-11,83054.87,325.297893,27017575.41
COMP,DeFi,2021-12,102377.98,214.927803,22003873.49
COMP,DeFi,2022-01,246774.64,171.924231,42426539.76
COMP,DeFi,2022-02,46372.65,125.330415,5811904.11
COMP,DeFi,2022-03,73863.41,114.87773,8485260.41
COMP,DeFi,2022-04,67471.69,139.224363,9393703.6
COMP,DeFi,2022-05,100908.02,78.284863,7899570.23
COMP,DeFi,2022-06,32305.34,46.743137,1510052.78
COMP,DeFi,2022-07,-32137.7,52.578148,-1689741.01
COMP,DeFi,2022-08,32155.75,56.365687,1812480.96
COMP,DeFi,2022-09,10122.25,54.445912,551114.95
COMP,DeFi,2022-10,-27817.77,54.711604,-1521954.65
COMP,DeFi,2022-11,5726.57,41.414925,237165.51
COMP,DeFi,2022-12,-4460.63,35.691931,-159208.51
COMP,DeFi,2023-01,-8155.86,44.111288,-359765.31
COMP,DeFi,2023-02,24881.57,52.558748,1307744.43
COMP,DeFi,2023-03,-3260.15,44.220068,-144164.18
COMP,DeFi,2023-04,-6393.5,42.555788,-272080.57
COMP,DeFi,2023-05,2959.42,36.682555,108559.26
COMP,DeFi,2023-06,4.83,32.339476,156.11
COMP,DeFi,2023-07,-3238.81,66.390351,-215025.79
COMP,DeFi,2023-08,-1704.16,50.277462,-85681.07
COMP,DeFi,2023-09,-26994.56,40.205425,-1085327.62
COMP,DeFi,2023-10,17357.56,43.41717,753616.26
COMP,DeFi,2023-11,18675.29,51.405698,960016.36
COMP,DeFi,2023-12,-1320.63,53.863129,-71133.43
COMP,DeFi,2024-01,-20010.82,54.56276,-1091845.42
COMP,DeFi,2024-02,14292.27,60.306061,861910.54
COMP,DeFi,2024-03,-11645.9,82.39595,-959575.29
COMP,DeFi,2024-04,17248.38,62.778429,1082826.21
COMP,DeFi,2024-05,-8933.34,57.824801,-516568.34
COMP,DeFi,2024-06,-3707.57,52.83273,-195881.05
COMP,DeFi,2024-07,952.17,49.376309,47014.87
COMP,DeFi,2024-08,1513505.61,45.241417,68473137.96
COMP,DeFi,2024-09,416106.03,44.816962,18648608.01
COMP,DeFi,2024-10,4883.7,44.179437,215759.19
COMP,DeFi,2024-11,61111.17,53.165184,3248986.47
COMP,DeFi,2024-12,16014.74,94.166523,1508052.07
COMP,DeFi,2025-01,18533.13,77.61954,1438532.99
COMP,DeFi,2025-02,-19453.21,54.793035,-1065900.23
COMP,DeFi,2025-03,65448.14,44.585031,2918007.56
COMP,DeFi,2025-04,9705.69,41.5016,402801.67
COMP,DeFi,2025-05,142976.75,43.088233,6160615.29
COMP,DeFi,2025-06,210186.63,48.331165,10158564.96
COMP,DeFi,2025-07,112786.67,47.237306,5327738.3
COMP,DeFi,2025-08,50510.25,47.282183,2388235.12
COMP,DeFi,2025-09,202459.67,43.353389,8777312.87
COMP,DeFi,2025-10,-17945.82,38.130363,-684280.59
COMP,DeFi,2025-11,31656.14,32.236667,1020488.53
COMP,DeFi,2025-12,-4797.14,28.722892,-137787.65
COMP,DeFi,2026-01,128.9,25.486962,3285.33
COMP,DeFi,2026-02,-3863.18,18.342289,-70859.52
COMP,DeFi,2026-03,6694.57,18.261077,122249.99
COMP,DeFi,2026-04,-3440.12,17.316697,-59571.55
MKR,DeFi,2018-02,0.0,1059.621599,0.0
MKR,DeFi,2018-03,0.0,777.142219,0.0
MKR,DeFi,2018-04,0.0,729.989794,0.0
MKR,DeFi,2018-05,-0.0,927.442669,-0.0
MKR,DeFi,2018-06,0.0,633.976249,0.0
MKR,DeFi,2018-07,50000.0,587.307576,29365378.8
MKR,DeFi,2018-08,317.15,473.534889,150181.02
MKR,DeFi,2018-09,59682.62,421.98644,25185256.89
MKR,DeFi,2018-10,53.93,638.300879,34425.02
MKR,DeFi,2018-11,-347.26,542.859638,-188515.59
MKR,DeFi,2018-12,-55.94,392.421295,-21952.6
MKR,DeFi,2019-01,542.21,450.811718,244432.83
MKR,DeFi,2019-02,-269.97,520.939481,-140637.17
MKR,DeFi,2019-03,271533.78,683.07641,185478322.24
MKR,DeFi,2019-04,335.57,647.338937,217229.13
MKR,DeFi,2019-05,751.38,618.167808,464476.78
MKR,DeFi,2019-06,-417.61,725.681063,-303048.84
MKR,DeFi,2019-07,-257465.37,613.278174,-157897891.0
MKR,DeFi,2019-08,-40.49,519.744029,-21045.12
MKR,DeFi,2019-09,537.8,476.898404,256475.72
MKR,DeFi,2019-10,-428.03,484.617867,-207431.49
MKR,DeFi,2019-11,-0.0,584.179592,-0.0
MKR,DeFi,2019-12,-555.88,484.767788,-269472.61
MKR,DeFi,2020-01,126447.58,482.339262,60990631.64
MKR,DeFi,2020-02,385.07,594.674656,228989.75
MKR,DeFi,2020-03,21305.24,372.306073,7932071.48
MKR,DeFi,2020-04,-5836.88,312.76566,-1825574.69
MKR,DeFi,2020-05,1937.45,345.988943,670336.59
MKR,DeFi,2020-06,15714.77,513.053576,8062518.12
MKR,DeFi,2020-07,-232.4,476.941963,-110842.38
MKR,DeFi,2020-08,-1140.23,636.916068,-726229.62
MKR,DeFi,2020-09,11556.02,523.980105,6055122.17
MKR,DeFi,2020-10,1132.85,564.749659,639776.83
MKR,DeFi,2020-11,-5988.1,536.052691,-3209936.27
MKR,DeFi,2020-12,-6525.48,540.687394,-3528246.64
MKR,DeFi,2021-01,-1987.98,1250.601779,-2486168.35
MKR,DeFi,2021-02,-2477.46,2323.103257,-5755403.33
MKR,DeFi,2021-03,4438.34,2111.633689,9372147.98
MKR,DeFi,2021-04,-2075.77,3103.195674,-6441515.35
MKR,DeFi,2021-05,3592.43,4408.024001,15835504.2
MKR,DeFi,2021-06,4200.41,2909.790952,12222301.62
MKR,DeFi,2021-07,-5546.3,2600.750656,-14424546.76
MKR,DeFi,2021-08,-1193.09,3463.318487,-4132063.1
MKR,DeFi,2021-09,-800.45,2881.557612,-2306555.03
MKR,DeFi,2021-10,1807.2,2489.070455,4498243.0
MKR,DeFi,2021-11,1203.64,2985.130262,3593030.19
MKR,DeFi,2021-12,-3816.39,2547.484536,-9722183.27
MKR,DeFi,2022-01,1850.09,2079.815902,3847850.4
MKR,DeFi,2022-02,628.28,2034.089065,1277975.01
MKR,DeFi,2022-03,514.43,1929.853951,992775.99
MKR,DeFi,2022-04,-1288.0,1920.648114,-2473788.04
MKR,DeFi,2022-05,-1367.29,1349.655057,-1845363.89
MKR,DeFi,2022-06,3164.95,1000.106744,3165289.73
MKR,DeFi,2022-07,-1407.57,959.166884,-1350090.95
MKR,DeFi,2022-08,3796.17,961.53442,3650143.52
MKR,DeFi,2022-09,-4378.18,708.086511,-3100129.65
MKR,DeFi,2022-10,419.31,927.867494,389064.09
MKR,DeFi,2022-11,953.74,729.927662,696163.09
MKR,DeFi,2022-12,223.46,583.13055,130306.1
MKR,DeFi,2023-01,-1451.93,630.61962,-915614.04
MKR,DeFi,2023-02,1344.12,728.684988,979440.0
MKR,DeFi,2023-03,-1073.51,774.107315,-831008.52
MKR,DeFi,2023-04,2204.54,714.830275,1575874.32
MKR,DeFi,2023-05,-969.58,652.661956,-632806.15
MKR,DeFi,2023-06,-63.69,668.554922,-42582.96
MKR,DeFi,2023-07,-1491.95,1001.03144,-1493486.52
MKR,DeFi,2023-08,590.43,1160.25606,685051.49
MKR,DeFi,2023-09,720.03,1233.480549,888140.05
MKR,DeFi,2023-10,-298.21,1430.199228,-426492.65
MKR,DeFi,2023-11,18383.79,1382.349525,25412827.33
MKR,DeFi,2023-12,-246.49,1422.52029,-350638.34
MKR,DeFi,2024-01,3123.91,1932.999742,6038508.93
MKR,DeFi,2024-02,-836.02,2044.964192,-1709625.39
MKR,DeFi,2024-03,2229.7,2788.782073,6218159.56
MKR,DeFi,2024-04,1093.69,3258.976053,3564294.53
MKR,DeFi,2024-05,2944.13,2790.219192,8214760.61
MKR,DeFi,2024-06,-538.98,2444.451755,-1317518.67
MKR,DeFi,2024-07,3445.65,2601.185459,8962767.59
MKR,DeFi,2024-08,-96.81,2058.183402,-199261.62
MKR,DeFi,2024-09,-49999.91,1606.047589,-80302235.23
MKR,DeFi,2024-10,-9393.11,1295.929129,-12172810.36
MKR,DeFi,2024-11,14089.34,1506.243144,21221968.67
MKR,DeFi,2024-12,5862.88,1839.131298,10782597.0
MKR,DeFi,2025-01,-4097.74,1377.940896,-5646443.16
MKR,DeFi,2025-02,-34772.5,1155.925692,-40194421.09
MKR,DeFi,2025-03,-8227.4,1301.261168,-10706002.47
MKR,DeFi,2025-04,-10448.28,1372.913832,-14344583.84
MKR,DeFi,2025-05,-264136.56,1677.446071,-443074827.22
MKR,DeFi,2025-06,-47688.76,1714.215202,-81748797.54
AAVE,DeFi,2020-11,578512.78,57.077865,33020274.46
AAVE,DeFi,2020-12,222894.0,82.738138,18441834.06
AAVE,DeFi,2021-01,322482.07,173.323511,55893724.03
AAVE,DeFi,2021-02,13902.53,426.253146,5925996.79
AAVE,DeFi,2021-03,47063.45,375.51801,17673172.86
AAVE,DeFi,2021-04,302455.94,389.310563,117749293.08
