frame_token,chain,rank,address,share,nansen_label,nansen_ownership_pct,classification,class_source,insider,matched_in_nansen
AAVE,ethereum,1,0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,0.028844,Binance: BSC-pegged Assets [0x47ac0f],2.5,exchange,exchange_kw,False,True
AAVE,ethereum,2,0x7915f9373ae32d1fcaf0cdf17a532a3d8046d759,0.024373,,,unlabeled,,False,False
AAVE,ethereum,3,0x25f2226b597e8f9514b3f68f00f494cf4f286491,0.023088,Aave: Ecosystem Reserve [0x25f222],3.71,other_labeled,no_kw_match,False,True
AAVE,ethereum,4,0x317625234562b1526ea2fac4030ea499c5291de4,0.021813,,,unlabeled,,False,False
AAVE,ethereum,5,0x5a801a9418d036fd453078c3adcb761fdc5ae695,0.01605,Upbit: Hot Wallet [0x5a801a],1.5,other_labeled,no_kw_match,False,True
AAVE,ethereum,6,0x45292a0eafa4d1625c06902f359c5ee819afb026,0.015597,Coinbase Prime: Custody Wallet [0x45292a],1.35,exchange,exchange_kw,False,True
AAVE,ethereum,7,0x73af3bcf944a6559933396c1577b257e2054d935,0.01457,,,unlabeled,,False,False
AAVE,ethereum,8,0x22740deba78d5a0c24c58c740e3715ec29de1bfa,0.013814,,,unlabeled,,False,False
AAVE,ethereum,9,0x0e240e9a7b40ad11fdd69f952ba3bbd29a238bbd,0.013701,Coinbase Prime: Custody Wallet [0x0e240e],1.19,exchange,exchange_kw,False,True
AAVE,ethereum,10,0x6e9ddc0143cf07d21ea51b6406755e2da9be0f58,0.012983,Token Millionaire [0x6e9ddc],1.13,other_labeled,no_kw_match,False,True
ANYONE,ethereum,1,0xc593fe9193b745447e86b45ea0bf62565ee030cc,0.032438,Uniswap: V3 WETH-ANYONE (1%) Liquidity Pool  [0xc593fe],2.69,other_labeled,no_kw_match,False,True
ANYONE,ethereum,2,0x1ef7a8dc436253b28167153aec7a1562bf73551c,0.029308,ANYONE: ANYONE Relay Rewards 2 [0x1ef7a8],2.5,other_labeled,no_kw_match,False,True
ANYONE,ethereum,3,0x50e6d8485b448de44cd9d9c979d5d8ed36bd82cb,0.029308,Anyone: Relay Rewards 3 [0x50e6d8],2.5,other_labeled,no_kw_match,False,True
ANYONE,ethereum,4,0xd19eab591fc1840c237488a180ced4aad9faecf8,0.029308,Anyone: ANYONE Relay Rewards 4 [0xd19eab],2.5,other_labeled,no_kw_match,False,True
ANYONE,ethereum,5,0xeed86b90448c371eab47b7f16e294297c27e4f51,0.018247,Coinspot: 0xeed [0xeed86b],1.51,other_labeled,no_kw_match,False,True
ANYONE,ethereum,6,0xe8fdfb7b89519ed7c4999a912abf315e6aa52b6f,0.01524,Vesting [0xe8fdfb],1.0,insider,insider_kw,True,True
ANYONE,ethereum,7,0x446b86a33e2a438f569b15855189e3da28d027ba,0.015002,KuCoin: Wallet [0x446b86],1.28,other_labeled,no_kw_match,False,True
ANYONE,ethereum,8,0x9da8bfa73922ba179b7ce8dc9d5d1d4444e48878,0.014297,Becker: Former Smart Trader [0x9da8bf],1.31,other_labeled,no_kw_match,False,True
ANYONE,ethereum,9,0xaa10db8804d076601999c7cd769e02e44a99d5b2,0.012943,KuCoin: Deposit [0xaa10db],1.1,other_labeled,no_kw_match,False,True
ANYONE,ethereum,10,0xaa469fc353c0ccffc8fc192e021afbc4e5303892,0.012739,ANyONe Protocol: ANYONE Bridge [0xaa469f],1.31,protocol_contract,protocol_kw,False,True
ARB,arbitrum,1,0xf7f468b184a48f6ca37eeffe12733ee1c16b6e26,0.052528,Upbit: Exchange [0xf7f468],4.66,exchange,exchange_kw,False,True
ARB,arbitrum,2,0x07455344be8db742627ae4514c1071e43a154ddb,0.013289,Coinbase: Deposit [0x074553],1.17,exchange,exchange_kw,False,True
ARB,arbitrum,3,0x1190cea3e2c8727218768bfb990c3228aa06dfa9,0.012822,Lightspeed: Fund [0x1190ce],1.13,other_labeled,no_kw_match,False,True
ARB,arbitrum,4,0xee5b5b923ffce93a870b3104b7ca09c3db80047a,0.009993,Bybit [0xee5b5b],0.88,other_labeled,no_kw_match,False,True
ARB,arbitrum,5,0x76ec5a0d3632b2133d9f1980903305b62678fbd3,0.009494,BTCTurk [0x76ec5a],0.78,other_labeled,no_kw_match,False,True
ARB,arbitrum,6,0x361ad597f6a0cf86f8ab14234ca17a5739a67458,0.008105,Bithumb: Wallet [0x361ad5],0.66,other_labeled,no_kw_match,False,True
ARB,arbitrum,7,0x43684d03d81d3a4c70da68febdd61029d426f042,0.007829,Binance: Wallet [0x43684d],0.69,exchange,exchange_kw,False,True
ARB,arbitrum,8,0xf5acf47847963bd0ae2b8e080729bf508b2482df,0.007755,Coinbase Prime: Deposit [0xf5acf4],0.94,exchange,exchange_kw,False,True
ARB,arbitrum,9,0x3964128e13e05d4a672b4b45a1a96a2d56c27efb,0.00771,Coinbase: Deposit [0x396412],0.68,exchange,exchange_kw,False,True
ARB,arbitrum,10,0x73af3bcf944a6559933396c1577b257e2054d935,0.00745,,,unlabeled,,False,False
ATH,ethereum,1,0xaf8dcd50fdc14e413e5ef4468d4d21a961a7dcfd,0.061829,Upbit: Internal Wallet [0xaf8dcd],6.32,other_labeled,no_kw_match,False,True
ATH,ethereum,2,0x5a4a88b4c6be83344ad9331facac9fd629e7831d,0.057606,Token Millionaire [0x5a4a88],5.71,other_labeled,no_kw_match,False,True
ATH,ethereum,3,0x33548d42afa567dba29e0da665d295e232166a43,0.038584,Aethir [0x33548d],3.83,other_labeled,no_kw_match,False,True
ATH,ethereum,4,0x651641299c7ec0aa44ad7ed9b7e12702fed2022f,0.015774,Bybit [0x651641],1.52,other_labeled,no_kw_match,False,True
ATH,ethereum,5,0x8714909ac67adb799df8901b1825234215c96e19,0.008906,Bithumb: Deposit [0x871490],0.89,other_labeled,no_kw_match,False,True
ATH,ethereum,6,0xe60e21cedb02bff2e88cd328a6cd74324a67a737,0.007528,MerkleVester [0xe60e21],0.75,insider,insider_kw,True,True
ATH,ethereum,7,0x4320d08ff059cd11803d3ef1fc5c241ab38d18f8,0.007008,Coinbase Prime: Custody Wallet [0x4320d0],0.57,exchange,exchange_kw,False,True
ATH,ethereum,8,0xdcba55e25b40af721a717f13f0b523739fbdfbcb,0.005522,Aethir Token (ATH) Investment Recipient [0xdcba55],0.55,insider,insider_kw,True,True
ATH,ethereum,9,0x5f4cac3cf9253c508655fa2c63bc0a71453a80b4,0.004664,Aethir Token (ATH) Investment Recipient [0x5f4cac],0.46,insider,insider_kw,True,True
ATH,ethereum,10,0x5d55d7f0f5d0078cc12f8fce3a6845aa812150a6,0.004203,Token Millionaire [0x5d55d7],0.42,other_labeled,no_kw_match,False,True
AXL,ethereum,1,0xf42aac93ab142090db9fdc0bc86aab73cb36f173,0.033461,Bybit: Hot Wallet [0xf42aac],5.96,other_labeled,no_kw_match,False,True
AXL,ethereum,2,0xfcac185644e5c6cd73c309a60d2758ae56cf78b3,0.028733,High Balance [0xfcac18],2.27,other_labeled,no_kw_match,False,True
AXL,ethereum,3,0xd1669ac6044269b59fa12c5822439f609ca54f41,0.021035,CoinList [0xd1669a],1.41,other_labeled,no_kw_match,False,True
AXL,ethereum,4,0xc80afd311c9626528de66d86814770361fe92416,0.013923,Paribu [0xc80afd],0.8,other_labeled,no_kw_match,False,True
AXL,ethereum,5,0x3de3a257f0e50af9bf48aea633e06085695d9c1b,0.013396,,,unlabeled,,False,False
AXL,ethereum,6,0x05e9c5bcc805aefefebbec13742cec01c6fac42e,0.010728,TokenManagerProxy [0x05e9c5],0.47,other_labeled,no_kw_match,False,True
AXL,ethereum,7,0x0431e3b8bd78ef3aa3527d2d8bbcf089012f0cdf,0.00939,Coinbase Prime: Custody Wallet [0x0431e3],0.75,exchange,exchange_kw,False,True
AXL,ethereum,8,0x7dafba1d69f6c01ae7567ffd7b046ca03b706f83,0.009001,Kraken [0x7dafba],0.87,exchange,exchange_kw,False,True
AXL,ethereum,9,0xd2dd7b597fd2435b6db61ddf48544fd931e6869f,0.00789,Kraken [0xd2dd7b],0.67,exchange,exchange_kw,False,True
AXL,ethereum,10,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,0.007642,Bitvavo: Hot Wallet [0xab782b],0.96,other_labeled,no_kw_match,False,True
BAL,ethereum,1,0xc80afd311c9626528de66d86814770361fe92416,0.118852,Paribu [0xc80afd],5.58,other_labeled,no_kw_match,False,True
BAL,ethereum,2,0x2f28cac69f61841d6fe1a01d5bd80ac352ea6d2b,0.055141,,,unlabeled,,False,False
BAL,ethereum,3,0xff052381092420b7f24cc97fded9c0c17b2cbbb9,0.044784,Balancer: Shareholder [0xff0523],1.86,other_labeled,no_kw_match,False,True
BAL,ethereum,4,0xa0b3da7383b969008ebbab1d2567c93a143f472a,0.018371,,,unlabeled,,False,False
BAL,ethereum,5,0x91b9e59614995e13a32e36440ac524825f7ae39e,0.013598,Token Millionaire [0x91b9e5],0.57,other_labeled,no_kw_match,False,True
BAL,ethereum,6,0xda6b2a5e0c56542984d84a710f90eefd94ca1991,0.013467,High Balance [0xda6b2a],0.56,other_labeled,no_kw_match,False,True
BAL,ethereum,7,0xd519d5704b41511951c8cf9f65fee9ab9bef2611,0.013205,High Balance [0xd519d5],0.55,other_labeled,no_kw_match,False,True
BAL,ethereum,8,0xbb19053e031d9b2b364351b21a8ed3568b21399b,0.012899,High Balance [0xbb1905],0.54,other_labeled,no_kw_match,False,True
BAL,ethereum,9,0xe08a8b19e5722a201eaf20a6bc595ef655397bd5,0.012573,Token Millionaire [0xe08a8b],0.52,other_labeled,no_kw_match,False,True
BAL,ethereum,10,0x1c39babd4e0d7bff33bc27c6cc5a4f1d74c9f562,0.012558,High Balance [0x1c39ba],0.53,other_labeled,no_kw_match,False,True
BONK,solana,1,51yZyDSnec4xnUv7XLRVYcDyV4x3wUtzrDcRaYbmQU5j,0.059138,,,reuse_noninsider,new12_provenance_reuse,False,True
BONK,solana,2,9AdEE8AAm1XgJrPEs4zkTPozr3o4U5iGbgvPwkNdLDJ3,0.040129,,,reuse_noninsider,new12_provenance_reuse,False,True
BONK,solana,3,9RpzaFh4J8F6Qg1gjnhrhSp9eXdVDjsesZXe53qp7ubB,0.033739,,,reuse_noninsider,new12_provenance_reuse,False,True
BONK,solana,4,EbLm4ZtRqDftrQnZaMMvnwcKjK5ef5vm1Hg3sAPv3tKi,0.033599,,,reuse_noninsider,new12_provenance_reuse,False,True
BONK,solana,5,EfEgUV2uQAzTooo6L4oYiEm15F6JBTnGiWMejqxPaqL3,0.030984,,,reuse_noninsider,new12_provenance_reuse,False,True
BONK,solana,6,4xLpwxgYuPwPvtQjE94RLS4WZ4aD8NJYYKr2AJk99Qdg,0.029143,,,reuse_noninsider,new12_provenance_reuse,False,True
BONK,solana,7,8Mm46CsqxiyAputDUp2cXHg41HE3BfynTeMBDwzrMZQH,0.024848,,,reuse_noninsider,new12_provenance_reuse,False,True
BONK,solana,8,CJjCPXBnSt6wRoyi7wzcMj5NbWvmPtzxE2JpWDMTRxj4,0.021212,,,reuse_noninsider,new12_provenance_reuse,False,True
BONK,solana,9,3B7XAQrLoEMDEGvX8569F9GRb9PcXXocJmj5wvhhei9z,0.019795,,,reuse_noninsider,new12_provenance_reuse,False,True
BONK,solana,10,5oNhn2ESFHgg52xiEKBt93cEEnbsoUoekcxXsWpLbHUJ,0.01255,,,reuse_noninsider,new12_provenance_reuse,False,True
COMP,ethereum,1,0x841ed663f2636863d40be4ee76243377dff13a34,0.027413,Robinhood: Hot Wallet [0x841ed6],3.44,other_labeled,no_kw_match,False,True
COMP,ethereum,2,0x3bbd4947df4e1bd80d130ddcfa9b54f1b03a1a8d,0.025963,,,unlabeled,,False,False
COMP,ethereum,3,0x4290cd12f6ff4cdea0638916cbfb229b9d2c8806,0.020346,Coinbase Prime: Custody Wallet [0x4290cd],1.49,exchange,exchange_kw,False,True
COMP,ethereum,4,0x7e9955e7f0c1c88d76d13720b5dd122cc3f6d8f6,0.017261,,,unlabeled,,False,False
COMP,ethereum,5,0xeb6332bbb14b1488efb3a395b8ebf6a6904c4241,0.015167,Compound: COMP Multisig [0xeb6332],2.13,insider,insider_kw,True,True
COMP,ethereum,6,0xc78e14e378b035b53561fa79445069d379b1f868,0.013113,Compound: COMP Distributor [0xc78e14],0.97,protocol_contract,protocol_kw,False,True
COMP,ethereum,7,0x6522b7f9d481eceb96557f44753a4b893f837e90,0.012092,Bybit [0x6522b7],1.06,other_labeled,no_kw_match,False,True
COMP,ethereum,8,0x3e0f52239518b540a06f81d51ac4ea7ffdece329,0.011466,Geoffrey Hayes [0x3e0f52],1.01,other_labeled,no_kw_match,False,True
COMP,ethereum,9,0x7c01aa3783577e15fd7e272443d44b92d5b21056,0.01144,Sablier: Vesting [0x7c01aa],0.67,insider,insider_kw,True,True
COMP,ethereum,10,0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,0.011384,Binance: BSC-pegged Assets [0x47ac0f],1.0,exchange,exchange_kw,False,True
CRV,ethereum,1,0x72402ce4d16619e88ceff669634997c360b0f0ad,0.030633,Token Millionaire [0x72402c],2.72,other_labeled,no_kw_match,False,True
CRV,ethereum,2,0xbe7be7023902f09cc28f0101a3e6e313bf2bc626,0.020449,Kraken: Hot Wallet [0xbe7be7],1.88,exchange,exchange_kw,False,True
CRV,ethereum,3,0x611f7bf868a6212f871e89f7e44684045ddfb09d,0.015304,OKX: Deposit [0x611f7b],1.47,exchange,exchange_kw,False,True
