token,v3,v4_keyword,v4_reviewed,match,class,n_flags,n_flippers
AAVE,0.2,0.0,0.1,6,DIVERGE-reliable,3,1
ANYONE,0.4,0.1,0.1,10,DIVERGE-reliable,2,1
ARB,0.0,0.0,0.1,9,DIVERGE-reliable,5,1
ATH,0.3,0.3,0.4,10,DIVERGE-reliable,4,1
AXL,0.1,0.0,0.0,9,DIVERGE-reliable,3,0
BAL,0.0,0.0,0.1,8,DIVERGE-reliable,1,1
BONK,0.0,0.0,0.0,10,REUSE,0,0
COMP,0.1,0.2,0.3,8,DIVERGE-reliable,4,2
CRV,0.0,0.0,0.0,10,CONFIRM,4,0
DIMO,1.0,0.1,0.3,9,DIVERGE-reliable,9,3
DRIFT,0.5,0.2,0.4,9,DIVERGE-reliable,6,2
ENA,0.5,0.5,0.5,10,REUSE,0,0
ENS,0.1,0.0,0.2,9,DIVERGE-reliable,5,2
ETHFI,0.3,0.4,0.4,9,DIVERGE-reliable,2,0
FXS,0.3,0.3,0.3,10,REUSE,0,0
GEOD,0.5,0.2,0.3,10,DIVERGE-reliable,5,2
GMX,0.2,0.1,0.4,10,DIVERGE-reliable,6,3
GNO,0.1,0.1,0.1,10,REUSE,0,0
GRASS,0.1,0.0,0.0,1,DIVERGE-LOWMATCH,2,0
GRT,0.1,0.1,0.1,9,CONFIRM,0,0
HNT,0.5,0.0,0.1,8,DIVERGE-reliable,5,1
HONEY,,0.0,0.3,10,NEW(no-v3),4,1
IO,0.0,0.0,0.0,10,CONFIRM,0,0
IOTX,0.0,0.1,0.2,10,DIVERGE-reliable,2,1
JTO,0.0,0.0,0.0,10,REUSE,0,0
JUP,0.4,0.0,0.0,5,DIVERGE-reliable,5,1
KMNO,0.3,0.3,0.3,10,REUSE,0,0
LDO,0.1,0.1,0.4,9,DIVERGE-reliable,5,3
LPT,0.3,0.1,0.2,10,DIVERGE-reliable,8,3
META,1.0,0.1,0.4,9,DIVERGE-reliable,4,2
MKR,0.2,0.0,0.0,0,DIVERGE-LOWMATCH,2,0
MOR,0.3,0.1,0.4,7,DIVERGE-reliable,5,3
MPL_SYRUP,0.1,0.2,0.6,10,DIVERGE-reliable,6,2
OP,0.0,0.0,0.0,9,CONFIRM,2,0
POL,0.1,0.0,0.1,9,CONFIRM,2,1
PUMP,0.0,0.0,0.0,10,REUSE,0,0
RENDER,0.2,0.0,0.1,8,DIVERGE-reliable,5,1
RPL,0.1,0.1,0.1,10,CONFIRM,5,1
SNX,0.1,0.1,0.1,10,REUSE,0,0
UNI,0.1,0.2,0.3,10,DIVERGE-reliable,3,1
W,0.3,0.0,0.0,5,DIVERGE-reliable,2,0
WLFI,0.7,0.7,0.7,10,REUSE,0,0
WXM,0.5,0.0,0.4,10,DIVERGE-reliable,6,5
ZRO,0.3,0.3,0.7,10,DIVERGE-reliable,1,1
