token,insider_count,n_top10,insider_count_frac,insider_balance_frac,n_matched_in_nansen,source
AAVE,0,10,0.0,0.0,6,AAVE:OK(50)
ANYONE,1,10,0.1,0.073,10,ANYONE:OK(50)
ARB,0,10,0.0,0.0,9,ARB:OK(50)
ATH,3,10,0.3,0.0837,10,ATH:OK(25)
AXL,0,10,0.0,0.0,9,AXL:OK(50)
BAL,0,10,0.0,0.0,8,BAL:OK(25)
BONK,0,10,0.0,0.0,10,new12_provenance_reuse
COMP,2,10,0.2,0.1606,8,COMP:OK(50)
CRV,0,10,0.0,0.0,10,CRV:OK(50)
DIMO,1,10,0.1,0.149,9,DIMO:OK(50)
DRIFT,2,10,0.2,0.0854,9,DRIFT:OK(50)
ENA,5,10,0.5,0.4541,10,new12_provenance_reuse
ENS,0,10,0.0,0.0,9,ENS:OK(50)
ETHFI,4,10,0.4,0.604,9,ETHFI:OK(50)
FXS,3,10,0.3,0.2295,10,new12_provenance_reuse
GEOD,2,10,0.2,0.1594,10,GEOD:OK(50)
GMX,1,10,0.1,0.0479,10,GMX:OK(50)
GNO,1,10,0.1,0.195,10,new12_provenance_reuse
GRASS,0,10,0.0,0.0,1,GRASS:OK(50)
GRT,1,10,0.1,0.0392,9,GRT:OK(50)
HNT,0,10,0.0,0.0,8,HNT:OK(50)
HONEY,0,10,0.0,0.0,10,HONEY:OK(25)
IO,0,10,0.0,0.0,10,IO:OK(25)
IOTX,1,10,0.1,0.149,10,IOTX:OK(50)
JTO,0,10,0.0,0.0,10,new12_provenance_reuse
JUP,0,10,0.0,0.0,5,JUP:OK(50)
KMNO,3,10,0.3,0.2626,10,new12_provenance_reuse
LDO,1,10,0.1,0.1145,9,LDO:OK(25)
LPT,1,10,0.1,0.024,10,LPT:OK(50)
META,1,10,0.1,0.059,9,META:OK(25)
MKR,0,10,0.0,0.0,0,MKR:OK(50)
MOR,1,10,0.1,0.1311,7,MOR:OK(50)
MPL_SYRUP,2,10,0.2,0.2143,10,MPL:OK(50); SYRUP:OK(50)
OP,0,10,0.0,0.0,9,OP:OK(50)
POL,0,10,0.0,0.0,9,POL:OK(50)
PUMP,0,10,0.0,0.0,10,new12_provenance_reuse
RENDER,0,10,0.0,0.0,8,RENDER:OK(50)
RPL,1,10,0.1,0.0922,10,RPL:OK(50)
SNX,1,10,0.1,0.0618,10,new12_provenance_reuse
UNI,2,10,0.2,0.1452,10,UNI:OK(50)
W,0,10,0.0,0.0,5,W:OK(50)
WLFI,7,10,0.7,0.4004,10,new12_provenance_reuse
WXM,0,10,0.0,0.0,10,WXM:OK(50)
ZRO,3,10,0.3,0.3203,10,ZRO:OK(49)
