token,insider_count,n_top10,insider_count_frac,insider_balance_frac,source,n_flags,n_flippers
AAVE,1,10,0.1,0.1249,nansen_v4_reviewed,3,1
ANYONE,1,10,0.1,0.073,nansen_v4_reviewed,2,1
ARB,1,10,0.1,0.0936,nansen_v4_reviewed,5,1
ATH,4,10,0.4,0.266,nansen_v4_reviewed,4,1
AXL,0,10,0.0,0.0,nansen_v4_reviewed,3,0
BAL,1,10,0.1,0.142,nansen_v4_reviewed,1,1
COMP,3,10,0.3,0.2298,nansen_v4_reviewed,4,2
CRV,0,10,0.0,0.0,nansen_v4_reviewed,4,0
DIMO,3,10,0.3,0.3313,nansen_v4_reviewed,9,3
DRIFT,4,10,0.4,0.2349,nansen_v4_reviewed,6,2
ENS,2,10,0.2,0.3979,nansen_v4_reviewed,5,2
ETHFI,4,10,0.4,0.604,nansen_v4_reviewed,2,0
GEOD,3,10,0.3,0.2132,nansen_v4_reviewed,5,2
GMX,4,10,0.4,0.2514,nansen_v4_reviewed,6,3
GRASS,0,10,0.0,0.0,nansen_v4_reviewed,2,0
GRT,1,10,0.1,0.0392,nansen_v4_reviewed,0,0
HNT,1,10,0.1,0.1286,nansen_v4_reviewed,5,1
HONEY,3,10,0.3,0.3075,nansen_v4_reviewed,4,1
IO,0,10,0.0,0.0,nansen_v4_reviewed,0,0
IOTX,2,10,0.2,0.1697,nansen_v4_reviewed,2,1
JUP,0,10,0.0,0.0,nansen_v4_reviewed,5,1
LDO,4,10,0.4,0.3548,nansen_v4_reviewed,5,3
LPT,2,10,0.2,0.0578,nansen_v4_reviewed,8,3
META,4,10,0.4,0.3343,nansen_v4_reviewed,4,2
MKR,0,10,0.0,0.0,nansen_v4_reviewed,2,0
MOR,4,10,0.4,0.3115,nansen_v4_reviewed,5,3
MPL_SYRUP,6,10,0.6,0.6725,nansen_v4_reviewed,6,2
OP,0,10,0.0,0.0,nansen_v4_reviewed,2,0
POL,1,10,0.1,0.2436,nansen_v4_reviewed,2,1
RENDER,1,10,0.1,0.0932,nansen_v4_reviewed,5,1
RPL,1,10,0.1,0.0922,nansen_v4_reviewed,5,1
UNI,3,10,0.3,0.2098,nansen_v4_reviewed,3,1
W,0,10,0.0,0.0,nansen_v4_reviewed,2,0
WXM,4,10,0.4,0.1892,nansen_v4_reviewed,6,5
ZRO,7,10,0.7,0.7199,nansen_v4_reviewed,1,1
FXS,3,10,0.3,0.2295,new12_provenance_reuse,0,0
SNX,1,10,0.1,0.0618,new12_provenance_reuse,0,0
GNO,1,10,0.1,0.195,new12_provenance_reuse,0,0
WLFI,7,10,0.7,0.4004,new12_provenance_reuse,0,0
ENA,5,10,0.5,0.4541,new12_provenance_reuse,0,0
PUMP,0,10,0.0,0.0,new12_provenance_reuse,0,0
JTO,0,10,0.0,0.0,new12_provenance_reuse,0,0
BONK,0,10,0.0,0.0,new12_provenance_reuse,0,0
KMNO,3,10,0.3,0.2626,new12_provenance_reuse,0,0
