token,insider_count,n_top10,insider_count_frac,insider_balance_frac
AAVE,1,10,0.1,0.125
ANYONE,1,10,0.1,0.0729
ARB,1,10,0.1,0.0934
ATH,4,10,0.4,0.2661
AXL,0,10,0.0,0.0
BAL,1,10,0.1,0.142
COMP,3,10,0.3,0.2299
CRV,0,10,0.0,0.0
DIMO,1,10,0.1,0.1493
DRIFT,4,10,0.4,0.2349
ENS,2,10,0.2,0.3979
ETHFI,4,10,0.4,0.6039
GEOD,1,10,0.1,0.0537
GMX,4,10,0.4,0.2515
GRASS,0,10,0.0,0.0
GRT,1,10,0.1,0.039
HNT,1,10,0.1,0.1287
HONEY,2,10,0.2,0.2179
IO,0,10,0.0,0.0
IOTX,2,10,0.2,0.1696
JUP,0,10,0.0,0.0
LDO,4,10,0.4,0.3536
LPT,2,10,0.2,0.0552
META,4,10,0.4,0.3342
MKR,2,10,0.2,0.3582
MOR,2,10,0.2,0.0689
MPL_SYRUP,4,10,0.4,0.333
OP,0,10,0.0,0.0
POL,1,10,0.1,0.2437
RENDER,0,10,0.0,0.0
RPL,1,10,0.1,0.0924
UNI,3,10,0.3,0.2098
W,0,10,0.0,0.0
WXM,2,10,0.2,0.0499
ZRO,7,10,0.7,0.72
