orchestrator,total_stake_lpt,active
0x525419ff5707190389bfb5c87c375d710f5fcb0e,4051958.432139631360769272,true
0xac2e50c8f7ac0f82923a7df9d9903f6ec4741919,3317630.013660051859915257,true
0x4416a274f86e1db860b513548b672154d43b81b2,2450756.233069019392132759,true
0x4f4758f7167b18e1f5b3c1a7575e3eb584894dbc,1671259.801059944787994027,true
0x847791cbf03be716a7fe9dc8c9affe17bd49ae5e,840292.815923437825404108,true
0x141e6d4953b933746c770272126db2bd691a9683,799509.584916285937651992,true
0x6cb1ce2516fb7d211038420a8cf9a843c7bd3b08,794435.462306717527098954,true
0xa20416801ac2eacf2372e825b4a90ef52490c2bb,728659.981772883562371135,true
0x10e0a91e652b05e9c7449ff457cf2e96c3037fb7,631351.057789578335359693,true
0xf5a88945ce64b5648b895e05eb1edf693dde8905,539566.776407110039144754,true
0xdac817294c0c87ca4fa1895ef4b972eade99f2fd,483034.808736179780680686,true
0x9d2b4e5c4b1fd81d06b883b0aca661b771c39ea3,426906.963325675285886973,true
0x4a43b1d7e6227c8b0512e413f406555647ff7bdb,422773.543151326011866331,true
0xbd677e96a755207d348578727aa57a512c2022bd,406386.175497931952122599,true
0x10b21af759129f32c6064adfb85d3ea2a8c0209c,382915.720951506809797138,true
0x5bdeedca9c6346b0ce6b17ffa8227a4dace37039,345856.571616132627241313,true
0x104a7ca059a35fd4def5ecb16600b2caa1fe1361,335326.960124359466135502,true
0x942f0c28fb85ea0b50bfb76a3ecfa99861fa9b4b,333076.062471402634400874,true
0xbac7744ada4ab1957cbaafef698b3c068beb4fe0,323374.69163999060401693,true
0x9d61ae5875e89036fbf6059f3116d01a22ace3c8,310681.068621781538240612,true
0xdb22609515433e664e28067c81704d8266098986,307444.997245743928942829,true
0x2e3a21ae7cdeb48f57fcad1ce16b258d5502ac05,305794.297742992523126304,true
0x9c5874aa481b9c652d5420d65ce8becaad9ff3a7,297501.815515192050952464,true
0xf909ac60c647a14db3663da5ecf5f8ecbe324395,288016.160077807144261897,true
0xd00354656922168815fcd1e51cbddb9e359e3c7f,284129.055525728617794812,true
0x3b28a7d785356dc67c7970666747e042305bfb79,280084.950097667169757187,true
0xea6eb2033de0fbece9445fae407c596f3ffd81ae,279801.69813953636912629,true
0x9d5611bf0dadddb4441a709141d9229d7f6b3e47,264829.970831110433209687,true
0x882bac0da055d1826ee637c410c8d4c99be8b485,248372.965297045302577317,true
0xe9e284277648fcdb09b8efc1832c73c09b5ecf59,246526.80885212987777777,true
0x21d1130dc36958db75fbb0e5a9e3e5f5680238ff,235301.955901709181489423,true
0xbb4c38fae6eef586f521e369117354e43ac7dd5b,233011.8390862007800024,true
0x4bd850175a4e43afee34ae7b7dcd079a572dd69b,225269.110956255113705993,true
0xa6a9eb29e786b5233bd99c0ba28be882fe954a0e,222404.818434419052209705,true
0xbe8770603daf200b1fa136ad354ba854928e602b,212114.470887109491741285,true
0x74a7839094b7f723b2c1c915e88928f49dfdc21f,208053.389598450128687546,true
0xdc28f2842810d1a013ad51de174d02eaba192dc7,190916.626780879916623235,true
0xe3a5793d7c1d2a04a903fa1695b3e3555d6084ca,184344.497330465994309634,true
0x43942a3b2883ba56c67750de398d4f1d1b3a3fdb,171444.99323574046138674,true
0xdef1c70578b2b5e8589a42e26980687fc5153079,156115.101434105541557074,true
0xb8c66a19c2d4ccfe79e002d9e3a02dff73de4aba,151488.373058162891538814,true
0xcf5654abfaefc001a84aeb18fe4c13bfd0f8a77b,146106.818596885685110465,true
0x3bbe84023c11c4874f493d70b370d26390e3c580,142933.458551032876130193,true
0xda43d85b8d419a9c51bbf0089c9bd5169c23f2f9,141999.039690794190391898,false
0x47a907a0bd1627d71cd14430a721d1550d6d6f58,141772.527057553234044462,true
0x5caaab7626edc7123cf8484edbc66a875dd32cc9,139273.426112466055201367,true
0x79537bb5ed3633eb17120d8558eec439724587f2,134164.601088838622672483,true
0x11b04d9a305abe978aeaddc67d9d09aaa4996090,123032.794072854798287153,true
0x5263e0ce3a97b634d8828ce4337ad0f70b30b077,111514.57979088080173824,true
0x597ad7f7a1c9f8d0121a9e949cca7530f2b25ef6,111274.342000149379600771,true
0xd603d6bf88aa061fcab8fa552026694a7fd005ce,110924.483869417425012216,true
0xa8aad06cd07185514a7c394649c80434af47b379,110280.536797930762986653,true
0x5d11abd838073df76e32c495f97fd3239eabb9fb,106703.973062567252782173,true
0x6a15b9d078c2bf4814066a69392aa224fecae1c4,106537.390711552754510194,true
0xb1c579757622d8ca7bd42542cb0325de1c8e1f8d,105175.307755716989049688,true
0xd18a02647d99dc9f79afbe0f58f8353178e6141f,104715.124185900815064088,true
0x733da28b0145ff561868e408d2ac8565ebe73aab,103097.233811962243635207,true
0x180859c337d14edf588c685f3f7ab4472ab6a252,96263.091124719416256994,true
0x0abe02f6ef1fa8c29f9b3f9f170c6f3681fd3031,92109.969449063602951355,true
0x1817efbeb9e934541ebcc12b6d37b49e45fbbf8f,86278.047844339831499383,true
0x4bcc9256418b29c482596443fa5c99ae114b3351,72483.746233484678668901,true
0xd4c467d8c13752ab7bb9711bc77de2a9f52a65f6,72350.062538063604733907,true
0xa03113bab8d4ebe5695591f60011741233e8b82f,72217.954109209080343135,true
0x72a798ed05f3b445fba4bafdf643028fb5ed03cc,71815.889667873445432633,true
0x4712e01e944802613de3a0a6d23274e7e0243015,70007.48603921387984883,false
0x4a1c83b689816e40b695e2f2ce8fc21229076e74,68688.205905719180009328,true
0x66970f8b4a5376ed7961e8633a83809e49ad809d,66439.956095549190649763,true
0x02b6aac33a397aaadee5227c70c69bb97f2cc529,65717.988613546549458988,true
0x22b1bcc0c0db224bfc56c9b95a2db407548666ee,62903.008117379242321476,true
0x0d509d8b46b072f8fc330942b2e3cc0ac34d6d8d,60295.406510775836068206,true
0xeb6dde1a9e305fe8b1556056bbdf14d25d3a878b,59361.028428585166693665,true
0xaa1dd0958b7c5c5a49550315c9511a53c4d65fba,58795.941770010227628518,true
0xb46618598853361e4d96ce69ec6807f3b56dd2d0,58757.005444506306957919,true
0x0fc80afb7876f579f1fb1c4d1c37cf1339038658,55919.990478508327214513,true
0x186a59938baf5ca4023cd6f87cc00684bcffdf65,49186.878584794634662103,true
0xbc144f1a34f5b858900413d35bfb7cb6b3b0d65b,48807.315752162539865822,true
0x16d335f6265ae2dcf6022863e9d9346ab8a73841,47115.422666912352724466,true
