token,sector,hhi_passthrough,hhi_uniform_exclusion,hhi_inflated_completecex
ANYONE,DePIN,0.004224,0.004829,0.012999
ATH,DePIN,0.166862,0.303373,0.100101
DIMO,DePIN,0.026514,0.026514,0.024943
FIL,DePIN,0.022086,0.022086,0.022086
GEOD,DePIN,0.065030,0.069509,0.060457
GRASS,DePIN,0.042369,0.042369,0.035201
HNT,DePIN,0.063834,0.063834,0.098807
HONEY,DePIN,0.055195,0.055195,0.020352
IO,DePIN,0.040248,0.040248,0.040248
IOTX,DePIN,0.019530,0.111809,0.080958
LPT,DePIN,0.020123,0.032552,0.198868
MOR,DePIN,0.029273,0.029537,0.046366
POKT,DePIN,0.089859,0.089859,0.089859
RENDER,DePIN,0.016060,0.016060,0.027345
WXM,DePIN,0.055648,0.055648,0.147854
AAVE,DeFi,0.010922,0.017069,0.012821
BAL,DeFi,0.011008,0.011008,0.029037
COMP,DeFi,0.009575,0.010739,0.008642
CRV,DeFi,0.112628,0.022106,0.014628
DRIFT,DeFi,0.041189,0.041189,0.026458
ETHFI,DeFi,0.020654,0.031294,0.041725
GMX,DeFi,0.007167,0.017561,0.064722
HYPE,DeFi,0.004555,0.004555,0.004526
JUP,DeFi,0.038072,0.053408,0.044977
LDO,DeFi,0.009549,0.009549,0.007669
META,DeFi,0.014450,0.014450,0.015176
MKR,DeFi,0.043028,0.043069,0.040408
MPL_SYRUP,DeFi,0.030825,0.030825,0.023690
RPL,DeFi,0.017357,0.059685,0.040643
UNI,DeFi,0.008124,0.008278,0.009784
