proposal,date,era,organization,name,n_markers,n_distinct_voters,n_distinct_positions,max_choices_per_voter,n_choices,account_tally_total_weight,marker_sum_total_weight,marker_coverage_pct,per_owner_hhi_markers_only
2gcA7cWsML5wTu4JgdzhuGxGHz7msT4ANvVJhDn6Xa2h,2023-10-12,pre_hip141,HNT-DAO,Test Vote: Top IOT Sensor Solutions,215,46,215,3,5,6757261865879084,2689265119180552,39.7981,0.13938
FujC6CsAyPA7tchoeRPsS8YxdmSjmSeK9sM2g6c5ByiK,2023-12-05,pre_hip141,MOBILE,MOBILE Working Group (Even Class) Elections - Q4 2023,71,35,71,5,10,7310377601153647,2183740300697114,29.8718,0.333173
BnjSVYuF4RQkXtJDyYaVQQebtSZYno9CsbqwLbM8wdGG,2024-01-12,pre_hip141,HNT-DAO,Test Vote: Ice Cream,599,354,599,1,4,1079352301974637,1079352301974637,100.0,0.065945
Crj1FKuKXvYv82FKiosC3zzaWkpft9SXS756JNpjFURM,2024-01-19,pre_hip141,IOT,HIP 102: Helium Educational LNS - Unrewarded Trial Network,790,579,790,1,2,4895239983834831,4895239983834831,100.0,0.083168
DQU9kg8NwJZoYiKwYX7PvKHAMBxUpcxajFiN3XeF3RvR,2024-01-19,pre_hip141,IOT,HIP 104: Finetune HIP-17 Parameters to Tackle Density,1125,854,1125,1,2,6532935079873581,6532935079873581,100.0,0.064216
4upQV5qpCXeqFNhbccdPZax7JR1AjxP684QiZCjMfg9W,2024-01-19,pre_hip141,MOBILE,HIP 101: Equalizing POC Rewards Across Wi-Fi and CBRS,799,579,799,1,2,109497522930544874,109497522930544874,100.0,0.056346
99UMPt4H1CDL3ZEPDRiYjT1xSv71aP4nd3aXuVbhkgS9,2024-01-19,pre_hip141,MOBILE,HIP 101: Equalizing POC Rewards Across Wi-Fi and CBRS,1,1,1,5,2,337711517957,337711517957,100.0,1.0
8T3YBqUGuin4vNHEdWzEioW5yycetLrcoqdjhE6h2RJB,2024-01-29,pre_hip141,MOBILE,HIP 105: Modification of MOBILE subDAO Hex Limits,402,284,402,1,2,19758567787540057,19758567787540057,100.0,0.068282
HyiNzS58QTqzN7QZxFaCkuK2vzpT6yLdRSBr3zgsLCLF,2024-01-29,pre_hip141,MOBILE,HIP 98: Modification of MOBILE subDAO Hex Limits,287,202,287,1,2,21544442103120349,21544442103120349,100.0,0.139537
45KakF8bf5K2t5eSj1iZGNYjD2qcCy5VgZZ2XUPXnE4X,2024-01-29,pre_hip141,MOBILE,HIP 103: MOBILE Oracle Hex Boosting,633,410,633,1,2,110945828753540309,110945828753540309,100.0,0.086543
