symbol,protocol,snapshot_status,snapshot_space,snapshot_n_proposals,snapshot_n_unique_voters,snapshot_pooled_hhi,snapshot_pooled_gini,snapshot_pooled_top1_pct,snapshot_pooled_top5_pct,snapshot_pooled_top10_pct,snapshot_earliest_unix,snapshot_latest_unix,tally_status,tally_slug,tally_n_proposals,tally_pooled_n_unique_voters,tally_pooled_hhi,tally_pooled_gini,tally_pooled_top1_pct,tally_pooled_top5_pct,tally_pooled_top10_pct,tally_delegate_n,tally_delegate_hhi,tally_delegate_gini,tally_delegate_top1_pct,tally_delegate_top5_pct,tally_delegate_top10_pct,tally_earliest_ts,tally_latest_ts
AAVE,Aave,ok,aavedao.eth,944,68354,0.06853920256483306,0.9989174284325628,22.880478310546827,42.42804240516512,51.71750898526929,1599844596,1779369936,ok,aave,401,9237,0.07876556309125023,0.9949633704442558,23.395719467295688,43.0854483354424,52.676032072176895,1000,0.0620180870987094,0.9206664094219161,19.845121913072592,44.93443635622593,59.276234699281915,2023-08-30T14:16:04.047829Z,2023-12-19T18:05:09.305103Z
ANYONE,Anyone Protocol,space_not_found,anyoneprotocol.eth,,,,,,,,,,absent,,,,,,,,,,,,,,,,
ARB,Arbitrum,ok,arbitrumfoundation.eth,406,61762,0.018716776601741945,0.9843387456545227,5.407639016049999,20.968794170655418,33.429547056106216,1679955390,1777575291,ok,arbitrum,86,6316,0.023760413299917245,0.981071120044978,6.126632872069294,23.916642161666914,38.209095870859315,1000,0.034104270663851424,0.9483887561094542,10.358877725976956,28.34671602470004,45.754147379727314,2023-03-23T21:05:21.450596Z,2026-05-11T21:36:18.785694Z
BAL,Balancer,ok,balancer.eth,1065,8935,0.0351444475443708,0.9901918797335965,11.042393810518314,36.28270470110401,46.548505182089116,1595088499,1778685074,absent,,,,,,,,,,,,,,,,
COMP,Compound,ok,comp-vote.eth,36,1316,0.08130346487725018,0.98405622947826,23.213419776220594,49.282524314676145,61.73273491071222,1624919818,1778614484,ok,compound,541,3095,0.026561144919230378,0.9822138476622684,9.913051374804537,26.26768453559013,42.36627600991214,1000,0.10871904057367188,0.9798250310007159,25.17198531464074,53.23359096678426,63.312335207296265,2022-03-04T16:48:28.778342Z,2026-05-20T17:42:20.667771Z
CRV,Curve,ok,curve.eth,203,652,0.2506580291513787,0.9702932686650305,48.19743826589064,70.65515803635797,79.72265186520274,1598821129,1651258413,absent,,,,,,,,,,,,,,,,
DIMO,DIMO,ok,dimo.eth,27,78,0.1428139114086299,0.9032548040886574,21.676005618557276,74.39576328085649,95.52348125940355,1673370023,1755886699,absent,,,,,,,,,,,,,,,,
DRIFT,Drift,space_not_found,driftgovernance.eth,,,,,,,,,,absent,,,,,,,,,,,,,,,,
ENA,Ethena,ok,ethenagovernance.eth,6,1541,0.049064793042583994,0.9523187248323646,15.253663724689698,40.66810067776585,57.486289928545006,1727792484,1770125083,absent,,,,,,,,,,,,,,,,
ENS,ENS,ok,ens.eth,92,14416,0.011454651757881656,0.8822882981714932,4.570781490049148,16.184161767432087,27.429257992113072,1620132939,1778526631,ok,ens,69,2506,0.024363471377392736,0.9812848743964697,6.529310266620566,24.075017491047852,39.71759899905415,1000,0.02252761238509212,0.8762996847403401,6.8427021926865255,23.826381847183487,38.97931556384855,2022-03-04T16:27:34.589596Z,2026-04-29T21:06:28.714634Z
ETHFI,Ether.Fi,space_not_found,etherfi.eth,,,,,,,,,,absent,,,,,,,,,,,,,,,,
FXS,Frax,ok,frax.eth,514,1327,0.10510869798431724,0.9736065176098792,24.857742173175037,56.37517054145722,67.51354727496917,1612919600,1776803191,ok,frax,0,0,,,,,,0,,,,,,,
GMX,GMX,ok,gmx.eth,75,33132,0.008489163154708369,0.9906718395010685,4.163122794177831,13.717930070014361,20.91745654969042,1635826900,1773671101,ok,gmx,20,108,0.18949998226128859,0.9484809392197258,28.180846717258756,88.04056518277767,96.72004177625601,1000,0.056475468101360386,0.8829532610324966,16.680841119527,43.672687699618336,55.738593119853576,2024-07-29T19:14:21.576075Z,2026-03-05T09:16:22.544489Z
GNO,Gnosis,ok,gnosis.eth,252,6310,0.10901148160554244,0.9907219860788687,30.65365057937149,49.144472724750145,60.25247908689547,1606153475,1778013291,absent,,,,,,,,,,,,,,,,
GRT,The Graph,ok,graphprotocol.eth,4,762,0.1575755745436447,0.9514883605890614,37.85938655336876,57.15126947355995,64.16028908952795,1615308444,1632329813,absent,,,,,,,,,,,,,,,,
