rank,address,balance,reserved,lock,display
1,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,94103159.0488001,0.0,0.0,
2,13Z7KjGnzdAdMre9cqRwTZHR6F2p36gqBsaNmQwwosiPz8JT,40257144.4871441,0.0,0.0,
3,13UVJyLnbVp9RBZYFwFGyDvVd1y27Tt8tkntv6Q7JVPhFsTB,23187996.44937116,78.79577,0.0,modlpy/trsry
4,13vg3Mrxm3GL9eXxLsGgLYRueiwFCiMbkdHBL4ZN5aob5D4N,17006466.7206921,0.0,0.0,
5,12ouvKSvKnXAdXFR5oCL1vXimWrkDWG3joMNw3ETupTRs1ab,16230000.01,0.0,0.0,
6,19KT274PAdSchBjDmnxh6vEMdy4QFU9Bo6jgMZhen3esYGG,15884288.177948797,12935084.43673829,12935084.43673829,
7,112RLyVZhjjHMSdKsBA9jz6VLuZAxMh8CTLcXYiddWz5Xui,15217246.905187527,15217240.0,0.0,
8,12YfMjjeRPVHpytGSgdHH5iWnybxxuBdLuhjSuuYmrPjFT2H,14000257.841224903,14000250.0,14000250.0,
9,14iNNrvU5DCLZ67mBMjnXFHU1wW24XQBERnMa2ZvokTs5WYW,13175036.581786565,13158808.218466057,13158808.218466057,
10,165iwLPuPxtR4hkunhEBWvVMarh6gjbBeoBwPm3V13EZT4aC,12125925.701585738,0.0,0.0,
11,15DQVbbkBZoDZ8GFTw5qoSaFcGvtT22M7g9CaiihH15DiCzL,12111187.49277758,0.0,0.0,
12,1yEvPjUDp5V9YmBfjRiRotK7UPzq6EHmeRLfE8xxyJW8bzj,11850015.300767919,0.0,0.0,
13,15tkQXN8hj28sucMHYcGfMvyxWJqHtcVEDvj5jrNJ1TWSJyX,11695055.09942997,9550450.049605545,9550450.049605545,
14,1GVe7pAK2Pc4TVGuPBYbEU82VmaiQhKjFTzECpX7GGXgzBB,10720000.011192,10719878.132,10719878.0,
15,12GQAfJAvMAMjxdweFfWP6UPE2dQ1UiodCh2RFgtpVQ59VmJ,10048486.855775066,0.0,0.0,
16,13Th6PcjJ468fy2cQeVDDdHE6ycJ3sFQ5S9wHiQRDkCKR6Tz,10000097.841379473,10000046.155541563,10000026.114541562,
17,13KJ3t8w1CKMkXCmZ6s3VwdWo4h747kXE88ZNh6rCBTvojmM,10000073.496988691,10000020.041152349,10000000.00015235,
18,13e9cUkCHDWuimeE5hYZRmZfDg3sgscsnAJTpN8buzPxVkd4,10000035.947757117,10000020.117361667,10000000.076361666,
19,13E7LXW3NGYAJGKugiEitKZ4XjR4MXBs4ZhE1bkwBAaAoBCn,10000023.277113795,10000020.041028673,10000000.000028672,
20,14UpRGUeAfsSZHFN63t4ojJrLNupPApUiLgovXtm7ZiAHUDA,9699779.156452421,8649985.11138,8679840.0,
21,14AoK8VSrHFxZijXhZGSUipHzZbUgo2AkmEaviD9yxTb1ScX,9486480.61445159,8499985.11138,8501870.0,
22,11Q7ismkHUbbUexpQc4DgTvedfsh8jKMDV7jZZoQwv57NLS,9239792.911125079,8199934.925737045,8500000.0,
23,13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,9137250.093841473,9137000.825782955,9137000.660782956,
24,15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,9137211.113640212,9136980.999362491,9137000.0,
25,15FZotswrG9r6KQvBPb5Y3ybs6CA5FLbFbyzhk4ABfgDup22,9137179.7462298,9136970.562363785,9137000.0,
26,16GMHo9HZv8CcJy4WLoMaU9qusgzx2wxKDLbXStEBvt5274B,9137153.709187722,9137000.69454772,9137000.562547721,
27,14gAowz3LaAqYkRjqUZkjZUxKFUzLtN2oZJSfr3ziHBRhwgc,9137153.533384265,9136900.688384265,9137000.0,
28,13Fv7btqKR2NQVZSaJAK1DhxKpxgjzE8twaWnwDk8B1u6voR,9137153.513926959,9136970.66720396,9137000.0,
29,14Ns6kKbCoka3MS4Hn6b7oRw9fFejG8RH5rq5j63cWUfpPDJ,9137153.455454022,9137000.525657032,9137000.393657032,
30,14NSRugu2B7XPwcyPTFsDsBodZb72NgrhMih6ith8dSSGmfc,9137153.27793518,9136900.165,9137000.0,
31,12WLDL2AXoH3MHr1xj8K4m9rCcRKSWKTUz8A4mX3ah5khJBn,9137153.010081,9136898.132,9137000.0,
32,166JJ1tU9JsjsjvKQ6shhvv54L46BDJq2G6HXmauzwu4AvJh,9137152.874781907,9136999.895625006,9137000.0,
33,13Xo4xYdMRQQoWD7TA9yCDHG1BXqQFvnjeGvU6LHhRhUsBhQ,9128765.137128938,8099985.11138,8745213.301114807,
34,13yk62yQYctYsRPXDFvC5WzBtanAsHDasenooLAxKvf5bNkK,9087244.010215571,9086924.86907657,9087000.0,
35,1tZzPmcq8Auisttygmg9g6tPMtrh9i3b22D3tKXvde7ibRB,8986515.152336702,8349980.16171,8395460.0,
36,14etN8LW2YB2WA7yBYDecyLFPpxMSaeV1nhxYbJi8uMJcfkD,8981498.684126178,7999985.11138,8000000.0,
37,12nr7GiDrYHzAYT9L8HdeXnMfWcBuYfAXpgfzf3upujeCciz,8848733.281567454,0.0,0.0,
38,12p8TxkyfmQBaSLooHA1NWRVjv7R8qgWfvKbVabEoH41L8jJ,8657518.208836269,0.0,0.0,
39,11yLs2qzU15AhxnH1d7Koqcf83AwutKkDaGbqsJJ6yDWQjc,8444272.04846889,0.0,0.0,
40,14n7KYKKjZohVapvNYnWdCVu7oCJMjyWHqehGcC11wE7dKWv,8375724.184342989,8375714.074,8375694.0,
41,12RYJb5gG4hfoWPK3owEYtmWoko8G6zwYpvDYTyXFVSfJr8Y,8201161.754477074,8201099.132,8201000.0,
42,12LdngMrL3xmSSj6bCpAqprZBWWkHBfYdv47RxWMPZtWzuwK,8043684.269420718,8010628.408291222,8010608.367291221,
43,13ZcoJFWSwMZng49UmghxNBBWnPEiUz8o5H7GWbfWtNBmyAz,7994928.482010189,0.0,0.0,
44,1dz7HBjHWYegSw8YhAzDBszQPv62n96xtR3B7sFhYTe9HY9,7796325.9904807545,0.0,0.0,
