rank,class,address,balance,display,rationale
1,5,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,94103159.0488001,,Binance cluster (cold-storage; 5 extrinsics; only outbound 12M DOT to confirmed Binance cluster members 13vg3M (8M) + 12YfMj (4M))
3,2,13UVJyLnbVp9RBZYFwFGyDvVd1y27Tt8tkntv6Q7JVPhFsTB,23187996.44937116,modlpy/trsry,pallet-managed account (modlpy/trsry)
4,5,13vg3Mrxm3GL9eXxLsGgLYRueiwFCiMbkdHBL4ZN5aob5D4N,17006466.7206921,,Binance cluster (Binance hot wallet (CONFIRMED via SubSquare hydration-forum zengsw + extrinsic 0x51bc6c... block 8156083 auto-rotation pattern))
8,5,12YfMjjeRPVHpytGSgdHH5iWnybxxuBdLuhjSuuYmrPjFT2H,14000257.841224903,,Binance cluster (staking position; 100% bonded; only inbound DOT ever was 4M from confirmed cluster member 16ZL8y... (top-1 cold))
17,3,13KJ3t8w1CKMkXCmZ6s3VwdWo4h747kXE88ZNh6rCBTvojmM,10000073.496988691,,Polkawatch operator_id (pos.dog; controls 38 validators)
19,3,13E7LXW3NGYAJGKugiEitKZ4XjR4MXBs4ZhE1bkwBAaAoBCn,10000023.277113795,,Multi-funder cluster (funds 2 validators)
24,3,15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,9137211.113640212,,Multi-funder cluster (funds 3 validators)
319,3,1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8GT7,677561.0028661303,,Multi-funder cluster (funds 5 validators)
320,2,13UVJyLnbVp9RBZYFwHYxaAqqaywnygJs1K8H73FXaR6esrd,676379.843774,modlpy/trsrybt$,pallet-managed account (modlpy/trsrybt$)
462,2,13UVJyLnbVp9RBZYFwHYxa8HBg7kUjxSv9yjwwATVqdrarwV,386986.1772240738,modlpy/trsrybt,pallet-managed account (modlpy/trsrybt)
554,2,13UVJyLnbVp9x5XDyJv8g8r3UddNwBrdaH7AADCmw9XQWvYW,297639.1963494638,modlpy/xcmch,pallet-managed account (modlpy/xcmch)
735,3,15UHvPeMjYLvMLqh6bWLxAP3MbqjjsMXFWToJKCijzGPM3p9,181714.7911779921,,Polkawatch operator_id (🌌 Novasama 🌌; controls 4 validators)
956,2,13UVJyLnbVp9RBZYFwHYxaFy9QiLRT82khytwSnqb3yanRjB,114204.65,modlpy/trsrybt@,pallet-managed account (modlpy/trsrybt@)
