rank,address,balance,extrinsics,locked_pct,signature,n_large_outbound,n_large_inbound,display
2,13Z7KjGnzdAdMre9cqRwTZHR6F2p36gqBsaNmQwwosiPz8JT,40257144.4871441,31,0.0,MIXED,30,9,(no identity)
5,12ouvKSvKnXAdXFR5oCL1vXimWrkDWG3joMNw3ETupTRs1ab,16230000.01,0,0.0,COLD-STORAGE,0,0,(no identity)
6,19KT274PAdSchBjDmnxh6vEMdy4QFU9Bo6jgMZhen3esYGG,15884288.177948797,2515,81.43320173890632,MOSTLY-STAKED,16,1,(no identity)
7,112RLyVZhjjHMSdKsBA9jz6VLuZAxMh8CTLcXYiddWz5Xui,15217246.905187527,30,0.0,MIXED,0,0,(no identity)
9,14iNNrvU5DCLZ67mBMjnXFHU1wW24XQBERnMa2ZvokTs5WYW,13175036.581786565,283,99.87682490883599,100%-STAKED,0,6,(no identity)
10,165iwLPuPxtR4hkunhEBWvVMarh6gjbBeoBwPm3V13EZT4aC,12125925.701585738,0,0.0,COLD-STORAGE,0,74,(no identity)
11,15DQVbbkBZoDZ8GFTw5qoSaFcGvtT22M7g9CaiihH15DiCzL,12111187.49277758,0,0.0,COLD-STORAGE,0,48,(no identity)
12,1yEvPjUDp5V9YmBfjRiRotK7UPzq6EHmeRLfE8xxyJW8bzj,11850015.300767919,0,0.0,COLD-STORAGE,0,70,(no identity)
13,15tkQXN8hj28sucMHYcGfMvyxWJqHtcVEDvj5jrNJ1TWSJyX,11695055.09942997,1,81.66229204059965,MOSTLY-STAKED,0,0,(no identity)
14,1GVe7pAK2Pc4TVGuPBYbEU82VmaiQhKjFTzECpX7GGXgzBB,10720000.011192,0,99.99886183589672,100%-STAKED,1,0,(no identity)
15,12GQAfJAvMAMjxdweFfWP6UPE2dQ1UiodCh2RFgtpVQ59VmJ,10048486.855775066,368,0.0,MIXED,0,1,(no identity)
16,13Th6PcjJ468fy2cQeVDDdHE6ycJ3sFQ5S9wHiQRDkCKR6Tz,10000097.841379473,0,99.99928273863867,100%-STAKED,0,0,(no identity)
18,13e9cUkCHDWuimeE5hYZRmZfDg3sgscsnAJTpN8buzPxVkd4,10000035.947757117,0,99.99964128733497,100%-STAKED,0,0,(no identity)
20,14UpRGUeAfsSZHFN63t4ojJrLNupPApUiLgovXtm7ZiAHUDA,9699779.156452421,0,89.4849239348512,MOSTLY-STAKED,0,0,(no identity)
21,14AoK8VSrHFxZijXhZGSUipHzZbUgo2AkmEaviD9yxTb1ScX,9486480.61445159,0,89.6209073262465,MOSTLY-STAKED,0,0,(no identity)
22,11Q7ismkHUbbUexpQc4DgTvedfsh8jKMDV7jZZoQwv57NLS,9239792.911125079,0,91.99340376736865,MOSTLY-STAKED,0,0,(no identity)
23,13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,9137250.093841473,0,99.99727015178577,MOSTLY-STAKED,0,0,(no identity)
25,15FZotswrG9r6KQvBPb5Y3ybs6CA5FLbFbyzhk4ABfgDup22,9137179.7462298,0,99.99803280405123,MOSTLY-STAKED,0,0,(no identity)
26,16GMHo9HZv8CcJy4WLoMaU9qusgzx2wxKDLbXStEBvt5274B,9137153.709187722,0,99.99832391306008,MOSTLY-STAKED,0,0,(no identity)
27,14gAowz3LaAqYkRjqUZkjZUxKFUzLtN2oZJSfr3ziHBRhwgc,9137153.533384265,0,99.99831968037196,MOSTLY-STAKED,0,0,(no identity)
