token,holder_file,n_holders,existing_exclusions_count,hhi_existing_only,burn_findings_count,burn_unhandled_count,burn_share_pct,hhi_with_burn_rule,hhi_delta_pct_points
AAVE,AAVE_holders.csv,1000,1,0.020161,0,0,0.0000,0.020161,0.000000
ARB,ARB_holders.csv,1000,7,0.011914,0,0,0.0000,0.011914,0.000000
ATH,ATH_holders.csv,15,5,0.160894,0,0,0.0000,0.160894,0.000000
BAL,BAL_holders.csv,993,3,0.029502,0,0,0.0000,0.029502,0.000000
COMP,COMP_holders.csv,1000,7,0.029220,0,0,0.0000,0.029220,0.000000
CRV,CRV_holders.csv,1000,11,0.017091,0,0,0.0000,0.017091,0.000000
DIMO,DIMO_holders.csv,1000,1,0.037903,0,0,0.0000,0.037903,0.000000
ENS,ENS_holders.csv,1000,1,0.134531,0,0,0.0000,0.134531,0.000000
GMX,GMX_holders.csv,1000,1,0.056379,0,0,0.0000,0.056379,0.000000
GRT,GRT_holders.csv,1000,4,0.032983,0,0,0.0000,0.032983,0.000000
HYPE,HYPE_holders.csv,1913,5,0.004526,2,0,0.0000,0.004526,0.000000
LDO,LDO_holders.csv,189,6,0.018498,0,0,0.0000,0.018498,0.000000
LPT,LPT_holders.csv,1000,2,0.198868,0,0,0.0000,0.198868,0.000000
MPL_SYRUP,MPL_SYRUP_holders.csv,1000,2,0.024243,0,0,0.0000,0.024243,0.000000
OP,OP_holders.csv,1000,7,0.021804,0,0,0.0000,0.021804,0.000000
POL,POL_holders.csv,1000,2,0.034750,0,0,0.0000,0.034750,0.000000
RENDER,RENDER_holders.csv,1000,1,0.032305,0,0,0.0000,0.032305,0.000000
RPL,RPL_holders.csv,1000,1,0.039150,0,0,0.0000,0.039150,0.000000
UNI,UNI_holders.csv,1000,1,0.032170,1,1,11.2661,0.009784,-0.022386
WXM,WXM_holders.csv,1000,1,0.147854,0,0,0.0000,0.147854,0.000000
