token,hhi_pre_pca,hhi_post_pca,inflation_factor,note
RENDER,0.577523,0.032305,17.88,Wormhole Token Bridge custody dominated naive top-1000 holdings
MPL_SYRUP,0.216165,0.024211,8.93,
ARB,0.097016,0.012300,7.89,
DIMO,0.281686,0.037903,7.43,
GMX,0.388968,0.056379,6.90,
POL,0.227909,0.034817,6.55,
RPL,0.252967,0.039150,6.46,
LPT,0.776355,0.198868,3.90,Livepeer Minter held majority of unminted supply
WXM,0.569287,0.147854,3.85,
UNI,0.032200,0.010000,3.22,
META,0.048200,0.015200,3.17,
AAVE,0.059344,0.020202,2.94,
GRT,0.099984,0.035600,2.81,
AXL,0.076800,0.027500,2.79,
OP,0.021800,0.009100,2.40,
IOTX,0.188500,0.081000,2.33,
FIL,0.047300,0.022100,2.14,
POKT,0.159200,0.083300,1.91,
DRIFT,0.101100,0.052900,1.91,
W,0.014900,0.010200,1.46,
ENS,0.071300,0.049400,1.44,
ETHFI,0.066800,0.046600,1.43,
HNT,0.102400,0.074500,1.37,
ANYONE,0.040400,0.030200,1.34,
ZRO,0.018900,0.014300,1.32,
JUP,0.116600,0.095700,1.22,
GTC,0.076600,0.067200,1.14,
MKR,0.045000,0.040900,1.10,
HONEY,0.017500,0.017600,0.99,Renormalization-rising case; near-identity
GEOD,0.132500,0.134200,0.99,Renormalization-rising case; near-identity
MOR,0.044900,0.046400,0.97,Renormalization-rising case
ATH,0.086800,0.094800,0.92,Renormalization-rising case (residual-share redistribution)
LDO,,0.007718,,exclusions_log hhi_before/hhi_after empty; pre-PCA HHI not separately re-derived
CRV,,0.014418,,exclusions_log hhi_before/hhi_after empty; pre-PCA HHI not separately re-derived
COMP,,0.009223,,exclusions_log hhi_before/hhi_after empty; pre-PCA HHI not separately re-derived
BAL,,0.029037,,exclusions_log hhi_before/hhi_after empty; pre-PCA HHI not separately re-derived
HYPE,,0.005158,,exclusions_log hhi_before/hhi_after empty; pre-PCA HHI not separately re-derived
IO,,0.125136,,exclusions_log hhi_before/hhi_after empty; pre-PCA HHI not separately re-derived
