protocol,token,category,revenue_usd,gross_emissions_usd,true_burn_usd,buyback_redist_usd,gross_subsidy,net_subsidy_strict,net_subsidy_permissive,net_emissions_strict,net_emissions_permissive,insider_count_top10,insider_balance_top10,confidence
Compound,COMP,DeFi,4883808.3,5545006.1,0.0,0.0,1.1353856989022275,1.1353856989022275,1.1353856989022275,5545006.1,5545006.1,0.1,0.0151665186300407,HIGH
MakerDAO,MKR,DeFi,349334677.5,0.0,365000000.0,0.0,0.0,0,0,0.0,0.0,0.2,0.1566624037123806,HIGH
Aave,AAVE,DeFi,135365013.7,50181033.0,0.0,50000000.0,0.3707090305565418,0.3707090305565418,0.0013373691994092995,50181032.99999999,181032.99999999785,0.2,0.0708062073170888,HIGH
Uniswap,UNI,DeFi,10628912.4,36533248.0,0.0,0.0,3.437157690753007,3.437157690753007,3.437157690753007,36533248.0,36533248.0,0.1,0.0138179825379799,HIGH
Curve,CRV,DeFi,30717716.8,70500548.3,0.0,0.0,2.295110302599052,2.295110302599052,2.295110302599052,70500548.29999998,70500548.29999998,0.0,0.0,HIGH
Rocket Pool,RPL,DeFi,37248720.0,,0.0,0.0,,,,,,0.1,0.0212345006099073,HIGH
Jupiter,JUP,DeFi,840360.7,,0.0,0.0,,,,,,0.4,0.280586,LOW
Maple Finance,MPL_SYRUP,DeFi,13280707.6,0.0,0,0,0.0,0,0,0.0,0.0,0.1,0.0234425913619243,
GMX,GMX,DeFi,28797065.7,175053.8,0.0,7780000.0,0.0060788762932884,0.0060788762932884,0,175053.79999999853,0.0,0.2,0.021827363754730898,HIGH
Drift,DRIFT,DeFi,7759944.0,,0.0,0.0,,,,,,0.5,0.3487130109200751,LOW
Ether.Fi,ETHFI,DeFi,49226494.1,11794198.6,0.0,7500000.0,0.2395904647615357,0.2395904647615357,0.08723348429560404,11794198.599999996,4294198.599999995,0.3,0.31922664177614674,MEDIUM
The Graph,GRT,L1_L2_Infra,353715.5,17642151.0,5000.0,0.0,49.87666924406762,49.86253358984834,49.86253358984834,17637151.0,17637151.0,0.1,0.0095440944202007,HIGH
Optimism,OP,L1_L2_Infra,12642753.9,95637974.5,0.0,0.0,7.564647327351677,7.564647327351677,7.564647327351677,95637974.5,95637974.5,0.0,0.0,HIGH
Polygon,POL,L1_L2_Infra,8669743.3,22436653.8,90200000.0,0.0,2.58792596546659,0,0,0.0,0.0,0.1,0.0085957651770148,HIGH
Arbitrum,ARB,L1_L2_Infra,22011319.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,HIGH
ENS,ENS,L1_L2_Infra,1623516.0,,0.0,0.0,,,,,,0.1,0.051921398121074,HIGH
DIMO,DIMO,DePIN,,,2094500.0,0.0,0.33,,,,,1.0,0.21483867998545397,HIGH
IoTeX,IOTX,DePIN,88154.6,3442561.5,100000.0,0.0,39.05141081690575,37.91704006370626,37.91704006370626,3342561.5,3342561.5,0.0,0.0,LOW
WeatherXM,WXM,DePIN,,,0.0,0.0,,,,,,0.5,0.0490591940621945,LOW
Anyone Protocol,ANYONE,DePIN,,,0.0,0.0,,,,,,0.4,0.1031654914013891,LOW
Grass,GRASS,DePIN,,,0.0,0.0,,,,,,0.1,0.1601452795392452,LOW
Livepeer,LPT,DePIN,838701.0,57373122.0,0.0,0.0,88.5,88.5,88.5,74225038.5,74225038.5,0.3,0.019689316119983,HIGH
Helium,HNT,DePIN,13164903.9,18490000.0,2157037.0,0.0,1.05,0.8861524689899181,0.8861524689899181,11666112.095000003,11666112.095000003,0.5,0.468304,HIGH
GEODNET,GEOD,DePIN,9194616.0,,1192310.0,0.0,1.61,1.4803251990077673,1.4803251990077673,13611021.760000002,13611021.760000002,0.5,0.4782077228630966,HIGH
Filecoin,FIL,DePIN,2877881.9,55193596.7,1500000.0,0.0,19.178548188513226,18.657331525661284,18.657331525661284,53693596.699999996,53693596.699999996,0.1,0.180069891466242,MEDIUM
Render,RENDER,DePIN,,,1272600.0,0.0,7.63,,,,,0.2,0.1500749247908249,HIGH
Pokt Network,POKT,DePIN,22151.4,169151.9,9540.0,0.0,7.636171980100579,7.205499426672805,7.205499426672805,159611.9,159611.9,0.2,0.5150756919084686,HIGH
LayerZero,ZRO,L1_L2_Infra,3530172.0,,15613038,0.0,,,,,,0.3,0.2121804790794024,MEDIUM
Wormhole,W,L1_L2_Infra,257976.0,,0.0,0.0,,,,,,0.3,0.1540966307835928,HIGH
Morpheus AI,MOR,DePIN,997116.0,14740000.0,0.0,0.0,1.54,1.54,1.54,1535558.6400000001,1535558.6400000001,0.3,0.2171227438250501,HIGH
Axelar,AXL,L1_L2_Infra,33312.0,,0.0,0.0,,,,,,0.1,0.4334804098643276,LOW
MetaDAO,META,DeFi,182088.0,,0.0,0.0,,,,,,1.0,0.4143676736088373,HIGH
Lido,LDO,DeFi,80518092.8,6131082.2,0.0,0.0,0.0761453977210945,0.0761453977210945,0.0761453977210945,6131082.199999995,6131082.199999995,0.1,0.0245100286570641,MEDIUM
