protocol,source,n_voters,status,share_hhi,share_top1,ss_hhi,ss_top1,bz_hhi,bz_top1,ss_share_divergence_pp,bz_share_divergence_pp,canonical_voting_hhi
AAVE,tally,100,OK,0.075545,0.219079,0.097770,0.267100,0.126823,0.327804,+4.8021,+10.8725,0.062
COMP,tally,100,OK,0.038656,0.118009,0.043135,0.127550,0.040955,0.126776,+0.9541,+0.8767,0.0699
UNI,tally,100,OK,0.027137,0.067983,0.027851,0.069950,0.027831,0.071939,+0.1967,+0.3956,0.0267
ARB,tally,100,OK,0.035500,0.104029,0.037498,0.113550,0.038267,0.116762,+0.9521,+1.2733,0.034
OP,tally,100,OK,0.032970,0.100337,0.034693,0.105950,0.034114,0.108069,+0.5613,+0.7732,0.0325
DIMO,snapshot,10,OK,0.227999,0.295011,0.232569,0.300650,0.225226,0.290917,+0.5639,-0.4094,0.228
LDO,snapshot,100,OK,0.087999,0.178600,0.096916,0.200600,0.095012,0.200423,+2.2000,+2.1823,0.05
WXM,snapshot,100,OK,0.486129,0.691455,1.000000,1.000000,1.000000,1.000000,+30.8545,+30.8545,0.5561
UNI,snapshot,100,OK,0.067740,0.119552,0.069804,0.127800,0.070133,0.129886,+0.8248,+1.0334,0.0727
COMP,snapshot,100,OK,0.053111,0.157502,0.060585,0.180000,0.063919,0.195339,+2.2498,+3.7836,0.0889
ARB,snapshot,100,OK,0.052274,0.114727,0.054894,0.124750,0.054887,0.126170,+1.0023,+1.1443,0.0376
