protocol,source,n,share_hhi,share_top1,ss_hhi,ss_top1,bz_hhi,ss_share_pp
AAVE,tally,100,0.075545,0.219079,0.097770,0.267100,0.126823,+4.8021
COMP,tally,100,0.038656,0.118009,0.043135,0.127550,0.040955,+0.9541
UNI,tally,100,0.027137,0.067983,0.027851,0.069950,0.027831,+0.1967
ARB,tally,100,0.035500,0.104029,0.037498,0.113550,0.038267,+0.9521
OP,tally,100,0.032970,0.100337,0.034693,0.105950,0.034114,+0.5613
GMX,tally,100,0.076800,0.195014,0.091403,0.224350,0.086501,+2.9336
ENS,tally,100,0.028264,0.076678,0.029085,0.079550,0.028217,+0.2872
UNI,snapshot,100,0.067740,0.119552,0.069804,0.127800,0.070133,+0.8248
COMP,snapshot,100,0.053111,0.157502,0.060585,0.180000,0.063919,+2.2498
LDO,snapshot,100,0.087999,0.178600,0.096916,0.200600,0.095012,+2.2000
DIMO,snapshot,10,0.227999,0.295011,0.232569,0.300650,0.225226,+0.5639
WXM,snapshot,100,0.486129,0.691455,1.000000,1.000000,1.000000,+30.8545
ARB,snapshot,100,0.052274,0.114727,0.054894,0.124750,0.054887,+1.0023
