protocol,quorum,ss_hhi,ss_top1_pct,voting_hhi,voting_top1_pct,ratio_ss_to_voting_hhi
AAVE,0.33,0.0968,26.88,0.0755,21.91,1.282
AAVE,0.5,0.0978,26.71,0.0755,21.91,1.294
AAVE,0.6,0.0957,26.45,0.0755,21.91,1.266
AAVE,0.67,0.0948,26.24,0.0755,21.91,1.255
AAVE,0.75,0.0942,26.35,0.0755,21.91,1.247
ARB,0.33,0.0385,11.76,0.0355,10.40,1.083
ARB,0.5,0.0375,11.36,0.0355,10.40,1.056
ARB,0.6,0.0367,10.76,0.0355,10.40,1.034
ARB,0.67,0.0375,11.27,0.0355,10.40,1.056
ARB,0.75,0.0367,10.79,0.0355,10.40,1.033
COMP,0.33,0.0436,12.94,0.0387,11.80,1.127
COMP,0.5,0.0431,12.75,0.0387,11.80,1.116
COMP,0.6,0.0429,12.64,0.0387,11.80,1.109
COMP,0.67,0.0429,12.85,0.0387,11.80,1.111
COMP,0.75,0.0427,12.88,0.0387,11.80,1.104
OP,0.33,0.0358,10.88,0.0330,10.03,1.087
OP,0.5,0.0347,10.60,0.0330,10.03,1.052
OP,0.6,0.0350,10.49,0.0330,10.03,1.060
OP,0.67,0.0352,10.75,0.0330,10.03,1.069
OP,0.75,0.0345,10.43,0.0330,10.03,1.046
UNI,0.33,0.0285,7.38,0.0271,6.80,1.052
UNI,0.5,0.0279,7.00,0.0271,6.80,1.026
UNI,0.6,0.0283,7.43,0.0271,6.80,1.045
UNI,0.67,0.0287,7.41,0.0271,6.80,1.056
UNI,0.75,0.0275,6.73,0.0271,6.80,1.014
