protocol,source,n,ss_hhi_q0.33,ss_top1_q0.33,ss_hhi_q0.4,ss_top1_q0.4,ss_hhi_q0.5,ss_top1_q0.5,ss_hhi_q0.6,ss_top1_q0.6,ss_hhi_q0.67,ss_top1_q0.67,ss_hhi_q0.75,ss_top1_q0.75
AAVE,tally,100,0.098757,0.272700,0.097618,0.267800,0.092663,0.258100,0.097577,0.267700,0.098784,0.270600,0.096215,0.267200
COMP,tally,100,0.042667,0.136000,0.042088,0.129800,0.041049,0.125300,0.042021,0.126700,0.043946,0.130200,0.042779,0.129300
UNI,tally,100,0.028461,0.073700,0.028235,0.069100,0.027914,0.068100,0.028112,0.074600,0.028734,0.074500,0.027414,0.068500
ARB,tally,100,0.037828,0.115500,0.036042,0.105300,0.036694,0.108100,0.037838,0.115500,0.038004,0.114400,0.036982,0.110200
OP,tally,100,0.035978,0.112200,0.035650,0.107300,0.033982,0.102900,0.035315,0.110300,0.035748,0.109800,0.034760,0.104700
GMX,tally,100,0.093335,0.235900,0.089946,0.224800,0.087445,0.219200,0.092468,0.228100,0.090362,0.224900,0.090378,0.226300
ENS,tally,100,0.028727,0.080600,0.029258,0.078500,0.029172,0.077400,0.029089,0.083000,0.030167,0.084200,0.029128,0.079400
UNI,snapshot,100,0.069477,0.127800,0.069413,0.125400,0.069305,0.125100,0.070306,0.128500,0.069843,0.126000,0.069520,0.126400
COMP,snapshot,100,0.061195,0.185100,0.059422,0.178500,0.057626,0.173200,0.061334,0.182400,0.062157,0.186000,0.057847,0.174500
LDO,snapshot,100,0.097269,0.209000,0.094572,0.197000,0.093391,0.190700,0.097057,0.202600,0.095172,0.197400,0.096218,0.200900
DIMO,snapshot,10,0.233717,0.303100,0.232847,0.299600,0.235820,0.305600,0.238948,0.322100,0.233409,0.300700,0.274151,0.349800
WXM,snapshot,100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.608846,0.777500
ARB,snapshot,100,0.054981,0.125300,0.054344,0.121400,0.053554,0.119000,0.055202,0.125000,0.055513,0.124500,0.054186,0.122500
JUP,solana_setvote,100,0.036723,0.090900,0.036534,0.089000,0.035900,0.086500,0.037275,0.093000,0.037348,0.090300,0.036360,0.088000
HNT,solana_holder_proxy,100,0.130917,0.306500,0.128688,0.301000,0.124806,0.292500,0.131486,0.303700,0.130575,0.303300,0.135836,0.314900
DRIFT,solana_holder_proxy,100,0.196417,0.410400,0.176317,0.387100,0.171202,0.380300,0.179256,0.389100,0.191723,0.403400,0.177401,0.369300
