protocol,token,category,revenue,revenue_source,log_revenue,fdv,log_fdv,market_cap,log_market_cap,treasury,log_treasury,rev_per_fdv,rev_per_mcap,subsidy_ratio,subsidy_source,inv_subsidy_ratio,insider_pct_initial,insider_count_frac_top10,insider_balance_frac_top10
Compound,COMP,DeFi,4883808.3,TT,15.401435862828157,176200000.0,18.987130271466352,170272531.0,18.95291083491312,6693806.0,15.716693179156273,0.027717413734392734,0.0286823028430816,1.1353856989022275,TT,0.8807579670651761,50.0,0.1,0.0151665186300407
MakerDAO,MKR,DeFi,349334677.5,TT,19.67154098197509,165536920.0,18.924704809473393,0.0,,280011916.0,19.45034271737085,2.1103127779591406,,0.0,TT,,57.5,0.2,0.1566624037123806
Aave,AAVE,DeFi,135365013.7,TT,18.723485492882094,1562720000.0,21.16969372966344,1481437372.0,21.11627865071277,155544120.0,18.862439979243383,0.08662141247312377,0.09137410481095923,0.3707090305565418,TT,2.6975334226379917,0.0,0.2,0.0708062073170888
Uniswap,UNI,DeFi,10628912.4,TT,16.179088430878597,3150380914.3403997,21.870789207660522,2223202852.0,21.522214719227296,1038873281.0,20.76140257916157,0.0033738499213278126,0.004780900847818812,3.437157690753007,TT,0.29093806277503714,39.31,0.1,0.0138179825379799
Curve,CRV,DeFi,30717716.8,TT,17.240350140564995,514889206.0882199,20.05946230167413,324541384.0,19.597923617564014,96000000.0,18.37985874943211,0.05965888668238444,0.09464961423841096,2.295110302599052,TT,0.43570890639442034,30.0,0.0,0.0
Rocket Pool,RPL,DeFi,37248720.0,TT,17.433128139783335,37659075.116,17.444084522102543,37570638.0,17.44173339904025,56298.0,10.938414289518105,0.9891034202317505,0.9914316600106711,,none,,41.4,0.1,0.0212345006099073
Jupiter,JUP,DeFi,840360.7,TT,13.64158648341356,1054863684.545594,20.77667738656472,545012815.0,20.11631986611254,300000000.0,19.519293032620475,0.0007966533612937904,0.0015419099824285783,,none,,20.0,0.4,0.280586
Maple Finance,MPL_SYRUP,DeFi,13280707.6,TT,16.401822983725598,1836910.0,14.423595370073826,321109.0,12.679535908336321,9309078.0,16.0465006110516,7.229917415659994,41.358876892270224,0.0,TT,,51.0,0.1,0.0234425913619243
GMX,GMX,DeFi,28797065.7,TT,17.175784054498838,65090528.477699995,17.991289604699816,65038289.0,17.990486715969727,44000000.0,17.599700191882537,0.44241560751601317,0.44277096065672944,0.0060788762932884,TT,164.50408788612555,9.44,0.2,0.021827363754730898
Drift,DRIFT,DeFi,7759944.0,TT,15.864485675638518,63874000.0,17.972422950788292,37048496.0,17.42773831509025,45000000.0,17.622173047734595,0.12148830510066694,0.20945368470558157,,none,,47.0,0.5,0.3487130109200751
Ether.Fi,ETHFI,DeFi,49226494.1,TT,17.711942534492017,468284425.987029,19.96458641711353,369164093.0,19.726751799633593,35000000.0,17.37085861945369,0.10512092943565782,0.13334583463944855,0.2395904647615357,TT,4.173788806642617,55.76,0.3,0.31922664177614674
The Graph,GRT,L1_L2_Infra,353715.5,TT,12.776248196681799,256892891.29000208,19.364169790580103,256162157.0,19.36132122769565,15000000.0,16.523560759066484,0.0013768987464923524,0.0013808265207573185,49.87666924406762,TT,0.02004945428706511,55.15,0.1,0.0095440944202007
Optimism,OP,L1_L2_Infra,12642753.9,TT,16.352594794787805,464049741.49632,19.955502305945547,228794474.0,19.24833466508035,600000000.0,20.21244021318042,0.02724439379975446,0.05525812612065097,7.564647327351677,TT,0.13219386928776916,36.0,0.0,0.0
Polygon,POL,L1_L2_Infra,8669743.3,TT,15.975349740475266,971169246.0020978,20.69401131179006,970844394.0,20.693676760066595,255000000.0,19.3567741031227,0.008927118867993142,0.008930105950634969,2.58792596546659,TT,0.3864098174924819,42.8,0.1,0.0085957651770148
Arbitrum,ARB,L1_L2_Infra,22011319.5,TT,16.90706740172843,926030000.0,20.646417189493874,559249324.0,20.14210594957205,2600000000.0,21.678777281973847,0.02376955336220209,0.03935868771832436,0.0,TT,,44.47,0.0,0.0
ENS,ENS,L1_L2_Infra,1623516.0,TT,14.300104725727476,560000000.0,20.14344734169347,214780224.0,19.185125849321448,357517371.0,19.69469450912766,0.002899135714285714,0.007558964087866861,,none,,25.0,0.1,0.051921398121074
DIMO,DIMO,DePIN,,none,,15432380.0,16.551978457422127,7663204.0,15.851940731025836,,,,,0.33,on-chain,3.0303030303030303,30.0,1.0,0.21483867998545397
IoTeX,IOTX,DePIN,88154.6,TT,11.386847370242142,43701640.803689584,17.592896206356134,43700433.0,17.59286856848355,,,0.0020171919950556505,0.0020172477467214115,39.05141081690575,TT,0.025607269470712436,39.0,0.0,0.0
WeatherXM,WXM,DePIN,,none,,1594566.0,14.282112156861595,497517.0,13.117385005851245,,,,,,none,,30.0,0.5,0.0490591940621945
Anyone Protocol,ANYONE,DePIN,,none,,12880000.0,16.371186278640483,,,,,,,,none,,10.0,0.4,0.1031654914013891
Grass,GRASS,DePIN,,none,,285511000.0,19.469791115214793,161220686.0,18.89828470486588,,,,,,none,,47.2,0.1,0.1601452795392452
Livepeer,LPT,DePIN,838701.0,on-chain,13.639609545293242,102359246.373,18.443999206714103,102463381.0,18.445016034174117,,,0.00819370042002605,0.008185373074893946,88.5,on-chain,0.011299435028248588,31.35,0.3,0.019689316119983
Helium,HNT,DePIN,13164903.9,TT,16.39306505122772,197306985.95583,19.10027137815024,197286767.0,19.10016889829243,,,0.06672294868944556,0.0667297867981181,1.05,on-chain,0.9523809523809523,,0.5,0.468304
GEODNET,GEOD,DePIN,9194616.0,TT,16.034128653321428,136880402.92892703,18.73461813120933,60244202.0,17.913916893339263,,,0.06717262517684257,0.1526224216564442,1.61,on-chain,0.6211180124223602,50.0,0.5,0.4782077228630966
Filecoin,FIL,DePIN,2877881.9,TT,14.872565130146194,1621690644.94029,21.206735049998294,633356445.0,20.26654392589014,,,0.0017746183028058118,0.0045438582376784685,19.178548188513226,TT,0.052141590185587595,22.5,0.1,0.180069891466242
Render,RENDER,DePIN,,none,,906955838.293,20.625604317029634,883569990.0,20.599481065601644,,,,,7.63,on-chain,0.1310615989515072,41.59,0.2,0.1500749247908249
