test,N,pearson_r,pearson_p,spearman_rho,spearman_p
"log(revenue, TT-pref-onchain-fallback) vs insider_count_frac_top10",35,-0.3194,0.0615,-0.2789,0.1047
"log(revenue, TT-pref-onchain-fallback) vs insider_balance_frac_top10",35,-0.2965,0.0838,-0.257,0.1361
revenue / FDV vs insider_count_frac_top10,35,-0.1166,0.5047,-0.0516,0.7684
revenue / FDV vs insider_balance_frac_top10,35,-0.1468,0.3999,-0.1505,0.3883
revenue / market_cap vs insider_count_frac_top10,33,-0.0981,0.5872,-0.0897,0.6195
revenue / market_cap vs insider_balance_frac_top10,33,-0.1325,0.4622,-0.2119,0.2365
1 / subsidy_ratio (TT-pref-onchain-fallback) vs insider_count_frac_top10,22,-0.2042,0.362,-0.056,0.8046
1 / subsidy_ratio (TT-pref-onchain-fallback) vs insider_balance_frac_top10,22,-0.2002,0.3717,-0.0131,0.954
log(FDV) vs insider_count_frac_top10,38,-0.3276,0.0447,-0.3064,0.0613
log(FDV) vs insider_balance_frac_top10,38,-0.0778,0.6426,-0.1522,0.3615
log(market_cap) vs insider_count_frac_top10,35,-0.294,0.0865,-0.2423,0.1608
log(market_cap) vs insider_balance_frac_top10,35,-0.0463,0.7916,-0.1715,0.3245
log(treasury) vs insider_count_frac_top10,24,-0.3101,0.1403,-0.2718,0.1988
log(treasury) vs insider_balance_frac_top10,24,-0.1761,0.4104,-0.2458,0.247
burn-active vs subsidizing on insider_count (Mann-Whitney),25,nan,nan,-0.4235,0.5699
burn-active vs subsidizing on insider_balance (Mann-Whitney),25,nan,nan,-0.343,0.7801
"insider_pct_initial vs log(revenue, TT-pref-onchain-fallback)",35,0.0256,0.8841,0.1615,0.3539
insider_pct_initial vs revenue / FDV,35,0.178,0.3062,0.108,0.537
insider_pct_initial vs revenue / market_cap,33,0.1372,0.4464,0.0626,0.7295
insider_pct_initial vs 1 / subsidy_ratio (TT-pref-onchain-fallback),22,-0.1142,0.6129,0.0351,0.8769
insider_pct_initial vs log(FDV),38,0.0678,0.6858,0.0776,0.6434
insider_pct_initial vs log(market_cap),35,-0.0796,0.6494,-0.053,0.7625
insider_pct_initial vs log(treasury),23,0.0704,0.7496,0.0124,0.9554
