protocol,token,rank,address,balance,share_top1000_pct,candidate_class_hypothesis
Jupiter,JUP,1,27b4PRN7K37rpTywq65t29rjuNfQkYpxZUjkbtHc5VvZ,80127396.47,19.4503,TBD (next-cycle Helius DAS + Squads + Realms cross-reference)
Jupiter,JUP,2,43DbAvKxhXh1oSxkJSqGosNw3HpBnmsWiak6tB5wpecN,30770089.03,7.4692,TBD (next-cycle Helius DAS + Squads + Realms cross-reference)
Jupiter,JUP,3,Gem2VAypSg7Ai7vjDKPTtqFahpoQWkfgVkyzx3rPoTka,17893775.91,4.3436,TBD (next-cycle Helius DAS + Squads + Realms cross-reference)
Jupiter,JUP,4,6LY1JzAFVZsP2a2xKrtU6znQMQ5h4i7tocWdgrkZzkzF,16254761.44,3.9457,TBD (next-cycle Helius DAS + Squads + Realms cross-reference)
Jupiter,JUP,5,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,15658126.12,3.8009,TBD (next-cycle Helius DAS + Squads + Realms cross-reference)
Jupiter,JUP,6,7s1da8DduuBFqGra5bJBjpnvL5E9mGzCuMk1Qkh4or2Z,15561238.91,3.7774,TBD (next-cycle Helius DAS + Squads + Realms cross-reference)
Jupiter,JUP,7,6QqVvibpcQpju2QCqR7pdD4dzFKdAEDrCFAFCscFmCy6,10906599.08,2.6475,TBD (next-cycle Helius DAS + Squads + Realms cross-reference)
Jupiter,JUP,8,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,9656311.17,2.3440,TBD (next-cycle Helius DAS + Squads + Realms cross-reference)
Jupiter,JUP,9,2h56LbCJDC9PAjYJWSVmXP4VBhrwzaD9nMUqiz9TTgBD,8994749.53,2.1834,TBD (next-cycle Helius DAS + Squads + Realms cross-reference)
Jupiter,JUP,10,6FEVkH17P9y8Q9aCkDdPcMDjvj7SVxrTETaYEm8f51Jy,8146104.56,1.9774,TBD (next-cycle Helius DAS + Squads + Realms cross-reference)
Drift,DRIFT,1,FH9iLV5Z8EUEDMnW6CzUPkpDhWJCsHqJ5N4W23njNsUo,140182536.19,14.0889,TBD (next-cycle Helius DAS + Squads + Realms cross-reference)
Drift,DRIFT,2,Gu6nuuGLPora979uTwwVCyKhiMRnGfzKAPwqcrBfaiJq,54632891.73,5.4908,TBD (next-cycle Helius DAS + Squads + Realms cross-reference)
Drift,DRIFT,3,7LCwgH3TtA7v9jvPoU3zHhRUCgd2XNCdAwQSjBPDzFQ6,39846001.00,4.0047,TBD (next-cycle Helius DAS + Squads + Realms cross-reference)
Drift,DRIFT,4,EPpctwZpP7LE61Xkpbb9ixfxMFD8fFAxewe7dTk6dg1M,26565533.41,2.6699,TBD (next-cycle Helius DAS + Squads + Realms cross-reference)
Drift,DRIFT,5,DemTRm4sQbLxMywg9XST9TMYRmXfwNH6CCfiU4xb47kR,22257547.90,2.2370,TBD (next-cycle Helius DAS + Squads + Realms cross-reference)
Drift,DRIFT,6,JCNCMFXo5M5qwUPg2Utu1u6YWp3MbygxqBsBeXXJfrw,19353121.16,1.9451,TBD (next-cycle Helius DAS + Squads + Realms cross-reference)
Drift,DRIFT,7,3VYKR2SWa8PmDBkwHWTrwznEsqSajhRyDDeNyY8rb2mK,15000000.00,1.5076,TBD (next-cycle Helius DAS + Squads + Realms cross-reference)
Drift,DRIFT,8,HPjkU5hUR1diprB6Uihqxtr5hkRaJXFEetGjkVyEmoUR,14417083.15,1.4490,TBD (next-cycle Helius DAS + Squads + Realms cross-reference)
Drift,DRIFT,9,JCNCMFXo5M5qwUPg2Utu1u6YWp3MbygxqBsBeXXJfrw,12705132.78,1.2769,TBD (next-cycle Helius DAS + Squads + Realms cross-reference)
Drift,DRIFT,10,87HMEidQ35cidTRwgRaJ9DWMvopMfemP48PEmo2hAgjy,11640692.00,1.1699,TBD (next-cycle Helius DAS + Squads + Realms cross-reference)
