symbol,n_post1k,n_pca_excluded,hhi_post_exclusion,gini_post,theil_post,atkinson_0.5_post
ARB,999,1,0.012274,0.757133,1.362243,0.489229
W,1000,0,0.014927,0.871632,1.905719,0.697600
HONEY,1000,0,0.019752,0.918142,2.366450,0.776329
AAVE,999,1,0.020161,0.849317,1.973955,0.631407
MPL_SYRUP,998,2,0.024243,0.884279,2.227530,0.696708
ZRO,1000,0,0.027439,0.909255,2.344637,0.755594
COMP,1000,0,0.027491,0.863416,2.004541,0.663397
BAL,993,0,0.027673,0.877470,2.152745,0.685606
TEC,742,0,0.027769,0.906720,2.239593,0.782763
UNI,999,1,0.032170,0.842800,1.956020,0.623828
RENDER,1000,0,0.032305,0.894449,2.467738,0.721000
POL,998,2,0.034750,0.919460,2.638030,0.769590
GRASS,1000,0,0.035201,0.760292,1.790178,0.514542
GRT,999,1,0.035580,0.886072,2.373395,0.702174
DIMO,999,1,0.037903,0.870902,2.584960,0.702889
LDO,1000,0,0.039052,0.872709,2.421405,0.682515
RPL,999,1,0.039150,0.874843,2.515490,0.691205
ANYONE,1000,0,0.040360,0.794164,2.138383,0.577718
OP,999,1,0.041770,0.841496,2.134478,0.628270
MKR,1000,0,0.045041,0.898212,2.671016,0.730155
FIL,1000,0,0.047273,0.787780,2.177708,0.577687
META,1000,0,0.048249,0.897980,2.418677,0.733318
GMX,999,1,0.056379,0.930682,3.047366,0.800332
SYRUP,1000,0,0.061686,0.919122,2.800137,0.771695
ETHFI,1000,0,0.066775,0.945892,3.120840,0.834157
RENDER_SOL,549,0,0.070341,0.964863,3.127473,0.905527
GTC,1000,0,0.076552,0.940580,3.283391,0.821983
DRIFT,1000,0,0.101134,0.939201,3.225692,0.826520
HNT,1000,0,0.102405,0.982541,3.992364,0.938971
IOTX,1000,0,0.106455,0.987009,4.355069,0.957668
IO,1000,0,0.111277,0.946732,3.386524,0.837136
JUP,1000,0,0.116602,0.979737,3.941647,0.930470
GEOD,1000,0,0.132502,0.960403,4.010692,0.880120
ENS,999,1,0.134531,0.939306,3.717270,0.828413
WXM,999,1,0.147854,0.894592,3.645353,0.780701
MOR,1000,0,0.148680,0.956546,3.863053,0.863164
ATH,1000,0,0.153147,0.975644,4.165885,0.913902
POKT,1000,0,0.159159,0.961951,3.898889,0.877896
CRV,1000,0,0.170599,0.894285,3.219053,0.737188
LPT,998,2,0.198868,0.941605,3.797089,0.831830
AXL,1000,0,0.202392,0.939974,3.919992,0.834690
ATH,15,0,0.209505,0.605572,0.690587,0.302923
HYPE,1000,0,0.222317,0.911177,3.979136,0.796293
RNDR_ETH,1000,0,0.740119,0.980213,5.890898,0.942516
MPL,1000,0,0.898778,0.987619,6.459484,0.967471
