token,top1_pre_pct,top1_post_pct,top5_pre_pct,top5_post_pct,top10_pre_pct,top10_post_pct,csv_top10_pct
AAVE,21.6738,7.4622,38.5396,24.4804,47.6514,34.9295,47.65
ARB,30.1713,8.5984,41.6517,16.0625,47.1903,22.4217,47.19
ATH,39.9312,23.2735,77.9402,84.3641,95.1172,100.0,
BAL,11.8852,12.4045,29.804,31.1061,36.8059,37.9676,37.96759370292619
COMP,14.0635,15.0197,25.4543,24.7367,32.3642,31.4948,32.36
CRV,40.5283,6.748,53.0811,23.153,60.6642,34.3888,60.66
DIMO,52.2537,13.9387,65.1514,30.3102,72.4179,44.9959,45.0
ENS,50.2825,26.7322,82.6458,70.1879,87.5163,75.5453,75.55
GMX,61.7007,17.4936,76.1343,43.6343,83.8142,60.2107,60.21
GRT,28.6094,13.113,51.8132,31.2956,59.6605,40.2249,59.66
HYPE,43.1881,2.1972,74.8598,9.3051,77.1991,14.5384,14.54
LDO,9.89,9.89,19.8089,19.8089,27.7079,27.7079,27.71
LPT,87.7177,42.8695,98.1654,63.1134,98.7705,73.7148,73.71
MPL_SYRUP,44.5409,8.4717,64.7994,28.7504,72.0031,40.6364,40.64
OP,31.8187,12.0967,54.0095,23.8129,60.7582,29.5628,60.76
POL,37.1271,12.0607,74.3257,31.4353,80.9829,49.5036,49.5
RENDER,10.407,10.407,31.7853,31.7853,47.0094,47.0094,47.01
RPL,49.2846,11.525,65.9307,37.6843,74.905,52.7113,52.71
UNI,29.0982,4.2495,46.2133,14.4503,52.1245,22.8546,52.12
WXM,74.8277,34.9802,88.857,60.9826,93.9949,77.9234,77.92
