sector,protocol,hhi_baseline,hhi_post_burn
DeFi,Compound,0.02893,0.02893
DeFi,MakerDAO,0.045041,0.045041
DeFi,Aave,0.020202,0.020202
DeFi,Uniswap,0.0322,0.009784
DeFi,Curve,0.017005,0.017005
DeFi,Rocket Pool,0.03915,0.03915
DeFi,Jupiter,0.116602,0.116602
DeFi,Maple Finance,0.024243,0.024243
DeFi,GMX,0.056379,0.056379
DeFi,Drift,0.101134,0.101134
DeFi,Ether.Fi,0.066775,0.066775
DeFi,MetaDAO,0.048249,0.048249
DeFi,Lido,0.012817,0.012817
DeFi,Hyperliquid,0.004526,0.004526
DeFi,Balancer,0.0295021738512322,0.0295021738512322
DePIN,DIMO,0.037903,0.037903
DePIN,IoTeX,0.106455,0.106455
DePIN,WeatherXM,0.147854,0.147854
DePIN,Anyone Protocol,0.04036,0.04036
DePIN,Grass,0.035201,0.035201
DePIN,Livepeer,0.198868,0.198868
DePIN,Helium,0.102405,0.102405
DePIN,GEODNET,0.132502,0.132502
DePIN,Filecoin,0.047273,0.047273
DePIN,Render,0.032305,0.032305
DePIN,Pokt Network,0.159159,0.159159
DePIN,Morpheus AI,0.013252,0.013252
DePIN,Aethir,0.1678,0.1678
DePIN,Hivemapper,0.01748,0.01748
DePIN,io.net,0.1113,0.1113
L1_L2_Infra,The Graph,0.032763,0.032763
L1_L2_Infra,Optimism,0.009097,0.009097
L1_L2_Infra,Polygon,0.03475,0.03475
L1_L2_Infra,Arbitrum,0.011844,0.011844
L1_L2_Infra,ENS,0.134531,0.134531
L1_L2_Infra,LayerZero,0.009561,0.009561
L1_L2_Infra,Wormhole,0.014927,0.014927
L1_L2_Infra,Axelar,0.003761,0.003761
Social_Dead,Gitcoin,0.076552,0.076552
Social_Dead,Token Engineering Commons,0.027769,0.027769
