symbol,address,cex_name,rank,share_top1000_pct,is_new_cex_from_phase4,already_in_exclusions_log,hhi_protocol_raw_pre,hhi_with_existing_excl,hhi_post_new_cex_excl,hhi_shift_from_new_cex,existing_exclusion_count,new_cex_to_add_count
AAVE,0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,Crypto.com 22,98,0.12241609262260492,True,False,0.059344,0.012790,0.012887,+0.000097,3,4
AAVE,0x3a5cc8689d1b0cef2c317bc5c0ad6ce88b27d597,Luno Wallet,115,0.1012589143017269,True,False,0.059344,0.012790,0.012887,+0.000097,3,4
AAVE,0xedc6bacdc1e29d7c5fa6f6eca6fdd447b9c487c9,Bitvavo,228,0.030507082441350822,True,False,0.059344,0.012790,0.012887,+0.000097,3,4
AAVE,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,Bitvavo Hot Wallet,408,0.012304273938990168,True,False,0.059344,0.012790,0.012887,+0.000097,3,4
ARB,0x5a52e96bacdabb82fd05763e25335261b270efcb,Binance 19,33,0.28857359731380555,False,False,0.097016,0.011914,0.011926,+0.000012,7,2
ARB,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,Bitvavo Hot Wallet,394,0.021530020444252933,True,False,0.097016,0.011914,0.011926,+0.000012,7,2
ARB,0x0529ea5885702715e83923c59746ae8734c553b7,Bitpanda 18,599,0.009562296215489865,True,False,0.097016,0.011914,0.011926,+0.000012,7,2
ATH,0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,Crypto.com 22,33,0.1756601806423759,True,False,0.153147,0.094764,0.098043,+0.003279,8,4
ATH,0xedc6bacdc1e29d7c5fa6f6eca6fdd447b9c487c9,Bitvavo,39,0.14391373270028557,True,False,0.153147,0.094764,0.098043,+0.003279,8,4
ATH,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,41,0.1398852999744568,False,False,0.153147,0.094764,0.098043,+0.003279,8,4
ATH,0x0529ea5885702715e83923c59746ae8734c553b7,Bitpanda 18,43,0.1346346687749601,True,False,0.153147,0.094764,0.098043,+0.003279,8,4
ATH,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,Bitvavo Hot Wallet,49,0.0866320268195085,True,False,0.153147,0.094764,0.098043,+0.003279,8,4
ATH,0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,191,0.004455312360882897,False,False,0.153147,0.094764,0.098043,+0.003279,8,4
AXL,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,6,2.5084124016912814,False,True,0.202392,0.026763,0.028420,+0.001657,4,4
AXL,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,Bitvavo Hot Wallet,14,0.764208902696282,True,False,0.202392,0.026763,0.028420,+0.001657,4,4
AXL,0x0529ea5885702715e83923c59746ae8734c553b7,Bitpanda 18,17,0.6448832527437468,True,False,0.202392,0.026763,0.028420,+0.001657,4,4
AXL,0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,19,0.5864722821562476,False,False,0.202392,0.026763,0.028420,+0.001657,4,4
AXL,0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,Crypto.com 22,40,0.1781620649868762,True,False,0.202392,0.026763,0.028420,+0.001657,4,4
AXL,0xedc6bacdc1e29d7c5fa6f6eca6fdd447b9c487c9,Bitvavo,154,0.020045718888394896,True,False,0.202392,0.026763,0.028420,+0.001657,4,4
BAL,0x0529ea5885702715e83923c59746ae8734c553b7,Bitpanda 18,305,0.01826431471592984,True,False,0.027673,0.029037,0.029048,+0.000012,4,1
COMP,0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,Crypto.com 22,119,0.19735477571832752,True,False,0.027491,0.009223,0.009340,+0.000116,8,4
COMP,0x0529ea5885702715e83923c59746ae8734c553b7,Bitpanda 18,129,0.1501651998925465,True,False,0.027491,0.009223,0.009340,+0.000116,8,4
COMP,0xedc6bacdc1e29d7c5fa6f6eca6fdd447b9c487c9,Bitvavo,135,0.13962407750693914,True,False,0.027491,0.009223,0.009340,+0.000116,8,4
COMP,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,Bitvavo Hot Wallet,175,0.0685486478596966,True,False,0.027491,0.009223,0.009340,+0.000116,8,4
CRV,0x5a52e96bacdabb82fd05763e25335261b270efcb,Binance 19,2,3.357060485419409,False,True,0.170599,0.014418,0.014596,+0.000179,12,5
CRV,0x3a5cc8689d1b0cef2c317bc5c0ad6ce88b27d597,Luno Wallet,8,1.5228337957450402,True,False,0.170599,0.014418,0.014596,+0.000179,12,5
CRV,0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,Crypto.com 22,61,0.1909470934407836,True,False,0.170599,0.014418,0.014596,+0.000179,12,5
CRV,0xedc6bacdc1e29d7c5fa6f6eca6fdd447b9c487c9,Bitvavo,65,0.1781240246861699,True,False,0.170599,0.014418,0.014596,+0.000179,12,5
CRV,0x0529ea5885702715e83923c59746ae8734c553b7,Bitpanda 18,90,0.12167521734107738,True,False,0.170599,0.014418,0.014596,+0.000179,12,5
CRV,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,Bitvavo Hot Wallet,106,0.09940528504939997,True,False,0.170599,0.014418,0.014596,+0.000179,12,5
