rank,address,crv_deposited,share,label
1,0x989aeb4d175e16225e39e87d0d97a3360524ad80,422910550.10,0.479777,Convex CRV Locker (cvxCRV vault)
2,0x52f541764e6e90eebc5c21ff570de0e2d63766b6,119154026.01,0.135176,Yearn yveCRV
3,0xf147b8125d2ef93fb6965db97d6746952a133934,83396684.20,0.094611,Stake DAO sdCRV
4,0x9b44473e223f8a3c047ad86f387b80402536b029,27686613.86,0.031409,Unknown whale
5,0x7a16ff8270133f063aab6c9977183d9e72835428,27311614.35,0.030984,Unknown whale
6,0xce50ebaa2c58d03a436163e06cbb0870909179db,25000000.00,0.028362,Unknown whale
7,0xf89501b77b2fa6329f94f5a05fe84cebb5c8b1a0,24127217.80,0.027371,Unknown whale
8,0x425d16b0e08a28a3ff9e4404ae99d78c0a076c5a,17063037.03,0.019357,Unknown whale
9,0xde3a6d1a3c8331082a1bf0874d4d83113e7fdce5,11756865.37,0.013338,Unknown whale (single 11.7M deposit)
10,0x431e81e5dfb5a24541b5ff8762bdef3f32f96354,11074082.17,0.012563,
11,0x32d03db62e464c9168e41028ffa6e9a05d8c6451,7849902.39,0.008905,
12,0x39362b3ca91d40aff08ebccbdd121090f3bb3ef3,6885450.18,0.007811,
13,0xc72aed14386158960d0e93fecb83642e68482e4b,6280477.03,0.007125,
14,0x221c7c5a448c87f6834818f255d28e5a8124c4a1,5351434.04,0.006071,
15,0x394a16eea604fbd86b0b45184b2d790c83a950e3,3968557.74,0.004502,
16,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,3752061.04,0.004257,
17,0x0dc34009f84bb5c8d976aac966083161e1941f3f,3749999.00,0.004254,
18,0x6c44e47b53ce126de8b4d1957bbf049bfce0281a,3636667.33,0.004126,
19,0xb18fbfe3d34fdc227eb4508cde437412b6233121,3438329.08,0.003901,
20,0xd4a39d219adb43ab00739dc5d876d98fdf0121bf,2832569.73,0.003213,
21,0x0d5dc686d0a2abbfdafdfb4d0533e886517d4e83,2668044.76,0.003027,
22,0x68253b905869230803f04089279598967b582859,2653563.59,0.003010,
23,0xa17de10b843f4d5c38cace3cb1d6afc4063f1e59,2651295.14,0.003008,
24,0xa5d223c176daab154a3134369d1c0478c5e6fecf,2600110.38,0.002950,
25,0xe5350e927b904fdb4d2af55c566e269bb3df1941,2523305.45,0.002863,
26,0x50916b400a699cf3d1038a9f6199fa9b08b48f88,2506100.65,0.002843,
27,0x4d3e453fbf93bb597888941874780d6cd0b0a3ae,2500000.00,0.002836,
28,0x52f737774c470e38b4f0109a2c852b129df14302,2500000.00,0.002836,
29,0x9930544c7d487022bee6a687fa1fdd11b9e3fd80,2500000.00,0.002836,
30,0xeb6c935331c31e9e5404b710450784abd9031d5d,2496328.35,0.002832,
31,0xfb305a40dac406bdcf3b85f6311e5430770f44ba,2389863.07,0.002711,
32,0x279a7dbfae376427ffac52fcb0883147d42165ff,2341407.41,0.002656,
33,0x490b8c6007ffa5d3728a49c2ee199e51f05d2f7e,2331280.28,0.002645,
34,0x995a09ed0b24ee13fbfcfbe60cad2fb6281b479f,2133131.20,0.002420,
35,0x847fa1a5337c7f24d7066e467f2e2a0f969ca79f,2105508.32,0.002389,
36,0x9c5083dd4838e120dbeac44c052179692aa5dac5,2025000.00,0.002297,
37,0xc77ecf7f19bd816cfd8496e04c306b0e138b7ceb,2000000.00,0.002269,
38,0xb00b482114a094df6b3841b27161307c9879948e,2000000.00,0.002269,
39,0x9cfd5052dc827c11a6b3ab2bb5091773765ea2c8,2000000.00,0.002269,
40,0x13b56e09ee4ae07753f54f1d8f4c1c8be5607859,2000000.00,0.002269,
41,0xb113d139d00a01270737279e0ccb28ef41884594,2000000.00,0.002269,
42,0xc509c54ab2c3aedc48481a70c3a7c4a57b26e6fa,1978047.08,0.002244,
43,0xc1dea34675c656006cd2ea207a6512b8a14355d6,1903490.35,0.002159,
44,0x975793c7a6a077221aca4e4fb9b7f9a46378463a,1844777.39,0.002093,
45,0x7e8b062d0693ee611ca197f3a5ca412559f4a2f5,1806944.48,0.002050,
46,0x35071652daf2c3993bd003e4bc547f8ae7277de5,1687603.36,0.001915,
47,0xb01151b93b5783c252333ce0707d704d0bbdf5ec,1604328.80,0.001820,
48,0x4bcc5ca6394971dde157dea794553d2b9de44b0f,1534882.24,0.001741,
49,0x0eff60a2a85c8fd3f563cfc9c4aad8f0bcdf4002,1511144.65,0.001714,
50,0x94a468fcb53a043bf5cd95ef21892e02c71134be,1451480.17,0.001647,
