token,tt_project_id,revenue_annual_usd,fdv_usd,incentives_annual_usd,subsidy_ratio,active_addresses_30d,treasury_usd,source,notes
COMP,compound,642403.0,,1225567.0,0.6561,,6693806.0,token_terminal,
MKR,makerdao,339196970.0,,,0.0,,280011916.0,token_terminal,
AAVE,aave,72389904.0,,8099992.0,0.1006,,155544120.0,token_terminal,
UNI,uniswap,52663061.0,,536653.0,0.0101,,1038873281.0,token_terminal,
CRV,curve-finance,,,,,,,fallback_needed,
RPL,rocket-pool,,,,,,56298.0,token_terminal,
JUP,jupiter-exchange,,,,,,,fallback_needed,
MPL_SYRUP,maple-finance,10570977.0,,,0.0,,9309078.0,token_terminal,
GMX,gmx,24135479.0,,53912.0,0.0022,,,token_terminal,
DRIFT,drift,,,,,,,fallback_needed,
ETHFI,ether-fi,,,,,,,fallback_needed,
GRT,the-graph,102975.0,,,0.0,,,token_terminal,
OP,optimism,508351.0,,56578046.0,0.9911,,,token_terminal,
POL,polygon,10829727.0,,9657767.0,0.4714,,,token_terminal,
ARB,arbitrum,7865260.0,,,0.0,,,token_terminal,
ENS,ethereum-name-service,,,,,,357517371.0,token_terminal,
DIMO,dimo,,,,,,,fallback_needed,
IOTX,iotex,2145.0,,994755.0,0.9978,,,token_terminal,
WXM,weatherxm,,,,,,,fallback_needed,
ANYONE,,,,,,,,fallback_needed,No Token Terminal coverage
GRASS,,,,,,,,fallback_needed,No Token Terminal coverage
LPT,livepeer,,,24587414.0,1.0,,,token_terminal,
HNT,helium,16578087.0,,,0.0,,,token_terminal,
GEOD,,,,,,,,fallback_needed,No Token Terminal coverage
FIL,filecoin,3272783.0,,19712256.0,0.8576,,,token_terminal,
RENDER,render-network,,,,,,20121497.0,token_terminal,
POKT,pocket-network,,,,,,,fallback_needed,
GTC,gitcoin,,,,,,,fallback_needed,
TEC,,,,,,,,fallback_needed,No Token Terminal coverage
