protocol,token,category,coingecko_id,market_cap_usd,fdv_usd,volume_24h_usd,price_usd,circulating_supply,total_supply,max_supply,circ_to_total_ratio,genesis_date,ath_usd,ath_change_pct
Compound,COMP,DeFi,compound-governance-token,170272531.0,176200000.0,9566725.0,17.62,9668189.28,10000000.0,10000000.0,0.9668189279999999,,854.45,-97.93635
MakerDAO,MKR,DeFi,maker,0.0,165536920.0,298232.0,1807.66,0.0,91554.313234891,1005577.0,0.0,2017-11-25,6292.31,-71.29455
Aave,AAVE,DeFi,aave,1481437372.0,1562720000.0,166436389.0,97.67,15185755.57,16000000.0,16000000.0,0.949109723125,,661.69,-85.18202
Uniswap,UNI,DeFi,uniswap,2223202852.0,3150380914.3403997,138672922.0,3.51,633561603.6,897544420.04,1000000000.0,0.7058832849428942,,44.92,-92.13701
Curve,CRV,DeFi,curve-dao-token,324541384.0,514889206.0882199,40253050.0,0.217579,1493385051.0,2366447157.53,3030303031.0,0.6310662996416677,,15.37,-98.58005
Rocket Pool,RPL,DeFi,rocket-pool,37570638.0,37659075.116,3352163.0,1.69,22283476.4,22283476.4,,1.0,,61.9,-97.27881
Jupiter,JUP,DeFi,jupiter-exchange-solana,545012815.0,1054863684.5455939,25145085.0,0.153681,3550835739.32,6863982434.69,10000000000.0,0.5173142229173504,,2.0,-92.29535
Maple Finance,MPL_SYRUP,DeFi,maple,321109.0,1836910.0,49390.0,0.183691,1748089.34,10000000.0,10000000.0,0.174808934,,68.2,-99.73119
GMX,GMX,DeFi,gmx,65038289.0,65090528.477699995,4983644.0,6.27,10381264.51,10381264.51,13250000.0,1.0,,91.07,-93.08224
Drift,DRIFT,DeFi,drift-protocol,37048496.0,63874000.0,6918969.0,0.063874,581163076.43,1000000000.0,1000000000.0,0.58116307643,,2.6,-97.53473
Ether.Fi,ETHFI,DeFi,ether-fi,369164093.0,468284425.987029,30344548.0,0.468971,787264625.0,998535999.0,1000000000.0,0.7884188710155857,,8.53,-94.44609
MetaDAO,META,DeFi,meta-dao,,,,,,,,,,,
Lido,LDO,DeFi,lido-dao,277578113.0,326931000.0,34143837.0,0.326931,849264458.59,1000000000.0,1000000000.0,0.84926445859,,7.3,-95.4823
DIMO,DIMO,DePIN,dimo,7663204.0,15432380.0,828314.0,0.01543238,496528414.9,1000000000.0,1000000000.0,0.4965284149,,0.785628,-98.03653
IoTeX,IOTX,DePIN,iotex,43700433.0,43701640.803689584,2148403.0,0.00462874,9441368661.0,9441368667.0,10000000000.0,0.9999999993644989,,0.255593,-98.19655
WeatherXM,WXM,DePIN,weatherxm-network,497517.0,1594566.0,,0.01594566,31201225.0,100000000.0,,0.31201225,,,
Anyone Protocol,ANYONE,DePIN,anyone-protocol,,,,,,,,,,,
Grass,GRASS,DePIN,grass,161220686.0,285511000.0,9388422.0,0.285511,564673734.0,1000000000.0,1000000000.0,0.564673734,,3.89,-92.66456
Livepeer,LPT,DePIN,livepeer,102463381.0,102359246.373,5750691.0,2.06,49688954.55,49688954.55,,1.0,2018-10-01,99.03,-97.92158
Helium,HNT,DePIN,helium,197286767.0,197306985.95582998,3780142.0,1.069,184571549.07,184571549.07,223000000.0,1.0,,54.88,-98.05231
GEODNET,GEOD,DePIN,geodnet,60244202.0,136880402.92892703,245871.0,0.141392,426078902.62,968091567.62,1000000000.0,0.44012252236375904,,0.374342,-62.30786
Filecoin,FIL,DePIN,filecoin,633356445.0,1621690644.94029,77979149.0,0.82827,764908287.0,1957925127.0,,0.3906728998222821,,236.84,-99.65048
Render,RENDER,DePIN,render-token,883569990.0,906955838.293,61495672.0,1.7,518743261.01,533503434.29,644245094.0,0.9723334990342785,,13.53,-87.34838
Pokt Network,POKT,DePIN,pocket-network,24904074.0,29109169.072158974,821574.0,0.01237974,2011680128.05,2351355446.25,,0.8555406334921746,,3.11,-99.60222
Morpheus AI,MOR,DePIN,morpheus-ai,,,,,,,,,,,
The Graph,GRT,L1_L2_Infra,the-graph,256162157.0,256892891.29000208,11844850.0,0.0237858,10770371545.86,10800262816.05,10800262823.318213,0.9972323571473115,,2.84,-99.16071
Optimism,OP,L1_L2_Infra,optimism,228794474.0,464049741.49632,52195331.0,0.108045,2117847344.0,4294967296.0,4294967296.0,0.49309976026415825,,4.84,-97.76662
Polygon,POL,L1_L2_Infra,polygon-ecosystem-token,970844394.0,971169246.0020978,55774668.0,0.091469,10617468716.2,10617468716.2,,1.0,,1.29,-92.82523
Arbitrum,ARB,L1_L2_Infra,arbitrum,559249324.0,926030000.0,53684214.0,0.092603,6040824145.0,10000000000.0,10000000000.0,0.6040824145,,2.39,-96.13082
ENS,ENS,L1_L2_Infra,ethereum-name-service,214780224.0,560000000.0,17895420.0,5.6,38380013.53,100000000.0,100000000.0,0.3838001353,,83.4,-93.2701
LayerZero,ZRO,L1_L2_Infra,layerzero,472000111.0,1870000000.0,35999211.0,1.87,252331652.65,1000000000.0,1000000000.0,0.25233165265,,7.47,-74.82226
Wormhole,W,L1_L2_Infra,wormhole,81449390.0,145638900.0,13120364.0,0.01456389,5609687898.0,10000000000.0,10000000000.0,0.5609687898,,1.66,-99.12447
Axelar,AXL,L1_L2_Infra,axelar,53362843.0,57728891.7214417,7280862.0,0.04671781,1144413675.15,1235693447.99,,0.9261307300864328,,2.64,-98.23405
Gitcoin,GTC,Social_Dead,gitcoin,6643467.0,7593700.0,995473.0,0.075937,87491501.9,100000000.0,100000000.0,0.874915019,,22.37,-99.66051
Token Engineering Commons,TEC,Social_Dead,token-engineering-commons,,,,,,,,,,,
