protocol,token,category,chain,measurement_type,launch_year,governance_model,distribution_type,hhi,gini,top1_pct,top5_pct,top10_pct,n_holders,total_balance_top1000,source,query_id,notes
Compound,COMP,DeFi,ethereum,governance_token,2020,delegate,mining,0.027491,0.8634,14.06,25.45,32.36,1000,8808740.05,Dune,,
MakerDAO,MKR,DeFi,ethereum,governance_token,2017,delegate,team_vc,0.045041,0.8982,11.37,41.71,56.16,1000,1165907.99,Dune,,
Aave,AAVE,DeFi,ethereum,governance_token,2020,delegate,team_vc,0.020202,0.8803,21.67,38.54,47.65,1000,13867869.15,Dune,,; HHI revised after exclusion of protocol-controlled address
Uniswap,UNI,DeFi,ethereum,governance_token,2020,delegate,airdrop,0.032200,0.8869,29.1,46.21,52.12,1000,909454169.17,Dune,,; HHI revised after exclusion of protocol-controlled address
Curve,CRV,DeFi,ethereum,governance_token,2020,token_weighted,mining,0.170599,0.8943,40.53,53.08,60.66,1000,2114945509.87,Dune,,veCRV caveat: voting power != raw holdings; Convex controls ~47% of veCRV
Rocket Pool,RPL,DeFi,ethereum,governance_token,2017,token_weighted,team_vc,0.03915,0.8748,11.52,37.68,52.71,999,10480720.49,Dune,,
Jupiter,JUP,DeFi,solana,governance_token,2024,token_weighted,airdrop,0.116602,0.9797,25.07,60.28,75.04,1000,411959837.4,Dune,,SPL token
Maple Finance,MPL_SYRUP,DeFi,ethereum,governance_token,2021,token_weighted,team_vc,0.024243,0.8843,8.47,28.75,40.64,998,9131406.19,Dune,,Merged: MPL (0x333...) + SYRUP (0x643...). MPL migrated to SYRUP Apr 2025 (1 MPL = 100 SYRUP). Collect both; normalize SYRUP by /100 to MPL-equivalent; merge holder lists by address.
GMX,GMX,DeFi,arbitrum,governance_token,2021,token_weighted,team_vc,0.056379,0.9307,17.49,43.63,60.21,999,3996470.76,Dune,,esGMX excluded; GMX only
Drift,DRIFT,DeFi,solana,governance_token,2024,token_weighted,airdrop,0.101134,0.9392,27.01,53.26,61.68,1000,994987358.08,Dune,,SPL token; governance via Realms
Ether.Fi,ETHFI,DeFi,ethereum,governance_token,2024,token_weighted,airdrop,0.066775,0.9459,19.02,48.29,59.88,1000,910421483.1,Dune,,
The Graph,GRT,L1_L2_Infra,ethereum,governance_token,2020,delegate,team_vc,0.035600,0.917,28.61,51.81,59.66,1000,10163352931.07,Dune,,; HHI revised after exclusion of protocol-controlled address
Optimism,OP,L1_L2_Infra,optimism,governance_token,2022,delegate,airdrop,0.041800,0.8904,31.82,54.01,60.76,1000,4066927389.76,Dune,,"Token is on Optimism L2, not Ethereum mainnet; HHI revised after exclusion of protocol-controlled address"
