owner,balance
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,9.715530454697486e+17
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,4.0068692605330886e+17
5PAhQiYdLBd6SVdjzBQDxUAEFyDdF5ExNPQfcscnPRj5,1.9189764218419565e+17
4gXs8oc2yEwDTPkDyo6V8ZixheTCZvu8JicrEuDat8tH,1.6102930225672582e+17
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,1.3560708058996208e+17
CafeQ2wWakoKs8wKLhk8KFHvsddSQUt5jynwpceA9Zad,1.170089511081546e+17
1hQP5Qdvi9L2ptueRAMWxBa8Ri65WciotvfgpG6XeZV,1.0392114604411336e+17
7RmkMNQerKaVioRnmqZsHM5Gm8F3gngQG8umLNoK97q4,8.208399689700517e+16
D5jx4wmxuPz18hqmgpCMLGVq3uSksCafCp5xjVe1nw8p,7.630611352320638e+16
5oxVntYzjPobCN7GETBPFe8YdpabCZc8U64KH2HzMhZt,7.538914863322776e+16
EjkWSbhSpNY4WoiveR7oUbkhZ5qvRhzTkrinuoqZq7Tw,7.129164007172692e+16
A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,6.9334752695501976e+16
7NVJCiXRvTjPbSqZNUB7vxTaY4VvyX8gSbomfK4y7giC,6.9085457252606456e+16
HdTeDCaT2bTHWbi7PMEcKeT9omN9Hub5PXVVmpEzwsKp,6.565351369357127e+16
uQQQfZr2EuzmmMurh6eYzVLdG5QGj6SSEajeLPbuBDp,5.366064107371162e+16
4M2V4seAEs7f26EoGNTDDrTRy8PriJ7ySJxaTWUoPVGY,4.9956808765888824e+16
Lg7QKU1uYSmTFiZZYs1otaBZuZkLbRYcPTM8dHL2s35,4.678085341221491e+16
Fr7W9Tw6V8qs4VS3FmeeDteDHZdwDfxAvsCqTgsghzKn,4.525892190298429e+16
AdgVCy28yZHTXC5yTzBDSTS52v5o6e6u4ejd33cnmkPt,4.441144279777082e+16
9Kev4ohRzj4eX7koUmpVrUexAr2GZpm12T86FBpJfY5c,3.866259436540126e+16
4estGucBxe2oKjWLVGwJSKbGpzdB4f5rctsSuFPbsgNf,3.7722747948630936e+16
9zfBYMTzzwGMYA3wCzttzAzSSkx5PgDTGTr8ZNimDGvM,3.530678080444264e+16
AzkhPxF56RCQAmVwgAEgdHkPEAAVDoY74r52rfFTcBEb,3.519270477689376e+16
HKoYp6hMHR61C8MyPXQNKFX6qL755mQVAHLRP3P8zJPM,3.2604163349490324e+16
