owner,balance
4viadAyxnRpHyW2g2NEzjLwGGgLTQK2QBmniJJqXWpXN,4379391320687.0
7SwCJg3Ti1F8fsYDvppWo3EfcgCtSerFCRfbLiV3BEuv,1115778022257.0
7qRUKe5B663FVyMij1LAtpH51JvyzWwavTRqwMAD2G24,923740976647.0
3fKDKt85rxfwT3A1BHjcxZ27yKb1vYutxoZek7H2rEVE,600000000000.0
4j19AEcDwhtAZrnoDc4epNPmEL1jPpVUMeg7RmQ72Qkb,571132870602.0
2Vqx84hJ2bZozNmwXSUYUnc8YLm3keLvTEwSEdL5CmV1,524428825385.0
DxDZQaDPiw3ofVsqmrjTSbQuh9gXiPNqkBg5B1seFWnF,303560601866.0
CSBbKo8RkPrP4qdsYusRxRL8tidCB3kKDHjZJUNvMMLp,290698000000.0
qodhTms2ojNCZTjxbE4DNypzzanTHD5tMLGmSkgqRZb,281499722001.0
GyL9JZ4PFFGd1LiX7tCWvjTAothh4XMPenbyu2ouZqbv,265372620060.0
G6zmzdRXYWqqvnLfPqhxd13opH3q3P232tPs9DwDTdff,265295727200.0
5F5UV54MciRxAJaABovLoyyHGJ2hzSDTvcGzJY1vvYaY,263732979800.0
Cdyfw4BWLDKoF2won7keMLNjRrUzvvp2yhPyLTVa9vSy,246825678214.0
CnNsKdyMnoEXuNuX2NSPNipd1GNz6h6n3TYedXJMwaQy,240100000000.0
7HiEQvrZiwCurNKY9hEx7cZ8mwiZbQca3L1owyTz4EzP,236369000000.0
J4oQvoLxQdfJ1gVuJCjFcBKZJAwtTWuj31KfRZAaYADK,215285810000.0
DArNXuvutCKFteektwAcQdTi4Pi46D9tJ1jQ4iLcLhVE,212000000000.0
BDzUWgdrvRYMTbmp1R3Dyzfhzy93UJy2TYJfYL5BMSX1,209708488390.0
8ddc12hR2ePg4UkkWcecd9ShcNJyHrkBpLDjd8Yjn4GG,201738679109.0
Ai5QTW4sjJaCJEFC2QR1mvtnpKFj4rJgatrAfZT3dNYF,200720059106.0
34MtkqKBLrwAbomNY9YTyxoCQCZZs69u3exzMuBH771Z,200683582000.0
3Uybtbz97QyMLxE6nXkGF5R2EndvaDD9xKyNHB8WRKUG,200001000000.0
BSMSY2iDPuNat2AgU53c4QewmEFyTKaNEo9G1afA5s1z,197275272000.0
E5PZxUbQU5R7AFi4h2AHLPY74qCFPdM1RMYydkKF5wST,194771308412.0
8FcKfGN7BdXxcGRbt6pTZ7sUZbAhr3HpMyxVSF1spKbF,193204992826.0
GMUb3TxU5f5ccyd3Tq8fwHqHbbqUDUQSLsYE3EG6YTn6,191769832660.0
5drcQm7cWYs16Kg1fbsvSEHyf5gn9f19Y2aeit1dLUXC,185845250492.0
FJ38npwU3dPp4VWERc4o4PpYfnVEAvB2sqcmsAPushVP,185258201800.0
7hYZ8PU8TCCLFx4YuQdVk8m1Gz2RMChZ4MJnfcwUhjaY,184981238313.0
EKeewR1PxwQfpsUg9b21zbiNDLEHZ1V1A4X6hKEohRtR,183630324310.0
5ndudy2Q54wtpTyuUnfDMei9D5QjLm4XKutDAuEuJaqd,174285820000.0
J3X9s1G2aCRBi5e9mBuK9AxgBQemMSmX7Twp6b5UkRx4,173956661081.0
3kUsVauHL6dt7xCX3A7mRLuc7jJZ4sdTk3WvcJvqf1Pz,169857639630.0
34yLhTvfby7JBL2QQS5g5uTVRtg4QKF4SQ3qYEJsLPT8,162382194000.0
HEUdcnYsFQs62NUFoY45s7kFe1GDCkvYzUXx1VZ8EV8c,161914499202.0
EKp14eWH1Rn5DawVonozk7sBQwnmJFL8zpfU9L3T8662,151850000000.0
569f61atvgmvXDcyprWXU1WUH7NzptipUm3Tca8bED7d,141428528910.0
AC6VQ9yTV1iHEKZzCxhAtn4bCVg4khciVCoH66dieB1h,135483018500.0
82uFKkMmuhVLLzRStg3tBB5wapMkAU9cyTJ6gQyAS9ZE,126893633392.0
F2CTK8yYdJgyiwmcM3ELR6fFyAPnFbYDymmM1rZwmxmB,125265257525.0
BjpRyJUvCeutYQJX57mLsqYPu5SvNSrpkgRqQXjfEu9Q,123736454533.0
2ZkxBi8HZWQm34G4NUp9MnSiS1G2oGbYLDd6C2FtCkZd,121495357200.0
ExVmtvLWtqLprqNTHYF1zvqLo1rKbP2obrvLtwrWtJNE,115918000000.0
MBm11dLAuiZbuHAyZL4NgKDDtiuaEkjyYjzRitKka7H,115534752645.0
Ay1nBbo3TfgsNGZyBffWhxFGDv8WPVKMYccx1p4rLSw4,115295820000.0
Bq9tSAixvaDNaQv2FfEsp1iYU2JGrpk2EuHftbjRChmQ,115000602605.0
CHh8NCn5iqZZCbSQ7w8UDtqZCuRkCD3hYMSjv3422ejZ,101485100000.0
65U66fcYuNfqN12vzateJhZ4bgDuxFWN9gMwraeQKByg,96600000000.0
HWpXKqZL5CqQ36oqE8i7FX57EgszGwPWZiaP6nZxvLi5,96106250000.0
EuQogk9BoH3SXW17KeX2e4Kkjsuztmypzg1nQdYMPeUa,95658588778.0
FPJgodGH7EprTQtHSTBEeMWYFqoqXkhyoHV3gAbuFfMG,95298000000.0
FVhpzr7ow2Y36pAdJy57xbrYwRdRenRPJpTYWPy6aLKb,93863314292.0
6EvmogfGkVTMKmt3gofs711HtkRvywcpqDsaA2QgWPZu,93270750000.0
AADRD6yCF4ccZVgxryuhvpMQsu3vdTSsHv1eKuCvUpoS,87980000000.0
4D61gystQqfyw6GhUyHxPhwh3MMbXz2yATHCi8sWFtmh,86790299762.0
HqxtYuGQq4oVR1CrpQ9i8SeBCaD1Xz7axXMd1DsK2Kap,84754163872.0
