token,chain,address,balance,share,post_exclusion_rank,tier1_label,tier2_label,tier3_label,final_classification,classification_source,confidence,vesting_status,notes
AAVE,ethereum,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,810555.5223061945,0.0584484547226541,1,,Aave v3 AAVE,,contract,tier2_blockscout,high,,impl: ATokenWithDelegationInstance
AAVE,ethereum,0x494aa25fa055d370424ed9db3839e76ee3e9e945,790365.8431237276,0.056992594492125,2,,SafeProxy,,insider,tier2_blockscout,high,,impl: Safe
AAVE,ethereum,0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,399999.99999999994,0.0288436525884649,3,,,,,,,,
AAVE,ethereum,0x7915f9373ae32d1fcaf0cdf17a532a3d8046d759,338005.24843139003,0.024373264897082,4,,,,,,,,
AAVE,ethereum,0x25f2226b597e8f9514b3f68f00f494cf4f286491,320181.649480382,0.0230880206570345,5,,InitializableAdminUpgradeabilityProxy,,contract,tier2_blockscout,high,,impl: AaveEcosystemReserveV2
AAVE,ethereum,0x317625234562b1526ea2fac4030ea499c5291de4,302498.23420879804,0.0218128849403567,6,,InitializableAdminUpgradeabilityProxy,,contract,tier2_blockscout,high,,impl: LendToAaveMigrator
AAVE,ethereum,0x5a801a9418d036fd453078c3adcb761fdc5ae695,222582.7297384201,0.0160502473219179,7,,,,,,,,
AAVE,ethereum,0x45292a0eafa4d1625c06902f359c5ee819afb026,216292.17884713,0.0155966411606718,8,,,,,,,,
AAVE,ethereum,0x73af3bcf944a6559933396c1577b257e2054d935,202061.06563090833,0.0145704479467823,9,,,,,,,,
AAVE,ethereum,0x22740deba78d5a0c24c58c740e3715ec29de1bfa,191565.37519091016,0.0138136128249638,10,,GnosisSafeProxy,,insider,tier2_blockscout,high,,impl: Safe
ANYONE,ethereum,0x0d9a1ca7bc756ae009672db626cde3c9bef583ef,11334481.643703844,0.1328781100628105,1,,ERC1967Proxy,,contract,tier2_blockscout,high,,impl: HodlerV5
ANYONE,ethereum,0x9642b23ed1e01df1092b92641051881a322f5d4e,9748275.049605116,0.1142824529327743,2,,,,,,,,
ANYONE,ethereum,0x6d6cc65e2060d0a280fcd47b6c22ec5636797fec,5037368.881240494,0.0590548450003683,3,,ERC1967Proxy,,contract,tier2_blockscout,high,,impl: Vault
ANYONE,ethereum,0xc593fe9193b745447e86b45ea0bf62565ee030cc,2766918.8740638345,0.0324375619671106,4,,UniswapV3Pool,,contract,tier2_blockscout,high,,
ANYONE,ethereum,0x1ef7a8dc436253b28167153aec7a1562bf73551c,2500000.0,0.029308378239031,5,,GnosisSafeProxy,,insider,tier2_blockscout,high,,impl: GnosisSafe
ANYONE,ethereum,0x50e6d8485b448de44cd9d9c979d5d8ed36bd82cb,2500000.0,0.029308378239031,6,,GnosisSafeProxy,,insider,tier2_blockscout,high,,impl: GnosisSafe
ANYONE,ethereum,0xd19eab591fc1840c237488a180ced4aad9faecf8,2500000.0,0.029308378239031,7,,GnosisSafeProxy,,insider,tier2_blockscout,high,,impl: GnosisSafe
ANYONE,ethereum,0xeed86b90448c371eab47b7f16e294297c27e4f51,1556481.2358586448,0.0182471763129998,8,,,,,,,,
ANYONE,ethereum,0xe8fdfb7b89519ed7c4999a912abf315e6aa52b6f,1300000.0,0.0152403566842961,9,,Vesting,,insider,tier2_blockscout,high,,
ANYONE,ethereum,0x446b86a33e2a438f569b15855189e3da28d027ba,1279647.23,0.0150017540117473,10,,ERC1967Proxy,,contract,tier2_blockscout,high,,impl: Vault
ARB,ethereum,0xf7f468b184a48f6ca37eeffe12733ee1c16b6e26,462556783.992131,0.0525280450665376,1,,,,,,,,
ARB,ethereum,0x07455344be8db742627ae4514c1071e43a154ddb,117025933.79466476,0.0132894895006542,2,,,,,,,,
ARB,ethereum,0x1190cea3e2c8727218768bfb990c3228aa06dfa9,112906773.01572338,0.012821716741675,3,,,,,,,,
ARB,ethereum,0xee5b5b923ffce93a870b3104b7ca09c3db80047a,88000006.0,0.0099932990737462,4,,,,,,,,
ARB,ethereum,0x76ec5a0d3632b2133d9f1980903305b62678fbd3,83604112.03734064,0.0094941004365855,5,,,,,,,,
ARB,ethereum,0x361ad597f6a0cf86f8ab14234ca17a5739a67458,71369074.18799356,0.0081046869812372,6,,,,,,,,
ARB,ethereum,0x43684d03d81d3a4c70da68febdd61029d426f042,68942427.5562045,0.0078291164825515,7,,,,,,,,
ARB,ethereum,0xf5acf47847963bd0ae2b8e080729bf508b2482df,68292134.99279955,0.0077552691231372,8,,,,,,,,
ARB,ethereum,0x3964128e13e05d4a672b4b45a1a96a2d56c27efb,67894913.8404879,0.0077101606060597,9,,,,,,,,
ARB,ethereum,0x73af3bcf944a6559933396c1577b257e2054d935,65603898.57702699,0.0074499924339089,10,,,,,,,,
AXL,ethereum,0xd2ff2d432a0078672cf4f9e2e97858a33cbdeebc,113133137.39239945,0.4334804098643276,1,,,,,,,,
AXL,ethereum,0x54d1774631980b22c85f13bfaf2f45291b22cbf9,38171390.12499894,0.1462573231668136,2,,,,,,,,
AXL,ethereum,0x377b8ce04761754e8ac153b47805a9cf6b190873,11314769.227231996,0.0433536178275413,3,,,,,,,,
AXL,ethereum,0xf42aac93ab142090db9fdc0bc86aab73cb36f173,8495278.775746763,0.032550471157267,4,,,,,,,,
AXL,ethereum,0xfcac185644e5c6cd73c309a60d2758ae56cf78b3,7736941.596711978,0.0296448299034301,5,,,,,,,,
AXL,ethereum,0xd1669ac6044269b59fa12c5822439f609ca54f41,5671286.544276,0.0217300754874669,6,,,,contract,tier2_blockscout,medium,,
AXL,ethereum,0x3de3a257f0e50af9bf48aea633e06085695d9c1b,3606881.7695649937,0.0138201116298949,7,,,,,,,,
