protocol,sector,revenue_usd,incentives_usd,subsidy_ratio_tt,hhi,in_regression
makerdao,DeFi,790400000,0,0.000,0.045,TRUE
maple,DeFi,17400000,0,0.000,0.024,TRUE
lido,DeFi,263800000,34200000,0.115,0.019,TRUE
gmx,DeFi,112400000,39200000,0.259,0.056,TRUE
aethir,DePIN,155800000,69100000,0.307,0.171,TRUE
aave,DeFi,254100000,149100000,0.370,0.020,TRUE
compound,DeFi,23000000,36500000,0.614,0.028,TRUE
balancer,DeFi,26500000,53400000,0.668,,FALSE
curve,DeFi,92700000,277700000,0.750,0.171,TRUE
etherfi,DeFi,71000000,379300000,0.842,0.067,TRUE
optimism,Infra,90900000,611300000,0.871,0.042,TRUE
polygon,Infra,36900000,308900000,0.893,0.035,TRUE
thegraph,Infra,2400000,130900000,0.982,0.036,TRUE
jupiter,DeFi,850000,0,0.000,0.117,TRUE
hyperliquid,DeFi,817400000,0,0.000,,FALSE
arbitrum,Infra,133400000,0,0.000,0.012,TRUE
