buyer,total_dimo_burned,txn_count,first_burn,last_burn,pct_of_total,hhi_contribution
0xced3c922200559128930180d3f0bffd4d9f4f123,50000000,2,2025-07-15,2025-09-24,15.8217,0.02503257
0x5f4c23e1f870a531a03ca15eb7fe2ae01b4445e7,36000000,1,2024-02-01,2024-02-01,11.3916,0.01297689
0xc97bf974d6d4bab6e0f7641b7b37ec5b70922ce5,30000100,2,2025-04-18,2026-03-04,9.493,0.00901179
0xc2dbc0596840641f963f8cf99317a5ca49412057,19755278.25,410,2025-02-17,2026-03-31,6.2512,0.0039078
0x776bc9fcf8e28b9d6d44f1d057f8cbf0e50e9669,15468918,1,2025-08-25,2025-08-25,4.8949,0.00239599
0x31d44557db40989b3abbcabeaa60e0e505cbf4e8,12749836.19,589,2024-01-01,2025-10-29,4.0345,0.0016277
0xbc2ac16a071eebdf17f85c4bcd537fbde8d97f94,9875779.21,2,2025-01-10,2025-01-15,3.125,0.00097658
0x1180c56495986a034994ac6365bdf5f1f880d324,9645555.65,1,2025-06-20,2025-06-20,3.0522,0.00093158
0x9be837d20fa4a20d383d2082e9196b2dcb8e209a,9593614.59,1,2025-01-10,2025-01-10,3.0357,0.00092157
0xe3b11cc1c2ff0837bab9ef81dc1397da5d357612,9068767.58,1,2025-01-10,2025-01-10,2.8697,0.0008235
0xc41c60a061e1e2f6a942a1001250a2e62b725ac4,7863225.31,1,2025-01-10,2025-01-10,2.4882,0.00061911
0xc266a289246d97313b1ef0ef21ad78f54af9bc7b,6756117.71,1,2025-06-24,2025-06-24,2.1379,0.00045705
0xb3790cb10c3a7e0e758ce8e1e71f50ca4e40ff6a,6756117.71,1,2025-06-24,2025-06-24,2.1379,0.00045705
0x40e0a45e59eaa7e7f563d5a733718de24aac4b95,5862744.59,1,2025-01-10,2025-01-10,1.8552,0.00034417
0x60140d1f958cdaf34a050fe492d654b6cbb13106,5780462.22,1,2025-01-10,2025-01-10,1.8291,0.00033457
0xa7da178ab2f5d2ff5e8de204bbe4226e767a64c8,5555555.56,1,2025-06-20,2025-06-20,1.758,0.00030904
0x12948955847fd30f5d9bea99e15afa468cfcf559,5461238.07,291,2025-03-14,2026-03-28,1.7281,0.00029864
0x1c1cf6fcc2f40f5e4de8a6a9f33d7d3bc1e10054,4801800.72,140,2024-02-28,2025-09-11,1.5195,0.00023087
0xb1eb7d3018cc3b671a2b75b56a9d53b2610d753e,4391143.74,104,2024-07-08,2024-12-13,1.3895,0.00019307
0x12e78117541c5b494191e81b7dc87fe2884d88fd,4000000,2,2024-04-05,2024-04-05,1.2657,0.00016021
0x632407a7d3dd6793b78bae3ae7cb9123c68abc96,3600055.86,3,2024-10-22,2024-10-27,1.1392,0.00012977
0xcb9598168bb6fb6ba1a1d5c0a73929ab010e7ae5,3150033.77,82,2024-01-31,2024-07-02,0.9968,0.00009936
0xe6ccc72fd5350dd7490630b5c590121128ac9286,2738647.3,1,2025-01-11,2025-01-11,0.8666,0.0000751
0x9a796d67bfa156d52fef0dde72dd427df4f8d145,2738647.3,1,2025-01-10,2025-01-10,0.8666,0.0000751
0xe578591d67936a680066ede63eae076cc44c62c7,2416521,128,2025-06-26,2026-03-31,0.7647,0.00005847
0x33ffe3f14fef34163241fca2b6819dc58785c330,2404815.8,80,2024-01-29,2024-07-02,0.761,0.00005791
0x841149adb777ec7a728004173e4cbeca95859390,2258708.01,77,2024-01-01,2024-01-30,0.7147,0.00005108
0xadc2d9b0c12921a9288afac4926ededdcca70a3b,1829308.85,33,2024-07-13,2025-02-08,0.5789,0.00003351
0xa3a8ad0c064d4f0014afcae6a291dd7544888888,1821651.84,4,2025-11-06,2025-11-07,0.5764,0.00003323
0x8fcc471a369316df960eb6dc122d595a8c1c068c,1770727.6,146,2025-06-03,2026-03-30,0.5603,0.0000314
0x8a5221f95c8af2d249bc1a7f075b31336ee5032f,1622193.19,16,2025-07-12,2025-11-06,0.5133,0.00002635
0x71c1cfb6e4500d9499c45001841da8317c1eea26,1554388.77,30,2024-07-16,2025-01-03,0.4919,0.00002419
0x8cbaa834bd41d4c830254f34aa508ef3814d0263,1273891.29,12,2025-06-04,2025-10-15,0.4031,0.00001625
0xd656cfe6496443ed934014df656ee9e08812c4a4,1198548.32,75,2024-08-18,2025-02-16,0.3793,0.00001438
0xd57b086df589055e8d11a5fe5460dc358f128f2c,1134522.41,4,2024-12-15,2025-03-04,0.359,0.00001289
0xe0c5e6ae2954a4813a66097adf33efa5470bcde2,1014463.86,39,2025-07-15,2025-11-03,0.321,0.0000103
0xb7dab94552302bcdff309e541d51ad203cbd7042,1007386.78,24,2024-03-19,2024-05-27,0.3188,0.00001016
0x30f0570552bdfabcfc46a8f0fc3d39af16c3650b,996596.97,1,2025-11-07,2025-11-07,0.3154,0.00000994
0x22d61d5149920f565b251dd34bb38d62d129161c,987571.29,2,2025-01-10,2025-01-15,0.3125,0.00000977
0x98fac4fdf30b8e8c579757a21bf2642626c9b1a9,947368,1,2025-01-14,2025-01-14,0.2998,0.00000899
0xa6819285ce8a829c7fd67756b2140515a68b6b41,906989.79,29,2025-01-14,2026-03-31,0.287,0.00000824
0xacf082c16a22de1fcce88315e77ae889d803ef88,885394.66,9,2025-03-05,2025-05-11,0.2802,0.00000785
0x858ba6699e621b98dbad9888eb27fa38593cb082,857283.62,12,2025-01-22,2025-07-13,0.2713,0.00000736
0xe2f49b00f437bfacd16a087c64ae1b028f7ecc2a,806962.06,1,2025-01-10,2025-01-10,0.2553,0.00000652
0x767f6dcea7e1d520a3b7ac251b30178a79eb2ab0,715537.83,9,2025-07-12,2025-09-06,0.2264,0.00000513
0x8fb3398be4ff742138c909f0bfc4bbe88af2b553,680385.39,19,2024-01-11,2024-02-17,0.2153,0.00000464
0xbf4e2f15b364c18adc1080736a89ee45b093cdb8,624414.68,1,2025-06-20,2025-06-20,0.1976,0.0000039
0x40b8cef0fa62aef0050bf7d8bb62cf065583b648,566838.4,24,2024-03-04,2024-03-27,0.1794,0.00000322
0x173fd26204852e7cbe6b0d727ad2fee41b603d87,558311.17,25,2024-01-02,2024-01-27,0.1767,0.00000312
0x5d49ed0144314e464107e3f0198fbd2100ca9b88,541125,47,2024-02-02,2024-05-18,0.1712,0.00000293
0x31c711658398866ad97fefad26ebe0679b5c5d58,521742.77,34,2024-01-11,2024-02-27,0.1651,0.00000273
0x16b6f205d9fad0b57d42c7c09ee29e37df4cb7f7,519804.06,3,2025-06-03,2025-08-22,0.1645,0.00000271
