month,geod_burned,burn_flow
2024-09-01,580000,polygon_buy_and_burn_to_dead_0xdEaD
2024-10-01,500000,polygon_buy_and_burn_to_dead_0xdEaD
2024-11-01,570000,polygon_buy_and_burn_to_dead_0xdEaD
2024-12-01,850000,polygon_buy_and_burn_to_dead_0xdEaD
2025-01-01,710000,polygon_buy_and_burn_to_dead_0xdEaD
2025-02-01,650000,polygon_buy_and_burn_to_dead_0xdEaD
2025-03-01,890000,polygon_buy_and_burn_to_dead_0xdEaD
2025-04-01,1060000,polygon_buy_and_burn_to_dead_0xdEaD
2025-05-01,1250000,polygon_buy_and_burn_to_dead_0xdEaD
2025-06-01,1440000,polygon_buy_and_burn_to_dead_0xdEaD
2025-07-01,1590000,polygon_buy_and_burn_to_dead_0xdEaD
2025-08-01,2170000,polygon_buy_and_burn_to_dead_0xdEaD
2025-09-01,2210000,polygon_buy_and_burn_to_dead_0xdEaD
2025-10-01,2763000,polygon_buy_and_burn_to_dead_0xdEaD
2025-11-01,1895000,polygon_buy_and_burn_to_dead_0xdEaD
2025-12-01,1415000,polygon_buy_and_burn_to_dead_0xdEaD
2026-01-01,1395000,polygon_buy_and_burn_to_dead_0xdEaD
2026-02-01,1305000,polygon_buy_and_burn_to_dead_0xdEaD
2026-03-01,1410000,polygon_buy_and_burn_to_dead_0xdEaD
2026-04-01,1350000,polygon_buy_and_burn_to_dead_0xdEaD
2026-05-01,1330000,polygon_buy_and_burn_to_dead_0xdEaD
