month,geod_net_issuance,methodology
2024-09,5431990,console_net_flow_dune_7542071
2024-10,6108600,console_net_flow_dune_7542071
2024-11,6383043,console_net_flow_dune_7542071
2024-12,7023933,console_net_flow_dune_7542071
2025-01,7732760,console_net_flow_dune_7542071
2025-02,7123939,console_net_flow_dune_7542071
2025-03,8197685,console_net_flow_dune_7542071
2025-04,10375036,console_net_flow_dune_7542071
2025-05,9816738,console_net_flow_dune_7542071
2025-06,9885323,console_net_flow_dune_7542071
2025-07,5588138,console_net_flow_dune_7542071
2025-08,6357258,console_net_flow_dune_7542071
2025-09,4854364,console_net_flow_dune_7542071
2025-10,5266613,console_net_flow_dune_7542071
2025-11,6220896,console_net_flow_dune_7542071
2025-12,6264383,console_net_flow_dune_7542071
2026-01,6465076,console_net_flow_dune_7542071
2026-02,5948674,console_net_flow_dune_7542071
