rank,burn_address,total_burned,burn_count,burn_share,cumulative_share,pct_of_total,hhi_contribution,first_burn,last_burn
1,Bi5JuJDjan77e6bDB7bENdi3RHEZUGru2AGRTT6ERo8g,3248310.8097232287,180,0.414534,0.414534,41.4534,0.171878,2023-06-15 22:07:22 UTC,2026-02-25 23:41:18 UTC
2,tasky4vvRkVDT1vqsf37wb2auJ9aMyD4MaokZz94ZQ8,2247738.8834673096,43601,0.286846,0.70138,28.6846,0.082281,2025-11-18 00:00:01 UTC,2026-02-28 00:16:23 UTC
3,TUKvijKsEnMusYKPgA8itNYAaCtkxSuSKp2weTppK7y,724031.0881505898,24571,0.092397,0.793777,9.2397,0.008537,2025-03-24 00:00:01 UTC,2026-02-28 16:00:11 UTC
4,cronjz7v2xsWdXr8BVz38ihi5DTWPihGZKuRr6vSPEU,651246.525305279,342195,0.083109,0.876886,8.3109,0.006907,2025-01-30 00:12:14 UTC,2026-02-28 00:18:40 UTC
5,Gu86ERAK3Ba6XuPxjZUnqRPFVeMisryzM1LgRxuTWGD1,149938.58696496012,32666,0.019134,0.896021,1.9134,0.000366,2025-03-08 00:00:24 UTC,2026-02-18 00:17:43 UTC
6,mobMc6Q18xT78cRiExgVbhadEKHiTUm6ZDnSZn2cU8h,80000.0,3,0.010209,0.90623,1.0209,0.000104,2025-09-27 17:19:46 UTC,2025-10-05 21:08:01 UTC
7,4VHs6TzfobKzR1Jb5qc1fCnRQwiMPRYcs9hctTSQBkHi,38192.44666041,10,0.004874,0.911104,0.4874,0.0000238,2023-06-19 06:36:36 UTC,2023-12-14 14:00:04 UTC
8,3G41vVrfs2FhCiUjUm1GKpsWMcrFBcUtM3Q63J673hpe,36364.96340919001,63,0.004641,0.915744,0.4641,0.0000215,2023-09-28 20:29:54 UTC,2025-10-16 20:47:08 UTC
9,8BdSx4QUCvJ7AVn8coankmgkPP4MSyhVGCMNkkyNBRrk,34709.69838639,33,0.004429,0.920174,0.4429,0.0000196,2023-06-26 23:03:26 UTC,2023-11-28 01:43:50 UTC
10,DsFNiXRR93bpgF6z1cjmfsHi36YwRp1NaM7j4DSeyCub,30143.888023979995,279,0.003847,0.924021,0.3847,0.0000148,2026-02-22 04:46:27 UTC,2026-02-28 00:18:12 UTC
11,Hz1rSV7d9KmWjD9A5HKDwm7RWZ2nrTL2wCLAP8mk13EW,27678.466820500005,146,0.003532,0.927553,0.3532,0.0000125,2023-05-13 19:30:12 UTC,2025-07-16 23:56:01 UTC
12,HGqNY3uHsLVdqo8mTKXfMjeq2QJLXggJcbvRK6nHZWNZ,26513.429745180012,119,0.003384,0.930937,0.3384,0.0000115,2023-05-02 13:48:53 UTC,2026-02-25 23:22:49 UTC
13,3A4qJN7Jo6Twh2AHpKcU7HtTeGbmNhFDDGv6eF8QgXux,22147.600789330005,129,0.002826,0.933763,0.2826,0.00000799,2023-05-04 22:28:16 UTC,2023-09-23 00:30:46 UTC
14,hprdnjkbziK8NqhThmAn5Gu4XqrBbctX8du4PfJdgvW,21783.05870523,439,0.00278,0.936543,0.278,0.00000773,2025-05-09 00:00:02 UTC,2025-11-18 22:55:19 UTC
15,HRvWMx3UA1x35V6nF9u1Z1sJ8nBxXgixwsSn2pQRYyjb,19741.478255169997,420,0.002519,0.939062,0.2519,0.00000635,2025-03-24 04:46:23 UTC,2026-02-26 06:32:28 UTC
16,5SY4veZq7QEnWtr9PpAj45LBRPg3wZ5HRKFj6y15P24M,16053.49936246,14,0.002049,0.941111,0.2049,0.0000042,2023-05-18 17:33:21 UTC,2024-11-04 03:20:25 UTC
17,ceo22R2F3n2d6JGhn7CCd3gBPD6KLuFsvBs6Y2R7nae,15506.389657670004,16486,0.001979,0.94309,0.1979,0.00000392,2025-08-25 00:00:01 UTC,2025-11-13 00:19:56 UTC
18,6e4mVD9w3spe9Geb8h9yMofssBQkGBAn7HcJB4rnKjYt,7596.6647914,2,0.000969,0.944059,0.0969,0.00000094,2023-07-04 15:24:33 UTC,2023-07-04 15:28:24 UTC
19,8XtMrefTFib1JoJpHM3m7HvZXVkbWoKVBiuehPt7DEJu,5934.661075929999,23,0.000757,0.944816,0.0757,0.00000057,2023-06-09 10:52:38 UTC,2024-09-06 00:48:01 UTC
20,6jibBcyV81M5v1wd3tU5uUeYtYsY5GthNCErGHx1LNSf,4998.773376370002,338,0.000638,0.945454,0.0638,0.00000041,2025-05-22 07:55:24 UTC,2025-07-14 14:49:46 UTC
