token,address,balance,rank,share
BAL,0xba12222222228d8ba445958a75a0704d566bf2c8,31113381.64421442,1,0.4543607891051784
BAL,0xc80afd311c9626528de66d86814770361fe92416,3575611.5509705395,2,0.052216043386420684
BAL,0x0efccbb9e2c09ea29551879bd9da32362b32fc89,2491603.046623227,3,0.03638584642923599
BAL,0x4e9a9483bdfc66b83ff248754ef2f7035c78aef7,1831909.6943956167,4,0.026752088340413326
BAL,0x2f28cac69f61841d6fe1a01d5bd80ac352ea6d2b,1658882.0768627813,5,0.02422529887926753
BAL,0xb129f73f1afd3a49c701241f374db17ae63b20eb,1599054.290000001,6,0.02335161048498641
BAL,0xff052381092420b7f24cc97fded9c0c17b2cbbb9,1347308.9732160117,7,0.019675275906653095
BAL,0xcdcebf1f28678eb4a1478403ba7f34c94f7ddbc5,980541.33570778,8,0.014319225731776975
BAL,0xe8d4d93d9728bd673b0197673a230f62255c7846,899248.2340938014,9,0.013132071014218231
BAL,0xa3a7b6f88361f48403514059f1f16c8e78d60eec,711015.8899583863,10,0.010383241028635862
BAL,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,597858.268342562,11,0.00873075635697396
BAL,0xa0b3da7383b969008ebbab1d2567c93a143f472a,552676.4600494797,12,0.008070948872721886
BAL,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,456421.2635087818,13,0.006665296875268949
BAL,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,438565.03091960284,14,0.006404535379702825
BAL,0x91b9e59614995e13a32e36440ac524825f7ae39e,409092.9459021415,15,0.005974143082323003
BAL,0xda6b2a5e0c56542984d84a710f90eefd94ca1991,405139.39642576163,16,0.005916407864711632
BAL,0xd519d5704b41511951c8cf9f65fee9ab9bef2611,397270.4143391972,17,0.005801494064881367
BAL,0xbb19053e031d9b2b364351b21a8ed3568b21399b,388074.6347820378,18,0.005667204526578957
BAL,0xe08a8b19e5722a201eaf20a6bc595ef655397bd5,378250.0363289525,19,0.005523732101857313
BAL,0x1c39babd4e0d7bff33bc27c6cc5a4f1d74c9f562,377798.5392017843,20,0.005517138714056375
