address,balance,rank,share,token
9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM,6996666051223.375976562500000000,1,0.087811,BONK
51yZyDSnec4xnUv7XLRVYcDyV4x3wUtzrDcRaYbmQU5j,4712047669409.043945312500000000,2,0.059138,BONK
AGkGWK1R669KDT4FCqgDgK7PgahGJPjD4J9xmVjuL9kn,4426104450305.966796875000000000,3,0.055550,BONK
7Lp4JBapgNhXoxpJtR2twufh7oaQyqngqJpy7HFJcn7h,3363550598085.361816406250000000,4,0.042214,BONK
9AdEE8AAm1XgJrPEs4zkTPozr3o4U5iGbgvPwkNdLDJ3,3197406526791.839843750000000000,5,0.040129,BONK
9RpzaFh4J8F6Qg1gjnhrhSp9eXdVDjsesZXe53qp7ubB,2688258761035.302246093750000000,6,0.033739,BONK
1tjoQzWg21ceMAhyLVs4s2Zc1Pm27mLTcJ9EfEFu7km,2683756830161.132812500000000000,7,0.033682,BONK
GJ8HjXMqQ79WRvxeAMRMng4ZTaohPcF1MZmBf9tVPpXA,2683756830161.132812500000000000,8,0.033682,BONK
EbLm4ZtRqDftrQnZaMMvnwcKjK5ef5vm1Hg3sAPv3tKi,2677126193536.917968750000000000,9,0.033599,BONK
EfEgUV2uQAzTooo6L4oYiEm15F6JBTnGiWMejqxPaqL3,2468728678820.589843750000000000,10,0.030984,BONK
4xLpwxgYuPwPvtQjE94RLS4WZ4aD8NJYYKr2AJk99Qdg,2322094304334.461914062500000000,11,0.029143,BONK
8Mm46CsqxiyAputDUp2cXHg41HE3BfynTeMBDwzrMZQH,1979871998416.478759765625000000,12,0.024848,BONK
CJjCPXBnSt6wRoyi7wzcMj5NbWvmPtzxE2JpWDMTRxj4,1690120280002.202880859375000000,13,0.021212,BONK
3B7XAQrLoEMDEGvX8569F9GRb9PcXXocJmj5wvhhei9z,1577270374759.118652343750000000,14,0.019795,BONK
5oNhn2ESFHgg52xiEKBt93cEEnbsoUoekcxXsWpLbHUJ,1000000000000.000000000000000000,15,0.012550,BONK
GBrURzmtWujJRTA3Bkvo7ZgWuZYLMMwPCwre7BejJXnK,986434345525.550048828125000000,16,0.012380,BONK
F18jTyiQivKmuy3zYsJRjMBPgHab4is16betYFEY67WF,890316734428.824829101562500000,17,0.011174,BONK
Am8MAEorCMAKxphqjAz3Ff59NEwPm4W2eS3DQLi2B4hg,873358468984.410522460937500000,18,0.010961,BONK
CK8i4zFXkDE2KWfyg7g9S748r6mwxajbcKcyGhQMR3qQ,862628928230.380493164062500000,19,0.010826,BONK
