owner,balance
9Wiiyvy8zzbZmJwxevi5CHZKs2VSZW7fvJJjrixviLA6,268724873000009.0
FH9iLV5Z8EUEDMnW6CzUPkpDhWJCsHqJ5N4W23njNsUo,140182536190718.0
Gu6nuuGLPora979uTwwVCyKhiMRnGfzKAPwqcrBfaiJq,54632891730000.0
7LCwgH3TtA7v9jvPoU3zHhRUCgd2XNCdAwQSjBPDzFQ6,39846001000000.0
EPpctwZpP7LE61Xkpbb9ixfxMFD8fFAxewe7dTk6dg1M,26565533413104.0
DemTRm4sQbLxMywg9XST9TMYRmXfwNH6CCfiU4xb47kR,22257547900000.0
JCNCMFXo5M5qwUPg2Utu1u6YWp3MbygxqBsBeXXJfrw,19353121160888.0
3VYKR2SWa8PmDBkwHWTrwznEsqSajhRyDDeNyY8rb2mK,15000000000000.0
HPjkU5hUR1diprB6Uihqxtr5hkRaJXFEetGjkVyEmoUR,14417083149955.0
JCNCMFXo5M5qwUPg2Utu1u6YWp3MbygxqBsBeXXJfrw,12705132775954.0
87HMEidQ35cidTRwgRaJ9DWMvopMfemP48PEmo2hAgjy,11640692000000.0
5LZkATrLwHYCQj2YuVbjjgsDZzBk6YfL4pFQRJmtboT2,10988617466978.0
8Mm46CsqxiyAputDUp2cXHg41HE3BfynTeMBDwzrMZQH,8824356181310.0
DCLB769Dy1cMQqr64x3JKRS7NwcuVyQ4dgckVinAyruC,8591076527568.0
9uyDy9VDBw4K7xoSkhmCAm8NAFCwu4pkF6JeHUCtVKcX,8333332999994.0
BRho393DQepXzTR4kFu912kLWLiPoaGsKYxrDkvu5sXk,8117296100000.0
6QR8ZZtc9S2gAtvayisX5EoMYGshFwzs727EFZ6Bc44q,7777777777768.0
DUdruLoZDvPpUDvxkGfZc9bnHuyHSygdMVFJVodFdvZ6,7314558700000.0
2Wp8FRPDN9ib6zNGbLJa9bNoHs5dEjmW9tKwCW8Si7TP,7223412006000.0
39eVYX4K6Wyg3V6LpVTC8MAEP1mjbjaqRkwWKP96fEPj,7158447100000.0
D6mN3sprePRtVgsZmikd2DoHjB5MRMNHV6vcNEVmTUg8,6793370468356.0
3xBDmQMgrhE9dEiwBnreBLeMhAkT4trTtXbepHXvLULB,6666666666657.0
7onfQ8CJxL27NMSWpMHwVwbc6yDcgbJmCNJTT7ddLvHg,6629253166666.0
FxCxekfYcBiSBCDJkVyBaBqtQrYj9WwebKFLg4NVGZ4c,6076815500000.0
GvQPxJjCPepseqCRcSSvRXCc6ZmmUrpqEAsris297yUn,5524377250000.0
42btCuJ9FC8juiftxzZuAGpjvGYnGcPGhSwzZ75zNg28,5385288215820.0
2iVhZmDbwUhSReUE2w8pDLv8w9DbVfYAtBJC2GzDL2ew,5046071051964.0
57DFqeJhRv5kgLAkbNzCcht3fab6MzyWPqUnyfYN1TPB,4971939583333.0
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,4881897954077.0
6ZCghUKc4VgXmXjthmSFRnYrsHREaysYxpLUpUnHh4th,4735180833326.0
4AK83Vf82d1Q1zNsho5RSqHvBgkU7UvrKJCSz2bjdV3m,4430000000100.0
988K8axBH3ZVkXfnc8T67nihdScqkJDbduVbykkLK2eA,4419501916666.0
12zgGDV69Wop8jcoVw6BzfFZTbTwbwvNu9RmFMFXFhtx,4340582500000.0
6v3snejEvRsTzeUZV2yKAcRgbxRz3iMJJgpeqJ1CxM6P,4208332999997.0
4vNk8iCT7z653uBFYSfJT97uXow1UqP7w5aH1Wsogo3Y,4191997043777.0
2tdWByK1xSQVEhbYydxAxt3mR2uorjvM1Rk5NzrPKyb3,3999999999997.0
BrqPB6y48Ke2SKsQC89zisJuDU8Vn9Zq6GeUZ6cMtxHu,3945983750000.0
5toW3J8oqSmxjSnJgUesTFDPgNEaGggfHEZq2dpp68bC,3606846000000.0
ABwJtEJvUfHBrbpDaCMfPo5FLwirw58ieitPgX9FjGAM,3552565333333.0
Bjrbcz731Wqfg7B1uNjxdJFCPpjawjDbQFuSZs6y8cWH,3551385416663.0
9UeFZuBiNNB8WWuZVBWfnoqioJ93QpCYQboeHDgqLQji,3256517833333.0
CjKWQUTDUNB1CFwVxeWBWGpZ8QsbvHqGvpTW6RHySRuv,3156787083326.0
2LnsuRj9MqSjik7fo19cSc4CYh7ZUCgWH2tXfJdnF6J7,3085387910000.0
