token,address,balance,rank,share
DRIFT,9Wiiyvy8zzbZmJwxevi5CHZKs2VSZW7fvJJjrixviLA6,268724873.000009,1,0.2700786807169945
DRIFT,FH9iLV5Z8EUEDMnW6CzUPkpDhWJCsHqJ5N4W23njNsUo,140182536.190718,2,0.14088876110083856
DRIFT,Gu6nuuGLPora979uTwwVCyKhiMRnGfzKAPwqcrBfaiJq,54632891.73,3,0.05490812650674247
DRIFT,7LCwgH3TtA7v9jvPoU3zHhRUCgd2XNCdAwQSjBPDzFQ6,39846001.0,4,0.04004674097260689
DRIFT,EPpctwZpP7LE61Xkpbb9ixfxMFD8fFAxewe7dTk6dg1M,26565533.413104,5,0.026699367783324338
DRIFT,DemTRm4sQbLxMywg9XST9TMYRmXfwNH6CCfiU4xb47kR,22257547.9,6,0.022369679091176313
DRIFT,JCNCMFXo5M5qwUPg2Utu1u6YWp3MbygxqBsBeXXJfrw,19353121.160888,7,0.01945062015486972
DRIFT,3VYKR2SWa8PmDBkwHWTrwznEsqSajhRyDDeNyY8rb2mK,15000000.0,8,0.015075568426279549
DRIFT,HPjkU5hUR1diprB6Uihqxtr5hkRaJXFEetGjkVyEmoUR,14417083.149955,9,0.014489714902300568
DRIFT,JCNCMFXo5M5qwUPg2Utu1u6YWp3MbygxqBsBeXXJfrw,12705132.775954,10,0.012769139901924105
DRIFT,87HMEidQ35cidTRwgRaJ9DWMvopMfemP48PEmo2hAgjy,11640692.0,11,0.01169933658501633
DRIFT,5LZkATrLwHYCQj2YuVbjjgsDZzBk6YfL4pFQRJmtboT2,10988617.466978,12,0.011043976968909167
DRIFT,8Mm46CsqxiyAputDUp2cXHg41HE3BfynTeMBDwzrMZQH,8824356.18131,13,0.008868812361946787
DRIFT,DCLB769Dy1cMQqr64x3JKRS7NwcuVyQ4dgckVinAyruC,8591076.527568,14,0.008634357469783699
DRIFT,9uyDy9VDBw4K7xoSkhmCAm8NAFCwu4pkF6JeHUCtVKcX,8333332.999994,15,0.008375315457358866
DRIFT,BRho393DQepXzTR4kFu912kLWLiPoaGsKYxrDkvu5sXk,8117296.1,16,0.008158190186128142
DRIFT,6QR8ZZtc9S2gAtvayisX5EoMYGshFwzs727EFZ6Bc44q,7777777.777768,17,0.007816961406209199
DRIFT,DUdruLoZDvPpUDvxkGfZc9bnHuyHSygdMVFJVodFdvZ6,7314558.7,18,0.007351408679325893
DRIFT,2Wp8FRPDN9ib6zNGbLJa9bNoHs5dEjmW9tKwCW8Si7TP,7223412.006,19,0.0072598027978441485
DRIFT,39eVYX4K6Wyg3V6LpVTC8MAEP1mjbjaqRkwWKP96fEPj,7158447.1,20,0.007194510605463493
DRIFT,D6mN3sprePRtVgsZmikd2DoHjB5MRMNHV6vcNEVmTUg8,6793370.468356,21,0.006827594756051176
DRIFT,3xBDmQMgrhE9dEiwBnreBLeMhAkT4trTtXbepHXvLULB,6666666.666657,22,0.006700252633892306
DRIFT,7onfQ8CJxL27NMSWpMHwVwbc6yDcgbJmCNJTT7ddLvHg,6629253.166666,23,0.006662650648613578
DRIFT,FxCxekfYcBiSBCDJkVyBaBqtQrYj9WwebKFLg4NVGZ4c,6076815.5,24,0.006107429858941745
DRIFT,GvQPxJjCPepseqCRcSSvRXCc6ZmmUrpqEAsris297yUn,5524377.25,25,0.0055522084829971365
DRIFT,42btCuJ9FC8juiftxzZuAGpjvGYnGcPGhSwzZ75zNg28,5385288.21582,26,0.005412418732855421
DRIFT,2iVhZmDbwUhSReUE2w8pDLv8w9DbVfYAtBJC2GzDL2ew,5046071.051964,27,0.005071492628516781
DRIFT,57DFqeJhRv5kgLAkbNzCcht3fab6MzyWPqUnyfYN1TPB,4971939.583333,28,0.004996987693324298
DRIFT,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,4881897.954077,29,0.0049064924437867965
DRIFT,6ZCghUKc4VgXmXjthmSFRnYrsHREaysYxpLUpUnHh4th,4735180.833326,30,0.004759036177574235
DRIFT,4AK83Vf82d1Q1zNsho5RSqHvBgkU7UvrKJCSz2bjdV3m,4430000.0001,31,0.004452317875328397
DRIFT,988K8axBH3ZVkXfnc8T67nihdScqkJDbduVbykkLK2eA,4419501.916666,32,0.004441766903651461
DRIFT,12zgGDV69Wop8jcoVw6BzfFZTbTwbwvNu9RmFMFXFhtx,4340582.5,33,0.004362449899244104
DRIFT,6v3snejEvRsTzeUZV2yKAcRgbxRz3iMJJgpeqJ1CxM6P,4208332.999997,34,0.004229534140135005
DRIFT,4vNk8iCT7z653uBFYSfJT97uXow1UqP7w5aH1Wsogo3Y,4191997.043777,35,0.00421311588508145
DRIFT,2tdWByK1xSQVEhbYydxAxt3mR2uorjvM1Rk5NzrPKyb3,3999999.999997,36,0.004020151580338198
DRIFT,BrqPB6y48Ke2SKsQC89zisJuDU8Vn9Zq6GeUZ6cMtxHu,3945983.75,37,0.003965863202140812
DRIFT,5toW3J8oqSmxjSnJgUesTFDPgNEaGggfHEZq2dpp68bC,3606846.0,38,0.0036250169117368457
DRIFT,ABwJtEJvUfHBrbpDaCMfPo5FLwirw58ieitPgX9FjGAM,3552565.333333,39,0.0035704627847660173
DRIFT,Bjrbcz731Wqfg7B1uNjxdJFCPpjawjDbQFuSZs6y8cWH,3551385.416663,40,0.003569276923799624
DRIFT,9UeFZuBiNNB8WWuZVBWfnoqioJ93QpCYQboeHDgqLQji,3256517.833333,41,0.0032729238285207508
DRIFT,CjKWQUTDUNB1CFwVxeWBWGpZ8QsbvHqGvpTW6RHySRuv,3156787.083326,42,0.003172690645458437
DRIFT,2LnsuRj9MqSjik7fo19cSc4CYh7ZUCgWH2tXfJdnF6J7,3085387.91,43,0.0031009317705880434
DRIFT,Abk8FJB6gSGkUK5Sgj86PMAg5T2vVkoMjptNUhn2KoGj,3045063.003547,44,0.003060403711487008
DRIFT,5k7DuVMvVjBeNXmHFF9XZSksKsvRoaBykJzjwy7ejXX,3023929.856819,45,0.0030391640981829704
DRIFT,Hx4fyVw6Xn27tV4Nx2pQwsHpD589HnQLybxHzDpkYaPa,2960470.916666,46,0.0029753854585472554
DRIFT,6Bg8o4MADMuXc4gmBsYJMsPhYyxs6AtfUAVhV5VUWc3A,2857142.666663,47,0.002871536651661392
DRIFT,5g7yNHyGLJ7fiQ9SN9mf47opDnMjc585kqXWt6d7aBWs,2720286.417721,48,0.002733990935295454
DRIFT,GDTm3k6fCAJExfe3K5jERxbRYj66FiU2J3z8Lo2ARoHA,2664424.0,49,0.002677847088574764
DRIFT,9sgT89mLsU35dUis7xpo6Y9eJhySfDX6LfDgQQB7drbc,2537546.666663,50,0.002550330560543709
DRIFT,8r8nJFmeFtuDxVV6NXWesWYiGo8NJS1UpauDojEXCdMv,2368376.5,51,0.002380308132329498
DRIFT,HMmp2yVFrvMfQuSpJBG9VNHbdkrnyXXLTZosvauGEaJ5,2329068.973706,52,0.002340802578841966
DRIFT,5YkAHPJhqK57nZKu3rxpRReKkBJ5ZMpxNuHjM887T7jU,2326084.166663,53,0.002337802734654233
DRIFT,DxDZQaDPiw3ofVsqmrjTSbQuh9gXiPNqkBg5B1seFWnF,2259492.511724,54,0.002270875597944094
DRIFT,6LY1JzAFVZsP2a2xKrtU6znQMQ5h4i7tocWdgrkZzkzF,2239207.02472,55,0.0022504879147848137
DRIFT,E2RvJg2myWpKcbkhBuF81gfhYr6KvmNcDbSmr5qnatYy,2228205.82126,56,0.00223943128841597
DRIFT,AeMXHa2Vi9BccSwEoEcP3StSRmeVMQSM894HfzkK8W5c,2114622.083326,57,0.002125275327526862
DRIFT,5pU7WKL47At6rHLM4CmFCSPRdT32J1LHSgPFhWGuXZqc,2083333.249992,58,0.0020938288643331834
DRIFT,2UL8hbNaoErAYNePqgQYPP9yDCDRZGWbzKW4krLqkhNL,2071754.253845,59,0.002082191534418402
DRIFT,8ZcnRjEBTGmARivchV4DEcNercQ3jMCPPQPpCfX1g9kd,1999999.999992,60,0.002010075790162566
