address,balance,rank,share,token
0xb805ef84dd9c7de96d8fe79c1b6f2ca52e890936,1457686881.763302087783813477,1,0.097431,ENA
0x1dc55d87c4143cc1829989d7ff8d580549ac0901,1231887037.759999990463256836,2,0.082339,ENA
0x2146aa5807d96e6b2922a149cee870f17347f1d0,1220012588.845785379409790039,3,0.081545,ENA
0x8be3460a480c80728a8c4d7a5d5303c85ba7b3b9,1088364297.400473117828369141,4,0.072746,ENA
0xa5274a5a4b4bb3b3646475886b41bf6c50edd666,914341820.830000042915344238,5,0.061114,ENA
0x7462f0d93260909870487f17a27c336349579557,885175557.356710672378540039,6,0.059165,ENA
0xb2af973905f05bc82bf97486b6ab883598d98298,839271334.898200035095214844,7,0.056096,ENA
0xf977814e90da44bfa03b6295a0616a897441acec,762126001.000000000000000000,8,0.050940,ENA
0x631ee55b8ecd7afb53ec30211a082691a4cbe3ae,685111161.027982831001281738,9,0.045792,ENA
0x0c36fda877d41671b14fb4e7655798965237c7d0,330892823.920700907707214355,10,0.022117,ENA
0x877b3d5c681c8890d19dbf450306caa3c3d4bba6,315999990.000150024890899658,11,0.021121,ENA
0x5a52e96bacdabb82fd05763e25335261b270efcb,310000000.000000000000000000,12,0.020720,ENA
0xa55457e0d0652ba47fe1f97873a62b4f9dcae4d1,187546886.000000000000000000,13,0.012536,ENA
0x54b8c65f0635fd91c8729dd3269c630d9aed54e5,181150542.477584123611450195,14,0.012108,ENA
0x70f58622158d7e609ae5839c4ad0d477f468863f,160000002.000000000000000000,15,0.010694,ENA
0xbef89f2cc3c1fa89d1929d10c2421caea3d793cc,149603925.305900424718856812,16,0.009999,ENA
0xf0465df588906d820f831970262bdcca0f2b3e2d,138944629.798412352800369263,17,0.009287,ENA
0x70167b76543c4a12b49b2f2b70cbf04d99345786,135515077.328887999057769775,18,0.009058,ENA
0x58538e6a46e07434d7e7375bc268d3cb839c0133,118146802.821701422333717346,19,0.007897,ENA
0xdedc15fa923d4e147875c63c0a97f85f178dfe96,113860712.145465001463890076,20,0.007610,ENA
0xa19ae0d3c44c143c70cce0387f96f9112a0aa64a,105351875.000000000000000000,21,0.007042,ENA
0xca1ad9c3f5fad67bd60c290b3c8a71987101de87,89837461.499696642160415649,22,0.006005,ENA
0x3c716d252b53891753de883894ff29a9ebee0f54,89427351.745981246232986450,23,0.005977,ENA
0x3cd9c4942467c859224325b41aeb3a4d2b84c541,83157626.099399998784065247,24,0.005558,ENA
0x473e09c674db36420017e7ce1121e210d5828d0e,81661300.000000000000000000,25,0.005458,ENA
0xd99cfba4118b410f217d4b04f6101e8df6a08590,77327559.540000006556510925,26,0.005169,ENA
0x230f4e9db3570f24afed77d7ee3c0c0c740f1324,63193000.000000000000000000,27,0.004224,ENA
0x363d012128912c76a2167c08989658e676937f4d,61428000.000000000000000000,28,0.004106,ENA
0xa9cf4aa55c675badb68519e3cfa8f4be942e6d11,60999992.000000000000000000,29,0.004077,ENA
0xfdd3dc62c8a97057d1749a2db949b9511c7ae235,60853450.047565169632434845,30,0.004067,ENA
0x8af2833f3aa3933a58c07e6244f9c35580f4611d,60631881.780000001192092896,31,0.004053,ENA
0xb0755f7333cb3be7fa76bc9fc5d86c725646c813,60606060.600000001490116119,32,0.004051,ENA
