token,address,balance,rank,share
FIL,f1m2swr32yrlouzs7ijui3jttwgc6lxa5n5sookhi,152951749.93779546,1,0.18006989146624203
FIL,f1mfxobliwdamau2x25t4mcegzhfln5rwng4aemqi,64627170.92998877,2,0.07608548225088116
FIL,f1neiyfto7ozo4xaamg35jig7xbbrdpl6s7u6uy4i,54511294.04004079,3,0.06417607386294433
FIL,f0121,17548730.01,4,0.020660096465429368
FIL,f1d7mq36vf6osdhcd32i6k3wyb223mdjlxnafnala,17369492.974836342,5,0.02044908094267937
FIL,f1nzasvvzledaucnnjn6i4wsvydqu37nnhypdlnfq,17291515.344328333,6,0.020357277982150427
FIL,f1qnjkzbkv422eqnqle4idexfvvcpkzme6dqba5ea,16867794.310676333,7,0.019858431773638854
FIL,f1l4vacwfq5euj22tr5ys7xd4ixqw3bfjknd4arcq,16571052.81165888,8,0.019509078402112644
FIL,f1fjpfpmn6ycjc7bnacoftsh3fxvfgldz5jbdpstq,15002999.999916714,9,0.01766301191553383
FIL,f02086492,14313821.93643329,10,0.01685164349939707
FIL,f1kclrt3t7y7c2ni467vcv4xddno46vlj2fvtsu7q,13900355.944310453,11,0.016364870537617808
FIL,f1jsqsgtt2z6dshtih6bmumevdlmwkec5n4yzvxwi,13095833.650085883,12,0.015417707512270874
FIL,f0118,11869129.2,13,0.013973509997185517
FIL,f1gzb6iaysockvjulnqukg56ot6vbb3oqn62qp4si,10000000.000002,14,0.011772986679754327
FIL,f1zazzrfb6ezrfkaoor2dy2xgi7j5dfgehch43yza,9462939.100883655,15,0.011140705598600737
FIL,f14annfuvhkb7gluzvnqstsbcrvvgpjyuoudajqoq,9332637.050096551,16,0.010987301167774643
FIL,f1uz3pwpg2i3t7ipc73gk5lzm24hdg3n3ug3psdaa,9016420.63118365,17,0.010615019998996597
FIL,f1h4ssetvnj2vpugsuzptl4swlgfunw7oa3eik54a,8574565.22849098,18,0.010094824221968873
FIL,f166i6yzjwmenfb3gmca6sihw523vrbvkyskkz2ba,7763903.063289922,19,0.009140432734699777
FIL,f1vnijw26owp5bu67f5rbs3h4voakoypn5m5klh2q,7497962.941437418,20,0.008827341783481662
FIL,f14oflhlzkov4zy5f6hew3l33kcifurff4nhcvu7q,7471541.499797668,21,0.008796235855433201
FIL,f1qhz3bkhujy4nmm7t4w5bepxz6wxfftesowtcuwi,6780442.610733999,22,0.007982606053899406
FIL,f16pngmnhu4tdzvnhw7xiqqkm7ndbx346wvfhe7lq,6000000.691867826,23,0.007063792822386252
FIL,f0117,5972920.0,24,0.007031910759922415
FIL,f0119,5972920.0,25,0.007031910759922415
FIL,f0120,5972920.0,26,0.007031910759922415
FIL,f1je23k4xnyjfwq254jblvq7d4og24sxwwdbz7bqa,4716698.553828348,27,0.0055529629246626536
FIL,f033558,4309710.6840814855,28,0.005073816647727609
FIL,f1inl5pymyb6j4nehhttl4vd5cnbvtxamyox7fugy,4158726.8400042504,29,0.0048960635692097045
FIL,f1lxiy73hwgaketpmclhvbtmlkiwtvdif4agotcdq,4156655.957190436,30,0.0048936255216314685
FIL,f1esalqupxvvdtt4r676nkirza5tcuxkdexnmupzy,4120428.7608543653,31,0.004850975291640536
FIL,f14g2qo3rwbo7z4vbjo5elqk3g3f442hosldjodpa,4000000.591733216,32,0.004709195368547516
FIL,f1jkvf3b6hirnonrmfzgjs4rmqsh2wrk75amd63oa,3881781.7877867906,33,0.004570016528131768
FIL,f033494,3607841.9999999995,34,0.004247507580864971
FIL,f1bvlffnmtrp2owr5xmgc4zmixaw5nhqcoziwhlii,3499999.999995808,35,0.004120545337908255
FIL,f1gawumvz3dqeabkg7e4t4v7rcldmyvxpua7ipsti,3236156.6228902717,36,0.0038099228814878292
FIL,f3wavkiasvr46vj6tc5kulnfqmrx4vjlmc3pg6orts7hf6gi4n4kpqq25agppxrpsdvwmv3gulivawh6udjata,3109820.4414207777,37,0.003661187463326721
FIL,f1toj7nevu2bqquhpfnbfwowboknhx3e6ondk5u5i,2856714.49484991,38,0.0033632061695722374
FIL,f1p67cxqyxdn2lqjnailvdt2ushhc3kpzmcgk3lli,2543586.8446310987,39,0.002994561404063427
FIL,f1iesbg2vfubsunwyjjcvaeh3wuxoi4neyatprhmq,2500422.2515857643,40,0.0029437437861674636
FIL,f1lewzgex6tk73j676tpvzxudbbbbajpefmhbbzbq,2477454.459930093,41,0.0029167038356449097
FIL,f03048904,2267936.535785867,42,0.002670038662632984
FIL,f3qyssekxmnn7pkdhlstbzhb34bjihjwrow2mwwe6a4vavais7mrmqzedlg3uywezk6k4g4wgsmqlhbi6hoeeq,2183291.105952851,43,0.0025703857108403867
FIL,f1pzyakdteb56wixdtuq432dqyyx6otobknlvnedy,2150491.9119063267,44,0.002531771263378753
FIL,f13xghuxfu2w5kkmqmaoskdmoipzj2xz6scrg5ura,2076007.920925259,45,0.0024440813600112654
FIL,f3s5y2bjh526lghgiqf5ciy33k2yf3am5p6fzraqj5evxtfq3e22nifyyp4co3my2krrtse2w4rdswvbbphr2a,2056044.4520525713,46,0.0024205783946992863
FIL,f1e3qllzo4h4qkf3j3fyj4jcz4luyn3kjejmx7g4y,1999999.9898993978,47,0.002354597324058969
FIL,f1upgglojytmfcmqvvmeuqlyzeofnujmnwnqherri,1947510.139489863,48,0.002292801093089606
FIL,f13n7wuyrdcrcygbmpnlsh4ualrbmrtpcj2l2sdqi,1942118.649315356,49,0.0022864536988887576
FIL,f1n5ootl2tsywpyh4ie7bgphfcpysfz4ain554kei,1919680.8473333984,50,0.0022600377045031077
FIL,f1vqapdlxzfsvau6mg45vsp5xub4savvcb5yyewnq,1902007.1436926369,51,0.0022392304767486506
FIL,f1mb4ulltyzpkosoml2zw54d3u233p5ki6tze5gai,1867073.3307902922,52,0.0021981029453514256
FIL,f02888606,1754500.589,53,0.0020655712063913988
FIL,f03621563,1747955.0,54,0.0020578650931805855
FIL,f1ndnzb7u4bhzyeul323rwgweyq2ddfpcka6da3ei,1729265.3181942212,55,0.002035861755685762
FIL,f1hslmejpyqdrsekcy5bcksx7arib43stgzpov4qa,1705008.970544068,56,0.0020073047899072933
FIL,f17atarg3miuruc43qq4bri2tj6bra5meolbcmyiy,1692327.199047348,57,0.001992374557216639
FIL,f14fompnqd5xl4xc4lxd36blsq2pyf5kmioa3t26q,1670713.265258862,58,0.0019669285017577505
FIL,f12ohooglegevp75pnhyow2haotsijldpagptoncy,1625847.3394221314,59,0.0019141079070326935
FIL,f1khdd2v7il7lxn4zjzzrqwceh466mq5k333ktu7q,1619718.5372376966,60,0.0019068924763846749
FIL,f1xo6ao3sq2obslomosvgufisspmxqfpwqbw47ija,1563431.6446688836,61,0.0018406259927389484
FIL,f1ukuvqsiuskkz4wrnj7x2ns3zi7bjny5p56kdbni,1554717.3999149515,62,0.0018303667239977343
FIL,f1irv6cklvrh4s72ooiir3ziqieydh7tsgtazj3yi,1513192.907551891,63,0.0017814799944503568
FIL,f124nc7soxqejtehk7fvyoxufy7ydyvur3c3ky2ai,1491103.5238208068,64,0.0017554741924073584
FIL,f1fnpbcnch4uzninhb5jqkl456cvlwofxwlhbbsia,1476773.0966768786,65,0.0017386029996192963
FIL,f3wgo64wgemym5pzpxnzpfvmhqboyj6l6xffmfvsi7hxhosjc36fqx4c5jmq6kkbqlab2dgu6youc3ti3ctwtq,1434540.9708558987,66,0.0016888831741444957
FIL,f16jljxpxhs3pan2sotpyftdhl6zjal4nhlkhenwy,1336194.4242999998,67,0.0015730999158842752
FIL,f1iqkuhryb47y2cfos2tbbibzrtiwu567exqb7sfi,1250007.2319996054,68,0.0014716318491924986
FIL,f1c5rgch6rmsalbwfj73m73vctoxgwue7dqxnuv4y,1212840.5171661323,69,0.001427875525326037
FIL,f1xkc4il6rf5ku3uhdjvajblrxir7e2v5wg27wj7y,1205158.4401295052,70,0.0014188314262635329
FIL,f3r43syy5orkaj24tubr633vjeg32ii5rgibk7yjxkt6kpa42jixetarjq4knpe5vtbae3dk4arvtwadssfhka,1191806.7037869163,71,0.0014031124448522468
FIL,f1bztkusy7ltb3gyttjdmvsvxkbpnwtk5owcwhmba,1189000.6207512815,72,0.0013998088470321662
FIL,f3rgsvwupbysklbwdx2444xximkapartwtue3aoyzws7z4cv23ku2nzcr32ioyrnjm7wulytyo36fgratyri5a,1142336.0139355925,73,0.0013448706675864694
FIL,f1kz2egrvnxlqk77zheikph7jbai6wpfnvxghsi5y,1111111.119001,74,0.001308109640372308
FIL,f1nv5saelywucehyllgqnyuboewuoaaccys7revxa,1040782.818375546,75,0.001225312225725002
FIL,f1arwm3kwlkrctxwxmx2dsubn7doth25eyxmab6qa,1032509.0233999616,76,0.0012155714979211465
