address,balance,rank,share,token
0xec83f750adfe0e52a8b0dba6eeb6be5ba0bee535,3852258.90848240,1,0.386858,GNO
0x0000000000000000000000000000000000000000,3147806.34574551,2,0.316114,GNO
0x88ad09518695c6c3712ac10a214be5109a655671,1398843.76622104,3,0.140477,GNO
0x849d52316331967b6ff1198e5e32a0eb168d039d,414931.57982813,4,0.041669,GNO
0x604e4557e9020841f4e8eb98148de3d3cdea350c,360411.00000000,5,0.036194,GNO
0x9d94ef33e7f8087117f85b3ff7b1d8f27e4053d5,154381.05710878,6,0.015504,GNO
0x445cc6c3d51eb0a63395a613a0960c7922bca0d6,70292.77678616,7,0.007059,GNO
0x4f8ad938eba0cd19155a835f617317a6e788c868,52157.19436170,8,0.005238,GNO
0x1d65d296b6ad7fdbf77d3c9cc44c9b2787f1a341,49075.99096511,9,0.004928,GNO
0x70e278941ed3c0d2c6d6105df184831992aca856,38188.00000000,10,0.003835,GNO
0xae5fb390e5c4fa1962e39e98dbfb0ed8055ed7a9,34304.18119648,11,0.003445,GNO
0x926a21917d067c52e132e318686ebcf11182c428,21800.99856160,12,0.002189,GNO
0xf977814e90da44bfa03b6295a0616a897441acec,20471.68000000,13,0.002056,GNO
0xc2a39291acf6ae4ed29c6fcc15f1d54141f8d833,13488.75530000,14,0.001355,GNO
0x98dd467fbc8b32f08387f8888b161d5cd8c00889,13473.36110000,15,0.001353,GNO
0x5db8e9605de5cd567293518fca840536a5ac3a91,12791.47286447,16,0.001285,GNO
0xd2c8dfa974a8f6a5d25a45aa3ebf35b58c059185,12003.47507313,17,0.001205,GNO
0xca5bbc1196aae807b097c0f7e696e2b3977d2abe,10885.14264180,18,0.001093,GNO
0x39d787fdf7384597c7208644dbb6fda1cca4ebdf,10841.38561000,19,0.001089,GNO
0xd2dd7b597fd2435b6db61ddf48544fd931e6869f,10790.14833292,20,0.001084,GNO
0xf5e0639f856698d93c9d9886011018c304d52764,9999.99000000,21,0.001004,GNO
0xd142c9cfe2f0bef4c14594358fb65aee1b726d2c,9717.97476050,22,0.000976,GNO
0x554604d5dbdca3ac382097f9a2a7e9af4bbef224,6954.73024880,23,0.000698,GNO
0x0c98db77782c4cb8b96479719e695b524afead59,6500.00000000,24,0.000653,GNO
0x7d6149ad9a573a6e2ca6ebf7d4897c1b766841b4,6103.41967393,25,0.000613,GNO
0x1772c67c482d697a552c3068cbc265eabb990306,6090.39129941,26,0.000612,GNO
0x7dafba1d69f6c01ae7567ffd7b046ca03b706f83,5977.39391104,27,0.000600,GNO
0xad30a962a03bc7134cc1545bea7318c8e472ff97,5323.76743788,28,0.000535,GNO
