token,address,balance,rank,share
GRASS,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,971553045.4697486,1,0.16014527953924523
GRASS,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,400686926.05330884,2,0.06604695449181837
GRASS,5PAhQiYdLBd6SVdjzBQDxUAEFyDdF5ExNPQfcscnPRj5,191897642.18419564,3,0.03163131616313477
GRASS,4gXs8oc2yEwDTPkDyo6V8ZixheTCZvu8JicrEuDat8tH,161029302.25672582,4,0.026543154534032012
GRASS,ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,135607080.58996207,5,0.022352700071132277
GRASS,CafeQ2wWakoKs8wKLhk8KFHvsddSQUt5jynwpceA9Zad,117008951.1081546,6,0.019287090160629586
GRASS,1hQP5Qdvi9L2ptueRAMWxBa8Ri65WciotvfgpG6XeZV,103921146.04411335,7,0.017129770794168605
GRASS,7RmkMNQerKaVioRnmqZsHM5Gm8F3gngQG8umLNoK97q4,82083996.89700517,8,0.013530259299854915
GRASS,D5jx4wmxuPz18hqmgpCMLGVq3uSksCafCp5xjVe1nw8p,76306113.52320638,9,0.012577865858903085
GRASS,5oxVntYzjPobCN7GETBPFe8YdpabCZc8U64KH2HzMhZt,75389148.63322777,10,0.012426718580514083
GRASS,EjkWSbhSpNY4WoiveR7oUbkhZ5qvRhzTkrinuoqZq7Tw,71291640.07172692,11,0.011751308568620463
GRASS,A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,69334752.69550198,12,0.011428746380839107
GRASS,7NVJCiXRvTjPbSqZNUB7vxTaY4VvyX8gSbomfK4y7giC,69085457.25260645,13,0.011387653937583925
GRASS,HdTeDCaT2bTHWbi7PMEcKeT9omN9Hub5PXVVmpEzwsKp,65653513.69357127,14,0.010821951876139753
GRASS,uQQQfZr2EuzmmMurh6eYzVLdG5QGj6SSEajeLPbuBDp,53660641.07371162,15,0.008845114947737796
GRASS,4M2V4seAEs7f26EoGNTDDrTRy8PriJ7ySJxaTWUoPVGY,49956808.765888825,16,0.008234596290965969
GRASS,Lg7QKU1uYSmTFiZZYs1otaBZuZkLbRYcPTM8dHL2s35,46780853.41221491,17,0.007711089869685229
GRASS,Fr7W9Tw6V8qs4VS3FmeeDteDHZdwDfxAvsCqTgsghzKn,45258921.90298429,18,0.007460223333759258
GRASS,AdgVCy28yZHTXC5yTzBDSTS52v5o6e6u4ejd33cnmkPt,44411442.79777081,19,0.00732052969701865
GRASS,9Kev4ohRzj4eX7koUmpVrUexAr2GZpm12T86FBpJfY5c,38662594.36540126,20,0.006372922210712603
GRASS,4estGucBxe2oKjWLVGwJSKbGpzdB4f5rctsSuFPbsgNf,37722747.94863094,21,0.006218003271556925
GRASS,9zfBYMTzzwGMYA3wCzttzAzSSkx5PgDTGTr8ZNimDGvM,35306780.80444264,22,0.005819768985258541
GRASS,AzkhPxF56RCQAmVwgAEgdHkPEAAVDoY74r52rfFTcBEb,35192704.77689376,23,0.005800965341540138
GRASS,HKoYp6hMHR61C8MyPXQNKFX6qL755mQVAHLRP3P8zJPM,32604163.349490322,24,0.005374284891693977
GRASS,GswmFR3YRCdtFA2dvRSGjMt2HEHRQA2UYHewZRHnpHf6,31782196.103565685,25,0.005238796484772192
GRASS,HN72hYcfusPhcLCGL5GLn9ZxvnYLePY4YuhVavda624U,30779866.409758188,26,0.005073578157524115
GRASS,G1BmcK4Lwwc1FHKPySmtXC2z5QCNjJUnHfNWT3oK7JBo,30032331.665908337,27,0.004950358781003864
GRASS,BY4StcU9Y2BpgH8quZzorg31EGE4L1rjomN8FNsCBEcx,28487361.169059467,28,0.004695694629363929
GRASS,5gZmokNy6ueSjg6ZkjVRnNSiBNbBSqTCV5EWzVwqW52V,28227666.299127884,29,0.00465288800368968
GRASS,AxGpbED93usMhqS9Go4Lv13fWjKypx6yzzZbVeAWrNkZ,28172550.317847226,30,0.004643802998737631
GRASS,r2N6HR4eTzUfEVJUciptiRusZx7oVgeeBcfCnPGspAL,27500000.0,31,0.004532943628620813
GRASS,8NBEbxLknGv5aRYefFrW2qFXoDZyi9fSHJNiJRvEcMBE,26929475.000000004,32,0.004438901531758309
GRASS,4zhmL2gVjhentTURdmrXfzXYBKPQyYq5qfS6bN7SWV4u,26508835.283627786,33,0.004369565672766515
GRASS,CymPX2Fj25u9nTpdG9qvy7m5UTukjWq3rto8h3wSuDux,26000000.0,34,0.004285692157968768
GRASS,AQHjzHYdzvgYmZSJtrwE1aGJrbnS42L7GzxN2rpqyYVo,25080040.606862076,35,0.004134051282706426
GRASS,BrNS6jDytLWYYoRfFdyr1Xotmbgzkunb6kdpNmjGYiWv,25071209.77509576,36,0.004132595658612224
GRASS,E7hKgdmqcs8xq89pTSwteWAqDXARnwjmjTEX8nLuqvYp,25000000.0,37,0.004120857844200739
GRASS,BeCgkqBMvenyH8H84oNJZd5Uy5d7wrC35wUmotJbQDG8,23501236.105068672,38,0.0038738101260794343
