address,balance,rank,share,token
AguTdjmW5SkhepT9qsKsj29SEqiVKsJchsap6Kma9i98,7204778.809576140000000000,1,0.244822,HNT
5LZkATrLwHYCQj2YuVbjjgsDZzBk6YfL4pFQRJmtboT2,3659338.893152940000000000,2,0.124346,HNT
4UiT93tyCivCHetditvH15wqWxYrHcoPWzQiKDQYF7Uo,2577327.774911990000000000,3,0.087579,HNT
2AdZQmGikAMWahuJRb27PGABQyF6iyQ8aUUYyDDwRRG6,1900151.646757630000000000,4,0.064568,HNT
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,1757558.996061800000000000,5,0.059723,HNT
6FEVkH17P9y8Q9aCkDdPcMDjvj7SVxrTETaYEm8f51Jy,1543138.725956510000000000,6,0.052437,HNT
22Wnk8PwyWZV7BfkZGJEKT9jGGdtvu7xY6EXeRh7zkBa,1505924.414435010000000000,7,0.051172,HNT
73zsmmqCXjvHHhNSib26Y8p3jYiH3UUuyKv71RJDnctW,1136178.594618870000000000,8,0.038608,HNT
53unSgGWqEWANcPYRF35B2Bgf8BkszUtcccKiXwGGLyr,1123948.818434430000000000,9,0.038192,HNT
EFE3j1pcSP1paUzA86zW7989ZjsFP2J7ginyUqo4ewqR,963096.273228000000000000,10,0.032727,HNT
7SmkxiXnGVrenvHKUDgosMUxSaN35GH3ziocaxA7hkd2,810088.611088870000000000,11,0.027527,HNT
8iQY3mJNW1Zq9d5BQXtH9HYPNJCvaHEek7Mtk1tTXmhc,602341.667793410000000000,12,0.020468,HNT
AjsyrYpgaH275DBSnvNWdGK33hVycSFuXN87FKnX6fVY,495645.928171400000000000,13,0.016842,HNT
5PAhQiYdLBd6SVdjzBQDxUAEFyDdF5ExNPQfcscnPRj5,397115.090904400000000000,14,0.013494,HNT
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,395945.182882320000000000,15,0.013454,HNT
4haBAvSMx6fXnNPw3ZAMopoHyppjnjyGZsydKj6M6xtH,281164.866836690000000000,16,0.009554,HNT
7pAcdV88LTcpfvGSRUnUzkSqKK3t5d7W3QzLUsY3FbVL,195913.901116600000000000,17,0.006657,HNT
BEjX5CjGtJrSa2gSJngduFVQb4DChT594gWV47yFvqVw,172621.921184270000000000,18,0.005866,HNT
8ccs6aWp9jpitLgLxNcQybGr9ZJuAUfKDu5UfkznB4DE,155197.795899180000000000,19,0.005274,HNT
9E4fv9BsJ2BwkNBXDeUgpJYtrYPheMQWYFcxGYxDFshX,148669.688293410000000000,20,0.005052,HNT
2UL8hbNaoErAYNePqgQYPP9yDCDRZGWbzKW4krLqkhNL,130480.290982780000000000,21,0.004434,HNT
8dSHTqrCat1gJ8o8bTqEWDCxmvmcFUNWT1WaLs2dPEPm,130197.882431740000000000,22,0.004424,HNT
MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,123927.821978550000000000,23,0.004211,HNT
BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,114670.426900010000000000,24,0.003897,HNT
5g7yNHyGLJ7fiQ9SN9mf47opDnMjc585kqXWt6d7aBWs,103601.749157690000000000,25,0.003520,HNT
EpMcKy62pZH8yBJoUWqArQcdFBogr6nrQPcX4qrKpcmx,87557.924835950000000000,26,0.002975,HNT
49mvMufixEbUMzZEUVAnbQ8hLLuEWy789XfKUNTz7wCv,81611.806018500000000000,27,0.002773,HNT
EsNPf1Beanrb96PmPqLD7V2RGhNrv4UV4nwJamF6ncr3,75193.506272420000000000,28,0.002555,HNT
GjumWQJZUcUwYdMkHDPDCRFhA7AQmb1kLapqLmDAYTVY,74080.543026160000000000,29,0.002517,HNT
ETM8mY9tMM48MsQM87rYZuCw8Um2WK6NsE4qLgdDGVN9,69255.825061650000000000,30,0.002353,HNT
FPXq2NmXuSA1G2dGd8znUjT5G14zvmjoGFFfo7GKUm7k,66840.327422200000000000,31,0.002271,HNT
A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,63561.257254440000000000,32,0.002160,HNT
Bvge1RMm2qfqsG4ijxv3ULNYzSosiaKuu8D2XPNpm2W6,61441.638074690000000000,33,0.002088,HNT
CSP4RmB6kBHkKGkyTnzt9zYYXDA8SbZ5Do5WfZcjqjE4,59627.385090960000000000,34,0.002026,HNT
7qZgaAZJy9FSfTbmecyDpqPhEWXYUtwZhTKvDHbQ8Fub,58291.815458100000000000,35,0.001981,HNT
H13wk1NsagnoFDs3G6PiaCZCnd5k2UwsFosWXE5HUuVv,55709.878299150000000000,36,0.001893,HNT
D89hHJT5Aqyx1trP6EnGY9jJUB3whgnq3aUvvCqedvzf,35891.387137880000000000,37,0.001220,HNT
8QCVZ7KL65pBhUxbvfwbyyg4ronxNAEXbDrGLYLrRNn5,33680.426037270000000000,38,0.001144,HNT
9tS7X6TAGAUkBKHBd6VomwgsEHNcLGjz6nGqEsfBAbFG,33460.534856900000000000,39,0.001137,HNT
5qrvgpvr55Eo7c5bBcwopdiQ6TpvceiRm42yjHTbtDvc,28940.789213770000000000,40,0.000983,HNT
GYFCnt5gaNgCer5QnU4mCjqaFVERrCXFzQxUbvLcY9xF,28830.331098050000000000,41,0.000980,HNT
8JwS5zosnLFT84S1NebSp1HS6aeaxviXYS7jBh9PQ8vp,28159.226565940000000000,42,0.000957,HNT
