token,chain,address,balance,share
HONEY,solana,EyBXvV7NfMSTaekeaNiq6hMoXSQQ6rDSXziUH5C6dkQ3,459515350.261199,0.07044945210962233
HONEY,solana,FZ9diFCJoPHaXKM7ik34YYAYHsEJ6oBvy9H74dVzqyjk,241665639.4352531,0.037050365961131884
HONEY,solana,A6zNJCrSEZprWMMmRgdAiNY1jDmJnW1QfFnXWs6dUU3y,225862595.22536412,0.03462756157468868
HONEY,solana,ERo2hRAc4L83gW2TrFNKxpKgXh5PaWZHC1tqW9RgKLvN,217988064.0,0.033420297420984825
HONEY,solana,8MgKUjhQ1e38owDu8BR6783Z73r1TQk1YtmB6UbCiwfS,198510802.6,0.030434189571821733
HONEY,solana,EAmeyPtAyFPLccyaEwoyAcYaLLjdhEeDoriDSSTjdT6i,152680458.2,0.023407824400037983
HONEY,solana,D99E2pr78DSVmBcjuDWETY8Nfm9X9ro3Grgc67mzfutA,144565038.56373802,0.022163629039231553
HONEY,solana,HyW7x3gFHWLFA67a2DZVGeCcLNzuNTSG3yUyq2bSsuvA,144357814.71146315,0.022131859030137164
HONEY,solana,Fe3XYFYaXEo2LEy4ff1fdvp5TT5pJN5nbusNoSwBcmor,129877731.15197878,0.019911881062725695
HONEY,solana,FsAA2JoVBLin4CbGk16eCjQM4Etixz9cbT1smJvfC6NQ,126115569.91651304,0.019335094677600664
HONEY,solana,3A6s38hSeXDrapWiAR7pRxyaJSiCbGLeKmEZSA9Tix4F,125902272.4670385,0.019302393510069873
HONEY,solana,5YMPkRAQN6S6sVw3hLwPGqg8w9ZDiVDwFdYNFK2QYJzp,122188491.43783146,0.018733024415840425
HONEY,solana,H3irBLcGgpcBaFnGfHHoJxscu2XTwWFEFW8XtsvLNoUd,118977879.24834636,0.018240797399795953
HONEY,solana,9QVqXWk5vRLr7Cg9KwcNXKroBkwQSHJP7r2FswCuRTMA,118111323.348,0.018107943538946562
HONEY,solana,Bs5QysM5PeazczEAU7UUbxYPbmLnP2KTTBM7KZuhsgvk,116626403.39326522,0.01788028673231704
HONEY,solana,12WjqEN68bGFjs1pXVkr2vxoJaBkEdn5VceMb1zn7VeU,113214993.3,0.01735727488547632
HONEY,solana,5DesxJLv9ivBPEs8LwSdJjCDSyaD2hkmow8zyXhhN1en,112201886.1,0.017201952876912854
HONEY,solana,4cJE7tpenKc1ZLpio9NpsXApHh3zboNQomttr2dxeaQQ,108892812.89075565,0.016694630554711036
HONEY,solana,2MBgUeYxKfLTLvfqEY3iDBwaeKZ9RL1vXrnRQh5czqNL,108373535.11,0.016615018774329506
HONEY,solana,H8sMJSCQxfKiFTCfDR3DUMLPwcRbM61LGFJ8N4dK3WjS,108172588.39690949,0.016584211129204246
HONEY,solana,BqbRQHfzqBfLpibNQZdJQUyoyyTXR9kavdqwB81Lp4hk,107624680.94152938,0.016500210061522035
HONEY,solana,EdrEgmDirtVJAMhWx7Swxckd4qEz8ZX5cHxWZsg4Ziih,102452722.4,0.015707284111654823
HONEY,solana,EbyAMnUixCKNgSdDNiPn3fV64mFvDaG1TFHXURDNy4G3,95436740.32690015,0.014631646284148384
HONEY,solana,J5uj2yh5tQr9p85Q9GV5U67mQdHLVRVLpQ6YCa7MCf3z,95284537.96753067,0.014608311758280472
HONEY,solana,6LY1JzAFVZsP2a2xKrtU6znQMQ5h4i7tocWdgrkZzkzF,88926538.02379929,0.01363355082310327
HONEY,solana,5hRKcSx2GvTd7a8SxdTHSAYgVFwXf5NGu7vRvBL7BhRY,88474009.83142193,0.013564172589712327
HONEY,solana,UUUdJt3AmCQfH6uKDe3dBK1xsw95jN9DJKApPth4LGL,83660788.0009908,0.012826245465747479
HONEY,solana,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,83557828.94421999,0.01281046055424212
HONEY,solana,E2RvJg2myWpKcbkhBuF81gfhYr6KvmNcDbSmr5qnatYy,78505152.637,0.012035822063213292
HONEY,solana,9C5Udr2brQoK9M454TXXCjqWLPHewKtiYEy5sjPhXAAb,75156113.0,0.011522372387623683
HONEY,solana,227Azsw1TWxPGymh2qh7RD9KMZPkB82BTk4THWn1HyLj,73887629.8,0.011327898043296635
HONEY,solana,J2mzVHALdJcUPLn4TbbRrU7Vvip6q9LGqoTh4vXPZte9,73053939.7,0.011200082920818505
HONEY,solana,71Q41a1CzdjpL83bL6SsXdFzNnyaiTK1S3nU2AqrjJNC,69862334.27939674,0.010710769880233914
HONEY,solana,GunkzfKJ33fvLR7DmfN3Dm6zw3rqxMet6K1V47CFLjYt,62607654.263646655,0.00959853667181181
HONEY,solana,2mgK84mvx45MSvBMS18K93kH3ajWznLKYzYAGUGm8Wy8,57947337.56674704,0.008884051817786195
HONEY,solana,952CPMi457PGjKimCrxUBUzKVGr21ik2HXgedHsSxNry,56583769.724239744,0.008674999808175777
HONEY,solana,2EuQhMgvNmhtcvwaWkur7grKs8DqojwTy9e84PqgEtcd,52004156.314159,0.007972887777683919
HONEY,solana,29grAj6bncJRG6Dps2GX9ekr8Fy2LU5MytPeNio87TGx,48221380.53487823,0.007392940925087159
HONEY,solana,CEwC3PwP6aVXwFanN9bCpzHspp5CM9gYLHCNSVtqeCJP,47119432.15,0.007223998451405644
HONEY,solana,v5GbThyirXdnCmCBx6sJoJPEHWGxRSrcVMcoPhSvGeY,46061335.5,0.007061778997302196
HONEY,solana,5x9wXqLWEGirCZDfhYA5x1CSGYFqxG4GrpzuJG2TpVSk,45384321.89808319,0.006957984342131938
HONEY,solana,DRpa39yLaidzYx8x2UPZappkf6L17snCysDaJmmKMUuT,45000000.0,0.006899062986973073
HONEY,solana,7KvaDLLDysjynnNwm7dum966o5mzhKQuh39mevCTfBsP,42638124.22,0.006536957880892491
HONEY,solana,6spEv1fPkpr5xhEa73KfFcMpDveHBZV5yBrEgitPAtJU,39084616.88219,0.0059921607487097754
HONEY,solana,ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,38631610.72730492,0.005922709237686695
HONEY,solana,Hpi8Y58dhg6eN3bkucAva8VK4aKr3kBDRsTPQLu5GkXs,38000000.1,0.0058258754265529565
HONEY,solana,CzcjceA4TvMguDjE7ZyZ4HWV9qxwv2ndHVHZSSeythfp,36164644.53018442,0.0055444924558940775
HONEY,solana,H24XwECMbTcKEHrZjikb8BtHgtdFsyv97CvDgsKxwWNv,35027005.22,0.005370078116840324
HONEY,solana,Gq26zGZZJvsHAFeZGwik87DXUhT3pmB7myNjxfGzHBKo,31412954.1,0.004815998865395423
HONEY,solana,4NyK1AdJBNbgaJ9EsKz3J4rfeHsuYdjkTPg3JaNdLeFw,31045323.45563978,0.004759636488253586
HONEY,solana,5KSj1NryTcE6w5FVgsGnnPzRnoVspaooRgHKpTGgJi4U,30604732.939848416,0.004692088450033417
HONEY,solana,758Zs9JTp8SvzFd7gw6R1xkmo4V2ob2zB9zvB6at8NH,30138122.1,0.00462055117059967
HONEY,solana,348kjt1W8zQPY78Zpin8SH4HDmmcZPNWwg6RfN9GHRBi,30000000.0,0.004599375324648715
HONEY,solana,9Uy9WaBLcdxdA9htWheyWXXkCcLxW4F4DvnQZMvMAjUu,26197140.1,0.0040163493250768454
HONEY,solana,6Mz4JpG1EsNbrKy9gy9yB99dk9WNc3Vg6pSfwJNPF43Z,25118604.76381596,0.0038509963646766263
HONEY,solana,2MLtG9nXifS2Z3d52gCZbmBfgfJE3WfKGstc4avpwB6Z,24999999.433366667,0.0038328126836686166
HONEY,solana,3jFtTr14akZrXSucWbXgPpN4qXSwACg9HY9TiwgDJG8g,23862922.674250185,0.0036584845907315544
HONEY,solana,yizawVDPNKmm7rFSkK8arTxuvcAgPbSoDr88CKcy8Q4,23844575.15191604,0.00365567168601515
HONEY,solana,2HE1FWcfJN6ffnNVJFr4fWRkbFT8DfUJbYhQE992uuhM,23622140.2446466,0.003621569631887298
HONEY,solana,9z4TDU4cZxRvquMux9BHdWH1jLfh3KEMasjKWry7ehE5,23351337.11,0.0035800521233762613
HONEY,solana,A7qhLTpsY2bFqsTEWEupv2cnX94ZdyyePkf4VZ9SX1iJ,23213306.88703814,0.00355889036332471
HONEY,solana,EFE3j1pcSP1paUzA86zW7989ZjsFP2J7ginyUqo4ewqR,22760783.6492,0.0034895128895266136
HONEY,solana,6swCAceYZJtXwgDVS3oqmfg597oJa5Ba5VdSJH1BoHag,22235773.439771783,0.0034090222561121873
HONEY,solana,FYPkrGtDG1BjmiUfBRuF7KunybBwXkeXo27qTrGB1x4r,21840591.21595314,0.0033484358771464786
HONEY,solana,GJRs4FwHtemZ5ZE9x3FNvJ8TMwitKTh21yxdRPqn7npE,20962917.347506396,0.0032138774926923803
HONEY,solana,82mkdSprC1EQovQX5yWzmZfx2TscwjvA1nvLfZNJexqE,20000000.0,0.0030662502164324765
HONEY,solana,7Wb2AM34JCZmuihJkP2cxhNddzPnwoA3awJ6CqTfDUR4,18999910.02,0.002912923910551129
HONEY,solana,GXdPJUt3tkkJsHXiGWtaxNcppQmxH31wLNPSqqh2z1gx,18325693.94575093,0.0028095581513717057
HONEY,solana,4SgRJWCZeRKCB3frura88Uvu7KHrgQ38V35J3A4pZbXY,18014889.06350613,0.0027619078744991364
HONEY,solana,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,16103708.739771754,0.002468900020434535
HONEY,solana,7SAwqVKeyEDXCAtC8uaEBUwkF9yzhByyeZH7GpYx8iBo,16066834.72772843,0.0024632467730641063
HONEY,solana,FpwQQhQQoEaVu3WU2qZMfF1hx48YyfwsLoRgXG83E99Q,15609038.33968052,0.0023930608593674112
HONEY,solana,5g7yNHyGLJ7fiQ9SN9mf47opDnMjc585kqXWt6d7aBWs,15550786.840732519,0.0023841301758045696
HONEY,solana,DPqsobysNf5iA9w7zrQM8HLzCKZEDMkZsWbiidsAt1xo,15474372.536192648,0.002372414906912874
HONEY,solana,AGiAVqZiQrz32m1zKC5T4UfQKcDoGNG34sqSHSVNgwtv,15003507.0487,0.002300225336766128
HONEY,solana,SpFjcKKT4F4cRYD3hCCNrSoeuuQ4jgZLRMJTJsRJL8r,14980962.11,0.0022967689156077114
HONEY,solana,8BHY4DvSLwnK7S37kiTrEbt2iDR8XMedeV5Rm6WfAur,13553881.100000001,0.002077979542818753
HONEY,solana,D89hHJT5Aqyx1trP6EnGY9jJUB3whgnq3aUvvCqedvzf,13539508.163135532,0.0020757759917801803
HONEY,solana,DVEuswrmMweNacd9ceb1NbX97v5esJxdPyyPAeYJM3CV,13173168.927203136,0.0020196116037069097
