owner,balance
5eosrve6LktMZgVNszYzebgmmC7BjLK8NoWyRQtcmGTF,209422037506511648.0
5SybwTvGno6SBApbGinXyLqhnPzs47aaBG4PShyPT8ey,70288940662379992.0
ESnLXehGeReTRw3WxxEZwB4u2C9gAe8dMbob8Q4gm9Yg,47694698127680784.0
7r5xFtcJZpc8vtzBCc1S9ooR2xadHt1jcT8HiH23a1x1,43039504660028016.0
MbzL6v1mDkF8QW6r9TJKV6eaiYSf6MNtpVei2ciFQHN,27517281000000000.0
FQnVcnwEXREJ3D4j7LzNGzCiMUVVqxkGEqZ2KffRY8ud,20000000030300000.0
CsWayfMjUmFU4Cbndn1QyciPhfNgirRJGPkS2h2LSUyK,20000000000000000.0
Ad5i15ft4QwmXMvJ721WQdCZwwinMr5X5bmPkfEQhT31,20000000000000000.0
3dguv2qss6GjmUEnJsddxkR9q5Zoem1sjoSk1jpXFPsz,19999999000000000.0
jjCAwuuNpJCNMLAanpwgJZ6cdXzLPXe2GfD6TaDQBXt,19788036521275204.0
3mv8hXktfpgCgK2W2jwRKdwDkw2UaYVJcVDozWmgv1uA,18615525110001000.0
8sjM83a4u2M8YZYshLGKzYxh1VHFfbgtaytwaoEg4bUJ,18378779000000000.0
9xSi6onCqhLuXTgodd5wB7EXv2WwuYPZyZwDyruGKL6v,15000000000000000.0
9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM,12425270515000000.0
6xGe9H7hbaXn6cu26fizNCvoUoTRxVapUQ61p5B9fM3N,12000000000000000.0
2RFu5Vp4uzECctKfTi7twpSLyFkBUg8erCmHZ8ay1Dvv,11123913899262660.0
6pVyMqt1j4Dvq9sB781Sp6uBBFzshGTgRA8K4zDPhskp,10926050631511726.0
4TgumWudhhXpkD5cAyhXkk56hUaaVVT82PEXoyGX3iRQ,10609990860274200.0
5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,10500510315215490.0
9KDAbB9d2p4AQhWv35R6LKbUZufbngXSMyrPzkFeZz8B,9450060076677152.0
BTD4Rmf8mQdEMcMGRGrFhuUvpnZVdCAxfhRQpVC98YcK,7565172397583117.0
H1PmsLv5ScWq67eTa7XJWZLzT8aQ5VfET5ackzDBi34v,7142857000000000.0
FqrTq3Da6SkAuqtYhbL3MpiH2yPLvYMfqoiVngmtphwo,6489120100100002.0
6GdKDNs1oRjupkUBgKyNMvdnrTafruHtDSgedeJtTnLL,6000000000000000.0
9TwDYXWMrknd5Vgjifn529Ka9cj8Fjo5nMtv1NvYHmWH,5729157424625770.0
D7CXiNER6EMQnTyhwkqeqQf4rLK5umaheRQrWkMLA7KV,5139439778836029.0
4232Lk7SeaRauboCzwvriK9qgjxzN5gSTXTvtJSsEips,5060144446782174.0
4MsHqB2vuTYfvxdppGyy9pfsTWiiug2Gh8pMdeZhDaYg,5054798205260281.0
5wQULuzRkYe4KAttSD1L1fuxavjepcMn1PycNMmPchna,5000000000000798.0
9QmDwUHGfgjBiGWFF7k4JHoEZoF43d3gUNcKVkPyexxk,4839933716860000.0
FgytmdreGUUckPorht62st4EqM5mkczAx49jLapfhAUx,4819537716860000.0
8Mm46CsqxiyAputDUp2cXHg41HE3BfynTeMBDwzrMZQH,4690331041810624.0
7qrn6jMC5kJmRaSkfcqLVeqwEXjgtdTvBcPwwWSUiArd,4651164653500000.0
BNgP6uy3uzo1NZCFRgcAzJodrUidsTbBZ3gE35oE6Ey3,4575513486368340.0
5LZkATrLwHYCQj2YuVbjjgsDZzBk6YfL4pFQRJmtboT2,4564755420050005.0
CG7zgxQCJqkknc53GXJNAka7S9u2hQTeNFqhfcjRpNE2,4498569150147990.0
BbWbNAEdK1jXwdQ8tPixSU3Kr22vF7UDPmXrfsqBt5HH,4433582845913503.0
5aSGmsYkVNapCQb4dfHfGJyE19gG54fqHk5TfF9VqNGX,4411764000000000.0
8PYxeLVbb3dTNc9DhvF9SBtZGFVVwvUSD2WCs6zSp3ZS,4349917000000000.0
G5wfc2GqifihKEgDGrKP2PPJKLJz9vZ716KRqx9vsMt8,4320881000000000.0
8jniGubbJHAikSy9e1Vmp8kzuq9pU5hHB7nRryMpRU6W,4303498904900000.0
9U25FauueoTQQhvfQg7nM76YdVkZJLk9TYmvfauwykZg,4297983000000000.0
95E8vHCbnK2uKVBTRK7wNM5qq495MnJrU8eMX8Vw2e1j,4290948000000000.0
6ppcEKtv1nyLguYntYhqPq7Umn4XTbio8dvmAkvvhibq,4288416000000000.0
5858RV8ytft62exXYmJQm24tZUqvpvURww4t1LyU8BAF,4200045000000000.0
