address,balance,rank,share,token
5eosrve6LktMZgVNszYzebgmmC7BjLK8NoWyRQtcmGTF,209422037.506511658430099487,1,0.213540,JTO
5SybwTvGno6SBApbGinXyLqhnPzs47aaBG4PShyPT8ey,70288940.662379994988441467,2,0.071671,JTO
ESnLXehGeReTRw3WxxEZwB4u2C9gAe8dMbob8Q4gm9Yg,47694698.127680785953998566,3,0.048632,JTO
7r5xFtcJZpc8vtzBCc1S9ooR2xadHt1jcT8HiH23a1x1,43039504.660028018057346344,4,0.043886,JTO
MbzL6v1mDkF8QW6r9TJKV6eaiYSf6MNtpVei2ciFQHN,27517281.000000000000000000,5,0.028058,JTO
FQnVcnwEXREJ3D4j7LzNGzCiMUVVqxkGEqZ2KffRY8ud,20000000.030299998819828033,6,0.020393,JTO
CsWayfMjUmFU4Cbndn1QyciPhfNgirRJGPkS2h2LSUyK,20000000.000000000000000000,7,0.020393,JTO
Ad5i15ft4QwmXMvJ721WQdCZwwinMr5X5bmPkfEQhT31,20000000.000000000000000000,8,0.020393,JTO
3dguv2qss6GjmUEnJsddxkR9q5Zoem1sjoSk1jpXFPsz,19999999.000000000000000000,9,0.020393,JTO
jjCAwuuNpJCNMLAanpwgJZ6cdXzLPXe2GfD6TaDQBXt,19788036.521275203675031662,10,0.020177,JTO
3mv8hXktfpgCgK2W2jwRKdwDkw2UaYVJcVDozWmgv1uA,18615525.110001001507043839,11,0.018982,JTO
8sjM83a4u2M8YZYshLGKzYxh1VHFfbgtaytwaoEg4bUJ,18378779.000000000000000000,12,0.018740,JTO
9xSi6onCqhLuXTgodd5wB7EXv2WwuYPZyZwDyruGKL6v,15000000.000000000000000000,13,0.015295,JTO
9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM,12425270.515000000596046448,14,0.012670,JTO
6xGe9H7hbaXn6cu26fizNCvoUoTRxVapUQ61p5B9fM3N,12000000.000000000000000000,15,0.012236,JTO
2RFu5Vp4uzECctKfTi7twpSLyFkBUg8erCmHZ8ay1Dvv,11123913.899262659251689911,16,0.011343,JTO
6pVyMqt1j4Dvq9sB781Sp6uBBFzshGTgRA8K4zDPhskp,10926050.631511725485324860,17,0.011141,JTO
4TgumWudhhXpkD5cAyhXkk56hUaaVVT82PEXoyGX3iRQ,10609990.860274199396371841,18,0.010819,JTO
5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,10500510.315215490758419037,19,0.010707,JTO
9KDAbB9d2p4AQhWv35R6LKbUZufbngXSMyrPzkFeZz8B,9450060.076677152886986732,20,0.009636,JTO
BTD4Rmf8mQdEMcMGRGrFhuUvpnZVdCAxfhRQpVC98YcK,7565172.397583116777241230,21,0.007714,JTO
H1PmsLv5ScWq67eTa7XJWZLzT8aQ5VfET5ackzDBi34v,7142857.000000000000000000,22,0.007283,JTO
FqrTq3Da6SkAuqtYhbL3MpiH2yPLvYMfqoiVngmtphwo,6489120.100100002251565456,23,0.006617,JTO
6GdKDNs1oRjupkUBgKyNMvdnrTafruHtDSgedeJtTnLL,6000000.000000000000000000,24,0.006118,JTO
9TwDYXWMrknd5Vgjifn529Ka9cj8Fjo5nMtv1NvYHmWH,5729157.424625770188868046,25,0.005842,JTO
D7CXiNER6EMQnTyhwkqeqQf4rLK5umaheRQrWkMLA7KV,5139439.778836028650403023,26,0.005240,JTO
4232Lk7SeaRauboCzwvriK9qgjxzN5gSTXTvtJSsEips,5060144.446782173588871956,27,0.005160,JTO
4MsHqB2vuTYfvxdppGyy9pfsTWiiug2Gh8pMdeZhDaYg,5054798.205260281451046467,28,0.005154,JTO
5wQULuzRkYe4KAttSD1L1fuxavjepcMn1PycNMmPchna,5000000.000000798143446445,29,0.005098,JTO
9QmDwUHGfgjBiGWFF7k4JHoEZoF43d3gUNcKVkPyexxk,4839933.716860000044107437,30,0.004935,JTO
FgytmdreGUUckPorht62st4EqM5mkczAx49jLapfhAUx,4819537.716860000044107437,31,0.004914,JTO
8Mm46CsqxiyAputDUp2cXHg41HE3BfynTeMBDwzrMZQH,4690331.041810624301433563,32,0.004783,JTO
7qrn6jMC5kJmRaSkfcqLVeqwEXjgtdTvBcPwwWSUiArd,4651164.653500000014901161,33,0.004743,JTO
BNgP6uy3uzo1NZCFRgcAzJodrUidsTbBZ3gE35oE6Ey3,4575513.486368340440094471,34,0.004665,JTO
5LZkATrLwHYCQj2YuVbjjgsDZzBk6YfL4pFQRJmtboT2,4564755.420050005428493023,35,0.004655,JTO
CG7zgxQCJqkknc53GXJNAka7S9u2hQTeNFqhfcjRpNE2,4498569.150147990323603153,36,0.004587,JTO
BbWbNAEdK1jXwdQ8tPixSU3Kr22vF7UDPmXrfsqBt5HH,4433582.845913503319025040,37,0.004521,JTO
5aSGmsYkVNapCQb4dfHfGJyE19gG54fqHk5TfF9VqNGX,4411764.000000000000000000,38,0.004499,JTO
8PYxeLVbb3dTNc9DhvF9SBtZGFVVwvUSD2WCs6zSp3ZS,4349917.000000000000000000,39,0.004435,JTO
G5wfc2GqifihKEgDGrKP2PPJKLJz9vZ716KRqx9vsMt8,4320881.000000000000000000,40,0.004406,JTO
8jniGubbJHAikSy9e1Vmp8kzuq9pU5hHB7nRryMpRU6W,4303498.904900000430643559,41,0.004388,JTO
9U25FauueoTQQhvfQg7nM76YdVkZJLk9TYmvfauwykZg,4297983.000000000000000000,42,0.004382,JTO
95E8vHCbnK2uKVBTRK7wNM5qq495MnJrU8eMX8Vw2e1j,4290948.000000000000000000,43,0.004375,JTO
6ppcEKtv1nyLguYntYhqPq7Umn4XTbio8dvmAkvvhibq,4288416.000000000000000000,44,0.004373,JTO
5858RV8ytft62exXYmJQm24tZUqvpvURww4t1LyU8BAF,4200045.000000000000000000,45,0.004283,JTO
HBS2xykTebEvWmuoo6R7ovVML67A4E1DyjMccXpLY1HT,4030010.000000000000000000,46,0.004109,JTO
FLKgWbg76Rz5Rf1TPg7a4Vb4FbXxjuB9vDVKb5Tm5FXg,4013520.000000000000000000,47,0.004092,JTO
3BSjYTJkJBPS7oLEiUn4SSZEz9b2Lqa981UB15k7Zwzc,3984073.008516447152942419,48,0.004062,JTO
7ZWDZ5oPs1yh6g31GEp2Di27qpUjQ8UZqnJa668zkMVy,3924461.628416882827877998,49,0.004002,JTO
GCP3Zprk1ZEkTZRSLiKXfCZDZYPJckbQmQejsXRLuBH8,3911359.859879599884152412,50,0.003988,JTO
6Qxpk4Vhhfjd6yMmiCcWo38h2irEcMyemLjDbtjXRR2Z,3834936.451141618192195892,51,0.003910,JTO
2QcpjoTCEC7GfEMESAzJiqyQaX3N9TkYpL9YL5H7p87f,3666667.000000000000000000,52,0.003739,JTO
