owner,balance
GvXkGJiAnGv9wBW6XTD9ALYNFWsjJhQ4aA3NBbAEiRVU,2409505884409317.0
Ec6MuWtpvFcVyMsp7vipKCg1CMkKrWHZpWPdnJF16G57,593934799321763.0
8civ8uAA4RMY8Ho6DmJzgatAqutsRDL4hkmmCXtxZ8ew,565681470000001.0
G2VtFJ9P5P7qjz5bcfwVQw6DGJ2sYBUTXf7npQy5PZ2R,479538853000000.0
4x3uU27N1cfmBx8JerY13ZzdNxgmgQdiZUSFZQHbhe1B,400000001000000.0
4uD7K6KCFfAWoeJVeDKk2V5fuRd8X4Y926cAqeoAhD8N,367000001000001.0
6EyjmmTYdAEyoLN1eTynuGvQPRq8mR4HKrW9uBqWqi7N,333333333000000.0
Ad29ikw7DwEEbFTW6LEDVNC3cxGrNdsY4r276FAeT1Dt,255251141297361.0
AGzZas78FXZkH8FrUW3x54h639fbfT1PhBA6SLbY5tTi,250000000010000.0
6AapP9rsXMsNTJEMbKUatmzLeYwkZSJWd84c6PLBJNvK,240000001000000.0
Ej1xvF8ycSA7ufZhCRAi5EPk2DjPgyuByDS6RgpG5i7c,222381701662157.0
GaPzsiFGz3YEzjv4CWs8VuAax5EHLBkuBEyjrzU21vCm,162685741000000.0
FmKM1aEVZCSQ9KrNsU7tDYPLVUT83vRYQEg6ynBteUtN,157486980000000.0
26zosbY6as77TKLbqyQABW5JzjawwQd1Yk1r7qj9KEw9,154885001000000.0
9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM,142756003042000.0
AzhvSdw4oDBfFWakrcHkugmkHqvFNBCrix1Mpp2XfJWj,133333334000000.0
rPD2sj5VgN1sTb3LJtN59xrsTkrVDJK3tofbB85d1FZ,100149435150980.0
5wEZfHgMXbhkTiLukUbRAPtXB1FXoeQiYRh1Xzarbxxa,93909469717746.0
DU7Fxw3b7MsgMYSGP9V9RcHLYjwTpxcp1ecnv4G2Ejy4,85700752554772.0
4XWU5LSYHhxVUrBAtqPfb9AU4mTJr9QLBmLRnyUsPYzQ,80000001000000.0
7cAui6ADtxLnpRr2wYvwJWTkzwgmVF2LYKnjKTLx4xR8,75696345991246.0
6hqYrzZiuHUXwn4SyAjRCKw1m59quK28aCU87yzkUtYM,75000006000000.0
3ndjN1nJVUKGrJBc1hhVpER6kWTZKHdyDrPyCJyX3CXK,61507395644975.0
D3ZFLPkDnyqtyuDSb485b2NcD1NdASLZAerXmCPgn2dx,61394422805781.0
5aPMCiAFpaLxzpvS4rq7FpxgX4K3PaNxJ1wdCW3pehYn,56706574141343.0
7D6fbTfK93yNpiGpeYyjp9ukcYCBrqWJUj4pjWUFABxM,53500000000000.0
FH5aVFSE226Eoqprhn29yDY9TGHUGZrxqEwpzzMe16Ru,53500000000000.0
CLk7NW4YRYsuKE8G9P9BvJFjgqcofffkZcoAEYN77TPz,53333333000000.0
58zKN2jTQ5DF1fuvWgXaPwNtfWerXdUoZjeBgo3YCfY8,50600000000001.0
DJLnyPYw9aYbdtXCsuT18HB3wQgv8wggzAPdwrg48XM4,50095000000000.0
939tF6wmVsjtdHicStD6d7P3TCW94njUwzUfUcJ6ePLZ,50000000000000.0
4vQ1rL49MjPuztAwZMyZKV9JTaoo9i8zj74hzQRUDo5C,50000000000000.0
G4HFFg8syz79PVup96ZabjmZDKHtV3GfLCmdZCh3i1K3,50000000000000.0
AzZv5v2efoxkXo2zW3XDmkGMYsKYp9JqKuwAcxrLKoEB,47698973551338.0
HTeQjiJXHf9xGzJwdrkpArgsNivv7zfjdjPynfbvwG6s,45683711460000.0
2SSpysNB42DF8SBzwP9WeW9uJHFK72VxHvdp7cFSgKfn,44750000001811.0
2mpvsqcCZY5Cej3vVkEy41AR3QzVkGHjc2rPNhzThkVi,44505788884153.0
