address,balance,rank,share,token
GvXkGJiAnGv9wBW6XTD9ALYNFWsjJhQ4aA3NBbAEiRVU,2409505884.409317016601562500,1,0.242360,KMNO
Ec6MuWtpvFcVyMsp7vipKCg1CMkKrWHZpWPdnJF16G57,593934799.321763038635253906,2,0.059741,KMNO
8civ8uAA4RMY8Ho6DmJzgatAqutsRDL4hkmmCXtxZ8ew,565681470.000000953674316406,3,0.056899,KMNO
G2VtFJ9P5P7qjz5bcfwVQw6DGJ2sYBUTXf7npQy5PZ2R,479538853.000000000000000000,4,0.048234,KMNO
4x3uU27N1cfmBx8JerY13ZzdNxgmgQdiZUSFZQHbhe1B,400000001.000000000000000000,5,0.040234,KMNO
4uD7K6KCFfAWoeJVeDKk2V5fuRd8X4Y926cAqeoAhD8N,367000001.000001013278961182,6,0.036915,KMNO
6EyjmmTYdAEyoLN1eTynuGvQPRq8mR4HKrW9uBqWqi7N,333333333.000000000000000000,7,0.033528,KMNO
Ad29ikw7DwEEbFTW6LEDVNC3cxGrNdsY4r276FAeT1Dt,255251141.297360986471176147,8,0.025674,KMNO
AGzZas78FXZkH8FrUW3x54h639fbfT1PhBA6SLbY5tTi,250000000.009999990463256836,9,0.025146,KMNO
6AapP9rsXMsNTJEMbKUatmzLeYwkZSJWd84c6PLBJNvK,240000001.000000000000000000,10,0.024140,KMNO
Ej1xvF8ycSA7ufZhCRAi5EPk2DjPgyuByDS6RgpG5i7c,222381701.662156999111175537,11,0.022368,KMNO
GaPzsiFGz3YEzjv4CWs8VuAax5EHLBkuBEyjrzU21vCm,162685741.000000000000000000,12,0.016364,KMNO
FmKM1aEVZCSQ9KrNsU7tDYPLVUT83vRYQEg6ynBteUtN,157486980.000000000000000000,13,0.015841,KMNO
26zosbY6as77TKLbqyQABW5JzjawwQd1Yk1r7qj9KEw9,154885001.000000000000000000,14,0.015579,KMNO
9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM,142756003.041999995708465576,15,0.014359,KMNO
AzhvSdw4oDBfFWakrcHkugmkHqvFNBCrix1Mpp2XfJWj,133333334.000000000000000000,16,0.013411,KMNO
rPD2sj5VgN1sTb3LJtN59xrsTkrVDJK3tofbB85d1FZ,100149435.150979995727539062,17,0.010074,KMNO
5wEZfHgMXbhkTiLukUbRAPtXB1FXoeQiYRh1Xzarbxxa,93909469.717746004462242126,18,0.009446,KMNO
DU7Fxw3b7MsgMYSGP9V9RcHLYjwTpxcp1ecnv4G2Ejy4,85700752.554772004485130310,19,0.008620,KMNO
4XWU5LSYHhxVUrBAtqPfb9AU4mTJr9QLBmLRnyUsPYzQ,80000001.000000000000000000,20,0.008047,KMNO
7cAui6ADtxLnpRr2wYvwJWTkzwgmVF2LYKnjKTLx4xR8,75696345.991245999932289124,21,0.007614,KMNO
6hqYrzZiuHUXwn4SyAjRCKw1m59quK28aCU87yzkUtYM,75000006.000000000000000000,22,0.007544,KMNO
3ndjN1nJVUKGrJBc1hhVpER6kWTZKHdyDrPyCJyX3CXK,61507395.644974999129772186,23,0.006187,KMNO
D3ZFLPkDnyqtyuDSb485b2NcD1NdASLZAerXmCPgn2dx,61394422.805780999362468719,24,0.006175,KMNO
5aPMCiAFpaLxzpvS4rq7FpxgX4K3PaNxJ1wdCW3pehYn,56706574.141342997550964355,25,0.005704,KMNO
7D6fbTfK93yNpiGpeYyjp9ukcYCBrqWJUj4pjWUFABxM,53500000.000000000000000000,26,0.005381,KMNO
FH5aVFSE226Eoqprhn29yDY9TGHUGZrxqEwpzzMe16Ru,53500000.000000000000000000,27,0.005381,KMNO
CLk7NW4YRYsuKE8G9P9BvJFjgqcofffkZcoAEYN77TPz,53333333.000000000000000000,28,0.005365,KMNO
58zKN2jTQ5DF1fuvWgXaPwNtfWerXdUoZjeBgo3YCfY8,50600000.000000998377799988,29,0.005090,KMNO
DJLnyPYw9aYbdtXCsuT18HB3wQgv8wggzAPdwrg48XM4,50095000.000000000000000000,30,0.005039,KMNO
939tF6wmVsjtdHicStD6d7P3TCW94njUwzUfUcJ6ePLZ,50000000.000000000000000000,31,0.005029,KMNO
4vQ1rL49MjPuztAwZMyZKV9JTaoo9i8zj74hzQRUDo5C,50000000.000000000000000000,32,0.005029,KMNO
G4HFFg8syz79PVup96ZabjmZDKHtV3GfLCmdZCh3i1K3,50000000.000000000000000000,33,0.005029,KMNO
AzZv5v2efoxkXo2zW3XDmkGMYsKYp9JqKuwAcxrLKoEB,47698973.551338002085685730,34,0.004798,KMNO
HTeQjiJXHf9xGzJwdrkpArgsNivv7zfjdjPynfbvwG6s,45683711.460000000894069672,35,0.004595,KMNO
2SSpysNB42DF8SBzwP9WeW9uJHFK72VxHvdp7cFSgKfn,44750000.001810997724533081,36,0.004501,KMNO
2mpvsqcCZY5Cej3vVkEy41AR3QzVkGHjc2rPNhzThkVi,44505788.884153001010417938,37,0.004477,KMNO
