owner,balance
Cfq1ts1iFr1eUWWBm8eFxUzm5R3YA3UvMZznwiShbgZt,365461857223222080.0
8UhbNoBXmGoxJr2TeWW8wmSMoWmjS2rTT2tVJxzuTogC,80000000010000224.0
9pkFKCR1mdS31JxjKdtmWg2awZUg6vJUYVY722DAcXzv,35000000010000252.0
85WTujfJ9meJq5hfjAeb5gftj7n8Q7QTsZJbRqMD5ERS,29999946428000000.0
9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM,28000000000000000.0
BBvQteuawKB2UtExfevL8HYLjWWsgmWXsp922vFbvCfT,25000000010023048.0
GTeSSwovPiVirpvWJpThUWiLDSLsuApmJw621Yom3MhB,25000000010000232.0
AvqFxKNrYZNvxsj2oWhLW8det68HzCXBqswshoD2TdT6,24000000010000268.0
96HiV4cGWTJNCjGVff3RTHgPXmpYz7MSrGTAmxNKVWM9,22999958928000000.0
8UHpWBnhYNeAQURWjAABp8vSrzfYa69o7sfi65vYLC42,19131083343250260.0
ERRGqu3dh6zYBg7MNAHKL33TyVb7efMmaKxnmdukdNYa,16999969644000000.0
GhFaBi8sy3M5mgG97YguQ6J3f7XH4JwV5CoW8MbzRgAU,15625000010000266.0
AC5RDfQFmDS1deWZos921JfqscXdByf8BKHs5ACWjtW2,12858991410786406.0
2WHL4XiNGKW9NgSwsJeG7WG2kD35Bi44rZoLrXHEz3dw,10000000010000250.0
9SLPTL41SPsYkgdsMzdfJsxymEANKr5bYoBsQzJyKpKS,9996036227071064.0
9UcygiamY92yGntGkUkBKi4SdApxkBMZd9QSo6wMC2dN,8800000010000237.0
4GZwzZgqSwwTTRVgBoxTDeH3EwDye84dCPb9fALAZFjF,7188645774408883.0
C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,7120851017463447.0
H61va8NXmR72rJ5Z4cy2FNrGrptedTsArDxqiH7yZUB8,4690000000000000.0
2uF4Xh61rDwxnG9woyxsVQP7zuA6kLFpb3NvnRQeoiSd,3809196691196617.0
3Z2AqcKCmdcCZ3iCUiFKtwUbrmuPcefwN3xRLTdY7XyN,3480855273462623.0
6LY1JzAFVZsP2a2xKrtU6znQMQ5h4i7tocWdgrkZzkzF,3005107541705680.0
DLkDZH2McPeHi4G8DJryEk63WH83RePGL8uKf1yJ1vhH,2588679307642734.0
DZ8M6QjqS6reDLFCFyoErJzSgGFthd57FMmBqaFNXaNB,2299675954634388.0
5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,2298737408969753.0
EFE3j1pcSP1paUzA86zW7989ZjsFP2J7ginyUqo4ewqR,2066361091888000.0
EPv4d221Dk5bY2rzB8a2BsHQ7sv9tHwKZeSoc1VLwNwT,2049990010000000.0
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,1894252608146767.0
3B7XAQrLoEMDEGvX8569F9GRb9PcXXocJmj5wvhhei9z,1890325911154450.0
7TWnq4WeYcwQWBCwKeEX2Q9xqVtthPGkB7adNvueuVuh,1887466458062141.0
DSo8tY2KdbmZC6Q9YNWgQ9745ugL1Q9K6FeyqovkGqRS,1665098306917066.0
5PAhQiYdLBd6SVdjzBQDxUAEFyDdF5ExNPQfcscnPRj5,1520819528152929.0
E2RvJg2myWpKcbkhBuF81gfhYr6KvmNcDbSmr5qnatYy,1514255956738000.0
8wM44Ryv9DFCSfkgUnPEPgnsc53arT4cnmXL6LnnC4UW,1472507188031121.0
JCNCMFXo5M5qwUPg2Utu1u6YWp3MbygxqBsBeXXJfrw,1352456809371342.0
38xCLm9kSExfGU1GdyVuX4vop7SZns9kU2mQyTmmMdUP,1306874850660000.0
6FEVkH17P9y8Q9aCkDdPcMDjvj7SVxrTETaYEm8f51Jy,1106069762699409.0
4zg4mV2QNUsGN5qVbuKA3sqvkaPRkyb5gByjfRUH3uHn,1054635543181939.0
zt27jpb8jfLg5e6fvnEgkfnNyxpqhJV4mcd1JneeQMW,1027018277826452.0
4UpsBxdSEqFafi5V8vNwEnWvzZmrxj8w8C36oQjtX2qK,1017505948040000.0
E3MhdiKia92MFswUHM68G4fqYCyF4EK7gJ5H1vTky9Cs,1000000010000000.0
3r8yisznwhwTc3zvRpwCNozv9UE1zHcpma2VpGL1cjEk,975832136501368.0
Ba64vywjQwvmennBzn8Yvaz3h2v8bwVBzao5cKNmc3c5,939820748148975.0
3ixYKp5PsdqykioextzwKjZBEpwnEDkiHTqgc5Z2piKS,937500010000000.0
Dyo7tqec9dTED6kddpqj4e3L68HLC2VZAiboNsMzKUP4,925000630000000.0
GFbzkxKE6wWgFmhdvmp13vfF6kVCvQ4k6dCZahLqL8Lg,900511207077302.0
Gaw3fcEJZkZjhmNp4zix5MHj82asVWv162nhDUo8bGvp,883711433301458.0
ED86KHerMiNnekX995NMvx9F3TaLEiAAoiAtrnKQcdh6,800000421400000.0
6dwaj585LCV6R6gm5fKQ9XBbJz1Si7LKmgaDA6xgvUzt,800000418100000.0
