address,balance,rank,share,token
Cfq1ts1iFr1eUWWBm8eFxUzm5R3YA3UvMZznwiShbgZt,365461857223.222106933593750000,1,0.426202,PUMP
8UhbNoBXmGoxJr2TeWW8wmSMoWmjS2rTT2tVJxzuTogC,80000000010.000228881835937500,2,0.093296,PUMP
9pkFKCR1mdS31JxjKdtmWg2awZUg6vJUYVY722DAcXzv,35000000010.000251770019531250,3,0.040817,PUMP
85WTujfJ9meJq5hfjAeb5gftj7n8Q7QTsZJbRqMD5ERS,29999946428.000000000000000000,4,0.034986,PUMP
9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM,28000000000.000000000000000000,5,0.032654,PUMP
BBvQteuawKB2UtExfevL8HYLjWWsgmWXsp922vFbvCfT,25000000010.023048400878906250,6,0.029155,PUMP
GTeSSwovPiVirpvWJpThUWiLDSLsuApmJw621Yom3MhB,25000000010.000232696533203125,7,0.029155,PUMP
AvqFxKNrYZNvxsj2oWhLW8det68HzCXBqswshoD2TdT6,24000000010.000267028808593750,8,0.027989,PUMP
96HiV4cGWTJNCjGVff3RTHgPXmpYz7MSrGTAmxNKVWM9,22999958928.000000000000000000,9,0.026823,PUMP
8UHpWBnhYNeAQURWjAABp8vSrzfYa69o7sfi65vYLC42,19131083343.250259399414062500,10,0.022311,PUMP
ERRGqu3dh6zYBg7MNAHKL33TyVb7efMmaKxnmdukdNYa,16999969644.000000000000000000,11,0.019825,PUMP
GhFaBi8sy3M5mgG97YguQ6J3f7XH4JwV5CoW8MbzRgAU,15625000010.000265121459960938,12,0.018222,PUMP
AC5RDfQFmDS1deWZos921JfqscXdByf8BKHs5ACWjtW2,12858991410.786405563354492188,13,0.014996,PUMP
2WHL4XiNGKW9NgSwsJeG7WG2kD35Bi44rZoLrXHEz3dw,10000000010.000249862670898438,14,0.011662,PUMP
9SLPTL41SPsYkgdsMzdfJsxymEANKr5bYoBsQzJyKpKS,9996036227.071063995361328125,15,0.011657,PUMP
9UcygiamY92yGntGkUkBKi4SdApxkBMZd9QSo6wMC2dN,8800000010.000236511230468750,16,0.010263,PUMP
4GZwzZgqSwwTTRVgBoxTDeH3EwDye84dCPb9fALAZFjF,7188645774.408883094787597656,17,0.008383,PUMP
C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,7120851017.463446617126464844,18,0.008304,PUMP
H61va8NXmR72rJ5Z4cy2FNrGrptedTsArDxqiH7yZUB8,4690000000.000000000000000000,19,0.005469,PUMP
2uF4Xh61rDwxnG9woyxsVQP7zuA6kLFpb3NvnRQeoiSd,3809196691.196617126464843750,20,0.004442,PUMP
3Z2AqcKCmdcCZ3iCUiFKtwUbrmuPcefwN3xRLTdY7XyN,3480855273.462623119354248047,21,0.004059,PUMP
6LY1JzAFVZsP2a2xKrtU6znQMQ5h4i7tocWdgrkZzkzF,3005107541.705679893493652344,22,0.003505,PUMP
