address,balance,rank,share,token
51PZFsSVorGDsWLopZvsqZ4zT1cHNzhfsL9KaJtBqZk1,12546073.863791490000000000,1,0.180070,RENDER_SOL
6FEVkH17P9y8Q9aCkDdPcMDjvj7SVxrTETaYEm8f51Jy,6137325.720554640000000000,2,0.088087,RENDER_SOL
5cQj8RLUU2or1aGnmufs5LPwCaijp7w7H5gCWJfNRfKX,5112354.380345060000000000,3,0.073376,RENDER_SOL
7TWnq4WeYcwQWBCwKeEX2Q9xqVtthPGkB7adNvueuVuh,4843496.990732530000000000,4,0.069517,RENDER_SOL
6LY1JzAFVZsP2a2xKrtU6znQMQ5h4i7tocWdgrkZzkzF,4821025.731827820000000000,5,0.069195,RENDER_SOL
AYm4Knn6Sw1f52Eq42ujQ2ez5Xb7iBJeviprFCA7ADCy,4182515.238494670000000000,6,0.060030,RENDER_SOL
J8k11p1E2FKfYhVxgNkKT9xWUz7Npwqx1RPQvGcfo56H,3540584.744021430000000000,7,0.050817,RENDER_SOL
5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,2923465.740177870000000000,8,0.041960,RENDER_SOL
5PAhQiYdLBd6SVdjzBQDxUAEFyDdF5ExNPQfcscnPRj5,2871158.003245070000000000,9,0.041209,RENDER_SOL
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,2578538.423449780000000000,10,0.037009,RENDER_SOL
Gem2VAypSg7Ai7vjDKPTtqFahpoQWkfgVkyzx3rPoTka,2497410.241766900000000000,11,0.035845,RENDER_SOL
2Ejnns2Fd5gsZdFJbnkZmQEwbrgoiMc2ikKcS2z2Ps3e,1731305.051590650000000000,12,0.024849,RENDER_SOL
DMe3ddj7awSR3LFC64rjmCPexsrSv33QAxFoJux4vGH3,1715303.639087060000000000,13,0.024619,RENDER_SOL
FSQ2X6u1ZAuS6vEeztFmZ8RvKWLa6M7wNwL6FCRouSTy,1374293.320349320000000000,14,0.019725,RENDER_SOL
4xLpwxgYuPwPvtQjE94RLS4WZ4aD8NJYYKr2AJk99Qdg,1110308.674675090000000000,15,0.015936,RENDER_SOL
