address,balance,rank,share,token
5Hd2ze5ug8n1bo3UCAcQsf66VNjKqGos8u6apNfzcU86pg4N,797821.79024665,1,0.088643,TAO
5GH2aUTMRUh1RprCgH4x3tRyCaKeUi5BfmYCfs1NARA8R54n,281136.92461176,2,0.031236,TAO
5Gs1zPdtVKJ9dh1DdTRYrNPbxnkBmLCBPQ5FVMjn7mV1kUNA,206665.91828259,3,0.022962,TAO
5GaTCa1ZEBTjfiSq9965mvaDkc8YgWnsHzrdVXMmmzWDy3iJ,191950.51905993,4,0.021327,TAO
5HbUBhvvCVsYYA1ghsHrVzSzARxhkF5yLFMctVgcENXjJ329,173672.50736005,5,0.019296,TAO
5HeWF2M4hHtsjeaKemfVUi427sM6caTGyqZo5XvCQLE8r7qc,144995.73013092,6,0.016110,TAO
5FEA1FfUPwT3K4zTsYbQx5X1G9R2ZjYLyFv12xBQxW9QgoCL,141002.54461614,7,0.015666,TAO
5CSkuzS15xc8bu5ypPjS42grD3uQh3hKsj2e9YMvzobdu1nf,139791.87764007,8,0.015532,TAO
5ChHTBkaE1VgK5NX59uHuZoK8VQShojKBB1sGfXaZQpxVDCi,129499.33164067,9,0.014388,TAO
5FqBL928choLPmeFz5UVAvonBD5k7K2mZSXVC9RkFzLxoy2s,121021.31301122,10,0.013446,TAO
5Dhf6WgqrfhVyFCGqK4G5utro2jepscwryMhLHtpMfopxweC,117065.00011270,11,0.013007,TAO
5GUkyA37dHnc1rEijDtvBe5yYNCpaNjaHGqB7DY9Kb2KgSj3,108063.76842660,12,0.012007,TAO
5HiveMEoWPmQmBAb8v63bKPcFhgTGCmST1TVZNvPHSTKFLCv,106690.22336696,13,0.011854,TAO
5C9CxW9355u1sqy6Np85FfGssJAdyA8cAsjjV9YP8aaLvjEY,104393.71044585,14,0.011599,TAO
5H9brHhMA1km3Dp3YCx75oaimgxEYScxCfxbzQRZ3gHk9x3L,97771.05094801,15,0.010863,TAO
5Epz8SQ69FuZRLyjCAicn8i71SdyEYaWR5rZ5a1i1bgoxGaQ,97399.95624039,16,0.010822,TAO
5GVKorR78gqQCV6mrWMWX95hHG93ZaRAUShZVBNT768dvqv8,89112.11373228,17,0.009901,TAO
5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,84682.52664358,18,0.009409,TAO
5DAqRxdSLMj2z96SrJhFiPcB3BWQeyuh9pCSvaLfvbQktc54,83655.15801338,19,0.009295,TAO
5DohFrx7u4HFuBYgncNY4FivhjpNLnuYtLu9gKJDU1zBx5EW,82526.96443563,20,0.009169,TAO
5Ho71YYpmq6VsxxYdfzAmiYRoQVT5VmPWojK46LUHdzad1Gh,79692.28776788,21,0.008854,TAO
5ELWnR5A7DUmmqHsYPA3iZMFu1BX3gceruEqFPtsmTkCqR7J,78778.62211558,22,0.008753,TAO
5GzGtUFNxufJoa5mASaC8pJjaz8WynzVZ4KBLzpGbXyJpmGm,73460.65093962,23,0.008162,TAO
5CMLKB1qMX6q6dQzuFSfAtRbcpxJUhh86YhZhiKSYcXaCR36,63649.83209730,24,0.007072,TAO
5FJ9RrP3gkiaWi2UTQjHp3wjeLF9goYPdgrjxyFkTKWHesR6,62343.21719522,25,0.006927,TAO
