address,balance,rank,share,token
0x74b4f6a2e579d730aacb9dd23cfbbaeb95029583,45910318560.627632141113281250,1,0.475325,WLFI
0x5be9a4959308a0d0c7bc0870e319314d8d957dbb,12620954712.407985687255859375,2,0.130669,WLFI
0xfef30c262676de9af5e5e9ba999cf774000b14b4,8801813390.270000457763671875,3,0.091128,WLFI
0x003ca23fd5f0ca87d01f6ec6cd14a8ae60c2b97d,4998322064.667050361633300781,4,0.051749,WLFI
0x4af8911204909f6b234da8deb3680738ef967bf9,3583585650.000000000000000000,5,0.037102,WLFI
0xcd52e35f7784efc78e835ef6e00be914f48beee6,3321690993.708012580871582031,6,0.034391,WLFI
0xf977814e90da44bfa03b6295a0616a897441acec,1781236090.479000091552734375,7,0.018442,WLFI
0xc785d05961b3c537cac11f1d496876a255f6d650,1332223209.437559127807617188,8,0.013793,WLFI
0x9e8f9a6ea64cbba627749de83c32d2096ba0c787,1000000000.000000000000000000,9,0.010353,WLFI
0xd250b4888433cc080f510f243b24aea2413e89ef,1000000000.000000000000000000,10,0.010353,WLFI
0x0249d14d15531065b927f4930562c3814e654b54,800000000.000000000000000000,11,0.008283,WLFI
0xcc261ab4be137eacf57c19ed97c186b4d88004ca,749999950.000000000000000000,12,0.007765,WLFI
0xf0cc01b37086bc122a3d63c615dab379478d2745,666666666.666666626930236816,13,0.006902,WLFI
0x5ab26169051d0d96217949adb91e86e51a5fda74,544718605.980320930480957031,14,0.005640,WLFI
0x33ccf78a2091979fbc5a7631e6c71e900715ab78,484000000.000000000000000000,15,0.005011,WLFI
0x29de882559194e2be08c182c1860193f8137cbf8,433333333.333333313465118408,16,0.004486,WLFI
0xcaf92481d3f0e3b32c90cde5aa1bf3d731753003,410869515.686723053455352783,17,0.004254,WLFI
0x284cf133aa570f29da0961be897dbbb2a37962f8,401963354.269959330558776855,18,0.004162,WLFI
0x35d9a0dd75b9fb82e68f91ae4528138926e7b025,400000000.000000000000000000,19,0.004141,WLFI
0xebf7497f4276610e57b7382c3b41e565e08bf394,378310214.430000007152557373,20,0.003917,WLFI
0xf978263764078052193ff14cdfa32233ed858a1a,313307526.970000028610229492,21,0.003244,WLFI
0x1d48963dd8fada6ab5c2c7b92eba81ecc5030270,280666967.266712248325347900,22,0.002906,WLFI
0x53c902a9ef069f3b85e5e71f918c4d582f3063fa,250000000.000000000000000000,23,0.002588,WLFI
0xc3e3a8edda3b82f58af593acf0da47749b8d69a1,222400368.527302026748657227,24,0.002303,WLFI
0x7f73813ba278b9d2061971daa6a086bd5766e5d1,200000020.000000000000000000,25,0.002071,WLFI
0x0b6076ad8b790301084b2584c994e636984245d7,200000000.000000000000000000,26,0.002071,WLFI
0x2914bc46e429c5a86b718c60b7ac5584c504618b,200000000.000000000000000000,27,0.002071,WLFI
0x61af7a48b0eea8481e5a055a35f829d0e8505fe3,200000000.000000000000000000,28,0.002071,WLFI
0xc9e99a3d641e400d869151c996bf89fe7e3b7c77,199999630.000000000000000000,29,0.002071,WLFI
0xd07ca6540791093b00b180fe4e2a2cddcbceeef2,175516155.605416208505630493,30,0.001817,WLFI
0x3b54f4fbfafd0e7167dcd70594e2d1b8bcbfe4e9,166666667.000000000000000000,31,0.001726,WLFI
0x5851a4148233d84fcbf255109f99bbdd6c8c9cba,166666667.000000000000000000,32,0.001726,WLFI
0x90fab54fd77bec60d59844a7d22a3de41b734989,166666667.000000000000000000,33,0.001726,WLFI
0xab26ccefbd46d6a8e5165fa0e29a763774766a79,166666667.000000000000000000,34,0.001726,WLFI
0xed1b00895c5db8ac09e2e94267819ed2f1ae06fb,166666667.000000000000000000,35,0.001726,WLFI
0x33c59f63771f2ab4c9f20c3955526416f02528ca,166666666.000000000000000000,36,0.001726,WLFI
0x81df2c977b245af2598cfdaa599d3d515390dd9d,166666666.000000000000000000,37,0.001726,WLFI
0xa40dd20c8630d5518e490efc5fb4b59e3cdff3aa,166666666.000000000000000000,38,0.001726,WLFI
0x073f564419b625a45d8aea3bb0de4d5647113ad7,152834053.539999991655349731,39,0.001582,WLFI
0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,135549513.052199989557266235,40,0.001403,WLFI
0x99e4256100552bfc3a22ac92561f26cb9637bea1,133333333.333333328366279602,41,0.001380,WLFI
0x83a41cdad953ddd3e4ae3e5983e993405a5a2bb2,116382737.818737670779228210,42,0.001205,WLFI
0x7c62bc23f2bf40c45545d75273eecc0617a06814,113860011.494951918721199036,43,0.001179,WLFI
0xb631c518300a81e861b4511bc7e4b1a2376dbf3c,100000000.000000000000000000,44,0.001035,WLFI
0x841ed663f2636863d40be4ee76243377dff13a34,97557072.785213768482208252,45,0.001010,WLFI
0x7dafba1d69f6c01ae7567ffd7b046ca03b706f83,91483374.934130460023880005,46,0.000947,WLFI
0x0871ee4ec4ececa76739930f37c2dd72ed1c44d7,81142799.041999995708465576,47,0.000840,WLFI
0x03ffb8cc16499d20cf79261ebc7064f72984330e,75037482.628776103258132935,48,0.000777,WLFI
0xffa8db7b38579e6a2d14f9b347a9ace4d044cd54,73046046.028951004147529602,49,0.000756,WLFI
0x4637ea6ecf7e16c99e67e941ab4d7d52eac7c73d,60495307.113812938332557678,50,0.000626,WLFI
0x5aad6603e64d082acd0d17d3b92a100c54b42d00,53085877.030000001192092896,51,0.000550,WLFI
0x683a637183b3964af515300185d9e582a2985c05,50514408.030000001192092896,52,0.000523,WLFI
0x377b8ce04761754e8ac153b47805a9cf6b190873,49149174.174352154135704041,53,0.000509,WLFI
0x5f03ab591777ec29533ec7d2dac534245d1e6035,46914323.040000997483730316,54,0.000486,WLFI
0xf89d7b9c864f589bbf53a82105107622b35eaa40,46392025.878767490386962891,55,0.000480,WLFI
0x000000000004444c5dc75cb358380d2e3de08a90,46303338.613593660295009613,56,0.000479,WLFI
0x28c6c06298d514db089934071355e5743bf21d60,39546268.613011889159679413,57,0.000409,WLFI
0xb7c8ce9f8711d1d882ebd1a8f0fe0cd9adb7068f,35714286.000000000000000000,58,0.000370,WLFI
0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,34100981.427147358655929565,59,0.000353,WLFI
0xe9ad285c76d48a016f2182598b2068452f47097d,33433001.757482800632715225,60,0.000346,WLFI
0xdcb06632e7611d632bdb1c8dbd3abcd9d6947e93,32460119.059927105903625488,61,0.000336,WLFI
0xea0a62521090348b51fc3e77711889104bc104f5,32414386.033002298325300217,62,0.000336,WLFI
0x18709e89bd403f470088abdacebe86cc60dda12e,25156000.017999999225139618,63,0.000260,WLFI
0xa5db6ba8fb288178e91f199e843745eec1aa1c62,24410686.805301543325185776,64,0.000253,WLFI
