token,address,balance,rank,share
ZRO,0x8f6449530606a9efddac42e05612427ddeba449c,105935088.37202644,1,0.11353069576392752
ZRO,0x744dbc48d11415ec5cb2f78609dea5e1e738da24,69549761.89995801,2,0.0745365202414159
ZRO,0xc2f31575b97df563a3bba2a94e3a0b317ba2d412,30750000.000000007,3,0.03295479286788073
ZRO,0x1f903473376fbe98cc763f1bc459c8fdb6ac3909,30000000,4,0.03215101743207876
ZRO,0x637ca60dfb4d3acbd2ba65aaed9c6ca564bbf7bf,27118092.487233758,5,0.029062475476059217
ZRO,0xda8b6eb4e31a387577c0e20c00c8f7e31cbc18bc,25354223.63,6,0.02717213619683177
ZRO,0x6e0e32684df6e3ae415ab1146a305bfd03e42427,22500000,7,0.024113263074059067
ZRO,0x806f68bb6ce8f3100d4745c8b13b36e4f40d8431,22500000,8,0.024113263074059067
ZRO,0x53326cfb6ec33f18ccb0e23828a133bc6805390c,20524733.150000002,9,0.02199636844314716
ZRO,0x72afaa442b98f71b8bba9937f95be764ab9f97d1,19729000,10,0.021143580763916058
ZRO,0x7be1125e9284ee108850a19f362b111526737cfd,16666666,11,0.01786167563668781
ZRO,0x3425bd866c5d0cbacb1fe011e604789456a28f88,15212526.299999999,12,0.016303273275241885
ZRO,0x921949cc006a563d76abd111a3e4c2ace2c4273f,13619553.798722476,13,0.014596083719995358
ZRO,0x63be42b40816eb08f6ea480e5875e6f4668da379,13387980.523261517,14,0.01434790650612373
ZRO,0xd59ef7fe057d42c3ea6c8ffe9be618ec1d1f42e2,11683910.336916745,15,0.01252165349723518
ZRO,0x7c8aae256203a2ada50676470bb5e2ead1f0e705,11526360.70292,16,0.012352807462933614
ZRO,0x29e5dd2187168f77b68f9e38b0de7ff3d797f9e3,10000000,17,0.010717005810692919
ZRO,0x17ba3d0fe1f4f2380b0b12a4831a926feaca2717,10000000,18,0.010717005810692919
ZRO,0x7026b038a643e737f10c175a026c7aaae556dd53,8771929.82,19,0.009400882285193049
ZRO,0x0d9ec65e6d4b2f266f6ebc09201f3fd8106af4d2,8600000,20,0.00921662499719591
ZRO,0xde131676312eb2ac1cb69caae8ae25cf26bb6630,8562515,21,0.009176452300914528
ZRO,0xb212d42f29efa5087bfa7dfc0549e46b9589e7f8,8550000,22,0.009163039968142446
ZRO,0xf8b81c26782dff6c79b82a65363b23580558f137,8550000,23,0.009163039968142446
ZRO,0x30089e08d67c3528917bc0b1353dbfd31214f774,8550000,24,0.009163039968142446
ZRO,0xe8e2bd8f4fe4c95f81193380c798862b038165a4,8550000,25,0.009163039968142446
ZRO,0xab1b7a1b117b96c01d5e831b11036a2b12b93ee6,8550000,26,0.009163039968142446
