rank,broadcaster,total_eth_paid,ticket_count,first_txn,last_txn,pct_of_total,hhi_contribution
1,0xc3c7c4c8f7061b7d6a72766eee5359fe4f36e61e,168.15017443,104935,2024-01-01,2026-03-31,41.22,0.16990
2,0xca3331d67e87816adb30d9562a6e8c0623fb7fef,139.78613647,82114,2024-09-27,2026-03-31,34.27,0.11744
3,0x5be44e23041e93cdf9bcd5a0968524e104e38ae1,45.78738166,34058,2024-05-12,2025-12-12,11.23,0.01260
4,0x5f51c8eae3c97364613c48b42824be47aeb47ad0,28.63087805,15282,2025-12-22,2026-03-31,7.02,0.00493
5,0x5ae4e42db3671370a0c25aff451e7482aaec3d0b,11.19708521,8200,2024-05-21,2026-03-31,2.75,0.00075
6,0x012345de92b630c065dfc0cabe4eb34f74f7fc85,4.48226202,3589,2024-03-29,2024-10-21,1.10,0.00012
7,0x8a8053c21696f27ed305a03bd1efc5d068d91d0e,3.61361580,3719,2025-05-15,2025-09-12,0.89,0.00008
8,0xe07f09ba3b9bf92ee84be10d4bf7b33e67385a55,2.54400000,212,2024-01-01,2024-02-02,0.62,0.00004
9,0xf2f5fccddf50c9e86c1bb171c07041ff0c612f2d,1.27084559,44,2025-12-22,2026-03-23,0.31,0.00001
10,0x2b188a714a9da024299cf330141fdfe1cc233b49,0.84526077,692,2024-03-14,2025-03-07,0.21,0.00000
